項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,634,-,609,-,898,-,954,-,898,-,797,-,1052,-,4157,-,2006,-
0,0,0,0,0,調査世帯数,735,-,45,-,47,-,66,-,73,-,65,-,56,-,76,-,307,-,148,-
0,0,0,0,0,世帯人員,2.98,-,3.16,-,3.87,-,3.86,-,3.66,-,3.6,-,3.02,-,2.79,-,2.38,-,2.25,-
0,0,0,0,0,有業人員,1.3,-,1.57,-,1.49,-,1.55,-,1.55,-,1.89,-,1.89,-,1.65,-,0.79,-,0.55,-
0,0,0,0,0,世帯主平均年齢,59.2,-,30.8,-,37,-,42,-,46.7,-,52,-,56.7,-,62.1,-,74.6,-,80.3,-
2,2,0,0,0,生計支出,341798,-,305498,-,296719,-,309950,-,393824,-,484335,-,464887,-,305047,-,303795,-,295378,-
2,3,0,0,0,消費支出,341798,100,305498,100,296719,100,309950,100,393824,100,484335,100,464887,100,305047,100,303795,100,295378,100
2,4,1,0,0,食料,84350,24.7,64677,21.2,81867,27.6,86439,27.9,92285,23.4,98272,20.3,95291,20.5,91815,30.1,78448,25.8,73150,24.8
2,5,1,1,0,穀類,6196,1.8,4398,1.4,5902,2,5876,1.9,6702,1.7,7135,1.5,7223,1.6,6440,2.1,6005,2,6053,2
2,6,1,1,1,米類,1828,0.5,906,0.3,1173,0.4,1568,0.5,1697,0.4,2264,0.5,1757,0.4,2002,0.7,2026,0.7,2277,0.8
2,6,1,1,2,パン,2714,0.8,2247,0.7,3047,1,2802,0.9,3219,0.8,3139,0.6,3613,0.8,2575,0.8,2371,0.8,2253,0.8
2,6,1,1,3,麺類,1231,0.4,1011,0.3,1141,0.4,1202,0.4,1351,0.3,1305,0.3,1150,0.2,1504,0.5,1186,0.4,1104,0.4
2,6,1,1,4,他の穀類,424,0.1,233,0.1,541,0.2,305,0.1,435,0.1,427,0.1,704,0.2,359,0.1,422,0.1,419,0.1
2,5,1,2,0,魚介類,6172,1.8,3125,1,3380,1.1,4152,1.3,4856,1.2,5760,1.2,6174,1.3,7955,2.6,7423,2.4,7327,2.5
2,6,1,2,1,生鮮魚介,3627,1.1,1913,0.6,1767,0.6,2307,0.7,2824,0.7,3571,0.7,3652,0.8,4655,1.5,4378,1.4,4248,1.4
2,6,1,2,2,塩干魚介,1147,0.3,566,0.2,785,0.3,861,0.3,1041,0.3,851,0.2,1033,0.2,1428,0.5,1390,0.5,1486,0.5
2,6,1,2,3,魚肉練製品,594,0.2,240,0.1,343,0.1,491,0.2,342,0.1,627,0.1,586,0.1,823,0.3,701,0.2,689,0.2
2,6,1,2,4,他の魚介加工品,804,0.2,406,0.1,485,0.2,492,0.2,648,0.2,711,0.1,903,0.2,1048,0.3,954,0.3,904,0.3
2,5,1,3,0,肉類,7457,2.2,5405,1.8,6459,2.2,8770,2.8,9528,2.4,9492,2,7921,1.7,8440,2.8,6381,2.1,5886,2
2,6,1,3,1,生鮮肉,6068,1.8,4435,1.5,5099,1.7,7101,2.3,7840,2,7959,1.6,6423,1.4,6837,2.2,5157,1.7,4881,1.7
2,6,1,3,2,加工肉,1390,0.4,970,0.3,1360,0.5,1669,0.5,1688,0.4,1533,0.3,1498,0.3,1603,0.5,1224,0.4,1004,0.3
2,5,1,4,0,乳卵類,4563,1.3,4304,1.4,3854,1.3,5120,1.7,4786,1.2,4817,1,4487,1,4478,1.5,4515,1.5,4460,1.5
2,6,1,4,1,牛乳,1491,0.4,1350,0.4,1197,0.4,1582,0.5,1551,0.4,1052,0.2,1462,0.3,1458,0.5,1632,0.5,1868,0.6
2,6,1,4,2,乳製品,2282,0.7,2433,0.8,1927,0.6,2729,0.9,2222,0.6,2708,0.6,2285,0.5,2267,0.7,2140,0.7,1878,0.6
2,6,1,4,3,卵,789,0.2,521,0.2,730,0.2,809,0.3,1013,0.3,1057,0.2,740,0.2,753,0.2,743,0.2,714,0.2
2,5,1,5,0,野菜・海藻,11093,3.2,6617,2.2,7875,2.7,8729,2.8,10464,2.7,11926,2.5,11056,2.4,12878,4.2,12279,4,12229,4.1
