項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9515,-,2747,-,2546,-,7253,-,6968,-,485,-
0,0,0,0,0,調査世帯数,248,-,-,237,-,66,-,61,-,182,-,176,-,11,-
0,0,0,0,0,世帯人員,2.39,-,-,2.39,-,2.19,-,2.2,-,2.46,-,2.46,-,2.35,-
0,0,0,0,0,有業人員,0.4,-,-,0.4,-,0.3,-,0.32,-,0.44,-,0.43,-,0.47,-
0,0,0,0,0,世帯主平均年齢,74.8,-,-,74.9,-,75.5,-,75.4,-,74.5,-,74.6,-,73.7,-
1,0,0,0,0,受取,423587,-,-9.5,431417,-,289937,-,295888,-,474203,-,480939,-,270059,-
1,1,0,0,0,実収入,29461,100,-37.6,26938,100,23744,100,20082,100,31626,100,29444,100,78926,100
1,2,0,0,0,経常収入,23132,78.5,-43.8,20882,77.5,17045,71.8,12854,64,25438,80.4,23815,80.9,67266,85.2
1,3,0,0,0,勤め先収入,11907,40.4,-38.1,10641,39.5,2403,10.1,2593,12.9,15507,49,13582,46.1,36730,46.5
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,5853,19.9,10,6151,22.8,-,-,-,-,8069,25.5,8399,28.5,-,-
1,6,0,0,0,うち女,5853,19.9,10,6151,22.8,-,-,-,-,8069,25.5,8399,28.5,-,-
1,4,0,0,0,他の世帯員収入,6054,20.5,-56.5,4490,16.7,2403,10.1,2593,12.9,7437,23.5,5183,17.6,36730,46.5
1,3,0,0,0,事業・内職収入,3643,12.4,-31.9,3737,13.9,354,1.5,325,1.6,4888,15.5,4983,16.9,1802,2.3
1,4,0,0,0,家賃収入,1511,5.1,-48.1,1588,5.9,-,-,-,-,2084,6.6,2169,7.4,-,-
1,4,0,0,0,他の事業収入,887,3,238.5,933,3.5,301,1.3,325,1.6,1109,3.5,1155,3.9,-,-
1,4,0,0,0,内職収入,1244,4.2,-42.8,1215,4.5,53,0.2,-,-,1695,5.4,1660,5.6,1802,2.3
1,3,0,0,0,他の経常収入,7583,25.7,-54.3,6504,24.1,14287,60.2,9937,49.5,5043,15.9,5249,17.8,28733,36.4
1,4,0,0,0,財産収入,654,2.2,-91.2,688,2.6,46,0.2,50,0.2,885,2.8,921,3.1,-,-
1,4,0,0,0,社会保障給付,6187,21,-28.8,5632,20.9,12181,51.3,9887,49.2,3918,12.4,4078,13.9,17073,21.6
1,5,0,0,0,公的年金給付,5157,17.5,-23.2,5365,19.9,8463,35.6,8923,44.4,3905,12.3,4064,13.8,1087,1.4
1,5,0,0,0,他の社会保障給付,1030,3.5,-47.8,268,1,3718,15.7,964,4.8,13,0,13,0,15986,20.3
1,4,0,0,0,仕送り金,741,2.5,47.6,184,0.7,2060,8.7,-,-,241,0.8,251,0.9,11660,14.8
1,2,0,0,0,特別収入,6329,21.5,4.5,6057,22.5,6700,28.2,7228,36,6188,19.6,5629,19.1,11660,14.8
1,3,0,0,0,受贈金,3318,11.3,38.5,2892,10.7,2882,12.1,3109,15.5,3483,11,2813,9.6,11660,14.8
1,3,0,0,0,他の特別収入,3011,10.2,-17.7,3165,11.7,3818,16.1,4119,20.5,2705,8.6,2816,9.6,-,-
1,1,0,0,0,実収入以外の受取(繰入金を除く),311376,-,-5.4,320372,-,204679,-,216229,-,351785,-,358425,-,134998,-
1,2,0,0,0,預貯金引出,276059,-,1,283585,-,184099,-,194070,-,310886,-,316294,-,128481,-
1,2,0,0,0,保険金,1542,-,-83.9,1621,-,-,-,-,-,2127,-,2213,-,-,-
1,3,0,0,0,個人・企業年金保険金,1542,-,-83.9,1621,-,-,-,-,-,2127,-,2213,-,-,-
1,3,0,0,0,他の保険金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,487,-,-83.8,512,-,16,-,17,-,665,-,692,-,-,-
1,2,0,0,0,一括払購入借入金,30852,-,-11,32093,-,20564,-,22141,-,34749,-,35730,-,6517,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,2436,-,549.6,2560,-,-,-,-,-,3358,-,3495,-,-,-
1,1,0,0,0,繰入金,82750,-,-9.8,84107,-,61514,-,59577,-,90792,-,93070,-,56135,-
2,0,0,0,0,支払,423587,-,-9.5,431417,-,289937,-,295888,-,474203,-,480939,-,270059,-
2,1,0,0,0,実支出,299306,-,7.1,304139,-,206112,-,209820,-,334601,-,338604,-,204534,-
2,2,0,0,0,生計支出,265405,-,6.1,268540,-,181220,-,183081,-,297287,-,299766,-,203928,-
2,3,0,0,0,消費支出,265405,100,6.1,268540,100,181220,100,183081,100,297287,100,299766,100,203928,100
2,4,1,0,0,食料,81613,30.8,1.4,83593,31.1,66461,36.7,68667,37.5,87351,29.4,89047,29.7,42789,21
2,5,1,1,0,穀類,6680,2.5,9.6,6786,2.5,6254,3.5,6416,3.5,6842,2.3,6921,2.3,4610,2.3
2,6,1,1,1,米類,1914,0.7,-0.3,1892,0.7,1704,0.9,1702,0.9,1993,0.7,1962,0.7,2332,1.1
2,6,1,1,2,パン,2801,1.1,17.3,2879,1.1,2053,1.1,2106,1.2,3084,1,3162,1.1,1261,0.6
2,6,1,1,3,麺類,1617,0.6,8.1,1652,0.6,2172,1.2,2271,1.2,1407,0.5,1426,0.5,934,0.5
2,6,1,1,4,他の穀類,349,0.1,18.3,362,0.1,325,0.2,337,0.2,358,0.1,372,0.1,84,0
