項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,359,566,963,963,1076,707,924,4442,2349
0,0,0,0,0,0,0,調査世帯数,709,-,26,39,71,71,77,49,65,311,167
0,0,0,0,0,0,0,世帯人員,2.96,-,3.1,3.88,3.73,3.63,3.5,3.2,2.91,2.37,2.24
0,0,0,0,0,0,0,有業人員,1.31,-,1.5,1.53,1.6,1.71,1.66,1.84,1.76,0.85,0.53
0,0,0,0,0,0,0,世帯主平均年齢,60.5,-,30.3,37.4,41.9,47.1,52,56.8,62.1,75.2,80.7
2,2,0,0,0,0,0,生計支出,326831,2.3,294748,354219,401363,364075,391200,378113,343898,274394,254472
2,3,0,0,0,0,0,消費支出,326831,3.6,294748,354219,401363,364075,391200,378113,343898,274394,254472
2,4,1,0,0,0,0,食料,98599,4.8,73217,88040,104763,105686,106726,111883,118940,90805,84682
2,5,1,1,0,0,0,穀類,6794,2.2,4453,5555,6807,7166,8039,7007,6526,6778,6756
2,6,1,1,1,0,0,米類,1784,-8.8,1046,1341,1690,1476,2305,1711,1923,1843,1926
2,7,1,1,1,0,102,米,1784,-8.8,1046,1341,1690,1476,2305,1711,1923,1843,1926
2,6,1,1,2,0,0,パン,3145,11.1,2243,2735,3191,3663,3401,3790,2768,3061,2824
2,7,1,1,2,0,120,食パン,964,16.1,609,626,852,932,1154,939,857,1046,971
2,7,1,1,2,0,129,他のパン,2181,9.1,1634,2108,2338,2731,2248,2851,1911,2015,1853
2,6,1,1,3,0,0,麺類,1515,1,942,1004,1458,1582,1874,1136,1592,1581,1794
2,7,1,1,3,0,130,生うどん・そば,193,-11.5,168,114,168,235,357,110,234,166,148
2,7,1,1,3,0,131,乾うどん・そば,346,22.7,38,41,148,141,133,98,198,618,933
2,7,1,1,3,0,134,スパゲッティ,112,-11.8,114,55,97,202,191,156,110,78,58
2,7,1,1,3,0,133,中華麺,404,-5.8,258,234,446,449,536,393,472,375,336
2,7,1,1,3,0,135,カップ麺,304,10.5,242,412,413,310,453,270,408,219,202
2,7,1,1,3,0,132,即席麺,100,2,75,102,137,159,109,62,113,82,92
2,7,1,1,3,0,139,他の麺類,55,-22.5,46,46,49,86,94,48,57,43,25
2,6,1,1,4,0,0,他の穀類,350,-4.1,222,476,468,445,459,369,243,292,212
2,7,1,1,4,0,140,小麦粉,35,16.7,9,76,40,36,27,32,29,33,38
2,7,1,1,4,0,150,もち,37,-5.1,5,59,28,54,37,14,4,46,18
2,7,1,1,4,0,160,他の穀類のその他,279,-5.7,207,341,400,355,394,323,210,213,156
2,5,1,2,0,0,0,魚介類,5830,5.3,2182,2864,4310,4171,5477,5652,7119,7037,7165
2,6,1,2,1,0,0,生鮮魚介,3436,7.7,1079,1518,2692,2589,3239,3495,4131,4110,3977
2,7,1,2,1,170-189,0,鮮魚,3190,6,1037,1440,2597,2477,2960,3391,3803,3766,3698
2,7,1,2,1,170-189,170,まぐろ,619,0.5,280,247,456,515,403,462,776,796,884
2,7,1,2,1,170-189,172,あじ,110,-4.3,34,31,79,49,114,82,92,154,173
2,7,1,2,1,170-189,173,いわし,33,13.8,-,-,27,13,12,31,7,57,46
2,7,1,2,1,170-189,174,かつお,178,29,29,120,87,137,271,144,182,207,245
2,7,1,2,1,170-189,175,かれい,26,-27.8,-,28,22,7,23,21,15,37,39
2,7,1,2,1,170-189,176,さけ,371,-6.3,91,265,398,253,355,368,411,423,437
2,7,1,2,1,170-189,177,さば,53,-15.9,25,-,35,35,62,64,80,59,71
2,7,1,2,1,170-189,178,さんま,47,-65.9,-,10,30,40,23,60,38,66,78
2,7,1,2,1,170-189,180,たい,65,-12.2,18,-,27,46,60,65,115,80,58
2,7,1,2,1,170-189,181,ぶり,137,1.5,137,73,103,48,171,171,134,160,154
2,7,1,2,1,170-189,182,いか,129,17.3,24,38,75,71,172,160,211,140,127
2,7,1,2,1,170-189,183,たこ,142,31.5,85,53,128,85,128,193,226,151,148
2,7,1,2,1,170-189,185,えび,214,-1.8,74,69,380,127,192,231,362,198,134
2,7,1,2,1,170-189,186,かに,2,-60,21,-,-,-,-,-,11,-,-
2,7,1,2,1,170-189,189,他の鮮魚,561,28.4,187,338,530,634,459,575,426,661,541
2,7,1,2,1,170-189,187,さしみ盛合わせ,504,28.6,31,167,221,418,515,762,718,578,563
2,7,1,2,1,190-194,0,貝類,247,38,42,79,95,112,279,104,328,344,280
2,7,1,2,1,190-194,190,あさり,62,26.5,14,25,40,37,95,36,61,78,104
2,7,1,2,1,190-194,192,しじみ,44,-13.7,-,5,22,9,19,-,70,73,68
2,7,1,2,1,190-194,191,かき(貝),1,...,-,-,-,-,-,-,-,3,6
2,7,1,2,1,190-194,194,ほたて貝,114,90,28,33,17,56,131,47,116,171,89
2,7,1,2,1,190-194,193,他の貝,24,33.3,-,15,16,11,34,22,81,19,14
2,6,1,2,2,0,0,塩干魚介,960,-3.5,424,620,655,755,935,867,1121,1144,1265
2,7,1,2,2,0,195,塩さけ,149,-3.2,131,70,110,70,136,169,214,172,231
2,7,1,2,2,0,196,たらこ,167,10.6,79,143,110,195,175,139,204,178,195
2,7,1,2,2,0,197,しらす干し,138,-15.9,74,161,84,148,140,126,126,154,173
2,7,1,2,2,0,198,干しあじ,67,-18.3,28,20,27,58,52,112,65,84,105
2,7,1,2,2,0,202,他の塩干魚介,439,-1.1,112,227,325,285,432,322,512,555,560
2,6,1,2,3,0,0,魚肉練製品,465,1.8,184,168,237,218,399,420,785,584,609
2,7,1,2,3,0,203,揚げかまぼこ,104,-8.8,50,14,30,44,53,99,187,145,159
2,7,1,2,3,0,204,ちくわ,85,-19,14,55,56,68,117,63,71,103,96
2,7,1,2,3,0,205,かまぼこ,205,23.5,40,64,135,71,181,184,431,242,261
2,7,1,2,3,0,209,他の魚肉練製品,72,-1.4,80,35,16,36,48,75,96,95,93
2,6,1,2,4,0,0,他の魚介加工品,969,7.9,495,557,725,608,905,869,1083,1198,1314
2,7,1,2,4,0,210,かつお節・削り節,94,13.3,26,34,54,30,106,80,65,135,173
2,7,1,2,4,0,213,魚介の漬物,236,7.8,84,57,122,104,214,197,228,338,315
2,7,1,2,4,0,215,魚介のつくだ煮,83,-9.8,-,28,32,8,99,87,55,126,157
2,7,1,2,4,0,216,魚介の缶詰,265,-1.9,152,237,178,252,239,154,313,312,336
2,7,1,2,4,0,217,他の魚介加工品のその他,290,24.5,232,202,338,214,247,350,422,286,332
2,5,1,3,0,0,0,肉類,7133,-5.3,4778,5702,6873,8582,7567,8928,7631,6754,6057
2,6,1,3,1,0,0,生鮮肉,5669,-5.5,3569,4580,5337,7123,5942,7314,5922,5354,4760
2,7,1,3,1,0,220,牛肉,1829,5.2,612,1038,1304,1742,1267,2242,1826,2232,1978
2,7,1,3,1,0,221,豚肉,2390,-9.2,1803,2055,2503,3306,2667,3256,2605,2007,1794
2,7,1,3,1,0,222,鶏肉,1094,-11.3,810,1101,1095,1655,1462,1370,1096,860,777
2,7,1,3,1,0,22X,合いびき肉,196,-6.7,211,279,228,298,213,274,231,132,112
2,7,1,3,1,0,224,他の生鮮肉,160,-14,133,107,206,121,333,171,164,124,100
2,6,1,3,2,0,0,加工肉,1464,-4.5,1209,1121,1536,1459,1625,1614,1709,1400,1297
2,7,1,3,2,0,225,ハム,486,0.2,217,238,458,327,550,473,614,539,504
2,7,1,3,2,0,226,ソーセージ,540,-5.3,563,560,686,581,563,584,690,450,375
2,7,1,3,2,0,227,ベーコン,234,-2.1,283,187,162,338,256,304,165,227,233
2,7,1,3,2,0,229,他の加工肉,205,-14.2,146,137,229,213,256,254,239,184,185
2,5,1,4,0,0,0,乳卵類,4142,-1.7,3014,3032,3755,3744,4356,4155,4439,4428,4458
2,6,1,4,1,0,230,牛乳,1523,11.2,1077,1010,1503,1380,1561,1350,1383,1706,1862
