項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,365,-,-,51,-,56,-,56,-,50,-,51,-,54,-,47,-
0,0,世帯人員,3.37,-,-,3.06,-,3.05,-,3.44,-,3.62,-,3.41,-,3.4,-,3.61,-
0,0,有業人員,1.68,-,-,1.61,-,1.51,-,1.56,-,1.61,-,1.74,-,1.83,-,1.91,-
0,0,世帯主平均年齢,50.1,-,-,58.1,-,51.2,-,47.8,-,46.9,-,48.1,-,47.5,-,50.9,-
0,0,消費支出,334025,-,-7.2,262874,-,283591,-,271965,-,310433,-,387664,-,332424,-,488351,-
0,0,公共的料金,104824,31.4,-14.5,91164,34.7,66975,23.6,92415,34,101541,32.7,127933,33,71348,21.5,182608,37.4
1,0,公共料金等,61397,18.4,-7.1,52297,19.9,54044,19.1,56783,20.9,62460,20.1,70266,18.1,57926,17.4,75962,15.6
1,1,米,2003,0.6,13,3117,1.2,2450,0.9,1725,0.6,1836,0.6,2179,0.6,1347,0.4,1397,0.3
1,1,食塩,26,0,-10.3,23,0,17,0,25,0,44,0,30,0,18,0,24,0
1,1,学校給食,1854,0.6,-11.9,564,0.2,893,0.3,1389,0.5,2564,0.8,2241,0.6,3020,0.9,2291,0.5
1,1,公営家賃,3301,1,17.6,2859,1.1,3931,1.4,3511,1.3,4011,1.3,4920,1.3,2702,0.8,1188,0.2
1,1,電気代,9496,2.8,1.2,9155,3.5,7418,2.6,11260,4.1,8403,2.7,10524,2.7,8210,2.5,11499,2.4
1,1,都市ガス,3145,0.9,-14.7,3026,1.2,2608,0.9,2685,1,3062,1,3266,0.8,2677,0.8,4695,1
1,1,上下水道料,5226,1.6,-5.6,3883,1.5,4904,1.7,5433,2,7031,2.3,5795,1.5,5214,1.6,4317,0.9
1,1,医科診療代,3517,1.1,13.3,4432,1.7,2523,0.9,2649,1,1923,0.6,8939,2.3,2663,0.8,1567,0.3
1,1,歯科診療代,1499,0.4,12.4,1089,0.4,2159,0.8,315,0.1,766,0.2,934,0.2,2850,0.9,2350,0.5
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,964,0.3,235.9,-,-,4621,1.6,72,0,1703,0.5,320,0.1,-,-,-,-
1,1,鉄道運賃,2850,0.9,-8.7,2621,1,3133,1.1,3796,1.4,2187,0.7,2898,0.7,1786,0.5,3513,0.7
1,1,鉄道通学定期代,535,0.2,-81.4,-,-,341,0.1,-,-,791,0.3,191,0,634,0.2,1776,0.4
1,1,鉄道通勤定期代,4119,1.2,-20.4,1953,0.7,1459,0.5,2598,1,1463,0.5,7716,2,8005,2.4,5599,1.1
1,1,バス代,471,0.1,-16.3,586,0.2,816,0.3,111,0,614,0.2,171,0,214,0.1,788,0.2
1,1,バス通学定期代,225,0.1,-7.4,874,0.3,-,-,90,0,628,0.2,-,-,-,-,-,-
1,1,バス通勤定期代,23,0,-81.3,-,-,135,0,26,0,-,-,-,-,-,-,-,-
1,1,タクシー代,805,0.2,15.8,1398,0.5,475,0.2,260,0.1,419,0.1,424,0.1,256,0.1,2416,0.5
1,1,航空運賃,1145,0.3,80,-,-,3946,1.4,-,-,-,-,505,0.1,2353,0.7,1156,0.2
1,1,郵便料,148,0,-40.3,168,0.1,90,0,134,0,135,0,293,0.1,34,0,187,0
1,1,固定電話通信料,1192,0.4,-15,1406,0.5,989,0.3,855,0.3,1129,0.4,1203,0.3,924,0.3,1842,0.4
1,1,移動電話通信料,11815,3.5,-14.5,9275,3.5,8647,3,14180,5.2,11312,3.6,13592,3.5,9623,2.9,16041,3.3
1,1,ＮＨＫ放送受信料,1695,0.5,10.4,2624,1,700,0.2,1349,0.5,1304,0.4,1542,0.4,2271,0.7,2092,0.4
1,1,ケーブルテレビ放送受信料,932,0.3,-19.1,980,0.4,411,0.1,1041,0.4,786,0.3,1013,0.3,1206,0.4,1091,0.2
1,1,他の放送受信料,161,0,-33.5,-,-,334,0.1,156,0.1,178,0.1,92,0,100,0,259,0.1
1,1,国公立小学校,763,0.2,29.8,674,0.3,143,0.1,690,0.3,473,0.2,197,0.1,414,0.1,2745,0.6
1,1,国公立中学校,503,0.2,-34.8,655,0.2,-,-,96,0,1503,0.5,800,0.2,491,0.1,-,-
1,1,国公立高校,66,0,-97,-,-,-,-,262,0.1,-,-,171,0,-,-,26,0
1,1,国公立大学,1962,0.6,...,-,-,-,-,-,-,7009,2.3,-,-,-,-,6736,1.4
1,1,たばこ,956,0.3,35.6,935,0.4,899,0.3,2072,0.8,1186,0.4,309,0.1,916,0.3,365,0.1
2,0,準公共料金等,43427,13,-23.1,38867,14.8,12931,4.6,35633,13.1,39081,12.6,57666,14.9,13422,4,106646,21.8
2,1,牛乳,1460,0.4,15.6,1498,0.6,1461,0.5,1292,0.5,1562,0.5,1258,0.3,1220,0.4,1933,0.4
2,1,灯油,34,0,88.9,42,0,85,0,87,0,-,-,-,-,26,0,-,-
2,1,プロパンガス,242,0.1,-6.2,158,0.1,474,0.2,258,0.1,232,0.1,207,0.1,215,0.1,148,0
2,1,理髪料,360,0.1,4.7,595,0.2,173,0.1,253,0.1,582,0.2,701,0.2,215,0.1,17,0
2,1,パーマネント代,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1,洗濯代,649,0.2,-21.9,725,0.3,685,0.2,321,0.1,295,0.1,510,0.1,434,0.1,1571,0.3
2,1,新聞,2172,0.7,-1.4,2849,1.1,1384,0.5,1975,0.7,2043,0.7,2347,0.6,2093,0.6,2535,0.5
2,1,私立小学校,7,0,-98.7,-,-,-,-,-,-,47,0,-,-,-,-,-,-
2,1,私立中学校,3706,1.1,810.6,788,0.3,-,-,3368,1.2,533,0.2,11825,3.1,-,-,9441,1.9
2,1,私立高校,4513,1.4,-10.7,14629,5.6,1276,0.4,4328,1.6,-,-,1831,0.5,-,-,9716,2
2,1,私立大学,16352,4.9,-33.3,15775,6,201,0.1,-,-,14076,4.5,23103,6,516,0.2,61020,12.5
2,1,幼児教育費用,3527,1.1,24.8,1807,0.7,2216,0.8,5219,1.9,5078,1.6,980,0.3,2563,0.8,6774,1.4
2,1,民営家賃,10200,3.1,-43.2,-,-,4976,1.8,18532,6.8,14633,4.7,14905,3.8,6141,1.8,12073,2.5
2,1,地代,204,0.1,500,-,-,-,-,-,-,-,-,-,-,-,-,1420,0.3
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年10月,,,,,,,,,,,,,,,,,,,
第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
