年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成25年平均,22.9,25.9,25.1,24.5,23.7,22.9,20.9,20.3
nen,平成26年平均,23.7,26.5,24.9,25.3,24.4,22.8,22.5,22
nen,平成27年平均,24.4,30.1,26.5,25.8,24.7,23.8,22.5,21.6
nen,平成28年平均,24.8,28.9,26.5,26.9,25.6,24.5,23,21.6
nen,平成29年平均,24.2,29.2,24.8,26.8,24.4,23.1,21.8,22.2
nen,平成30年平均,25,30.5,27.6,26.7,25.7,23.7,22.2,22.8
nen,平成31年・令和元年平均,25.1,28.4,27.4,28,25.7,23.7,22.6,23.1
tuki,令和元年10月,26.8,30.7,27.9,31.1,28.6,23,27.3,23.2
tuki,令和元年11月,25.9,23.3,25.5,32.1,25.8,30.1,22.5,25.1
tuki,令和元年12月,29,33.1,34,30.7,29.8,28.3,28.2,23.8
tuki,令和 2年 1月,25.8,29.4,25.4,29.2,25.6,26.3,21.6,25.6
tuki,令和 2年 2月,27.2,33.1,27.7,30.4,31.5,26.4,28.1,20.4
tuki,令和 2年 3月,27.9,35.3,28.8,30.5,28.8,25.4,25.3,26
tuki,令和 2年 4月,25.5,34.1,30.7,24.1,22.6,28.2,24.3,21.3
tuki,令和 2年 5月,29.6,33.7,31.5,27.7,25.1,26.7,30.8,32.8
tuki,令和 2年 6月,27,33.5,23.5,28.2,25.7,27.6,25.6,27.4
tuki,令和 2年 7月,27.7,35.5,28.2,26,27.8,26,26.9,26.9
tuki,令和 2年 8月,29.7,34.7,31.9,31.1,27.7,29.5,29.2,27.2
tuki,令和 2年 9月,26.6,34.1,28.7,21.4,29.9,28.5,23.5,25.8
tuki,令和 2年10月,24.2,26.5,24.9,25.5,27.5,23.9,22,22.2
,,,,,,,,,
東京都生計分析調査　令和 2年10月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
エンゲル係数　   　　〔＝（食料費÷消費支出） ×１００〕,,,,,,,,,
