項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9066,-,3140,-,2798,-,6860,-,6268,-,934,-
0,0,0,0,0,調査世帯数,224,-,-,204,-,65,-,58,-,159,-,146,-,20,-
0,0,0,0,0,世帯人員,2.4,-,-,2.39,-,2.32,-,2.35,-,2.44,-,2.41,-,2.47,-
0,0,0,0,0,有業人員,0.45,-,-,0.45,-,0.36,-,0.4,-,0.49,-,0.47,-,0.43,-
0,0,0,0,0,世帯主平均年齢,74.9,-,-,75.5,-,76.8,-,76.9,-,74,-,74.8,-,69.4,-
1,0,0,0,0,受取,540675,-,35.1,506827,-,266873,-,268371,-,666013,-,613281,-,869407,-
1,1,0,0,0,実収入,54831,100,53.2,53939,100,14195,100,15870,100,73433,100,70934,100,63495,100
1,2,0,0,0,経常収入,47754,87.1,47.4,46423,86.1,13615,95.9,15279,96.3,63382,86.3,60327,85,60681,95.6
1,3,0,0,0,勤め先収入,26179,47.7,16.9,26766,49.6,5951,41.9,6678,42.1,35439,48.3,35734,50.4,20477,32.2
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,9755,17.8,36.9,8651,16,-,-,-,-,14221,19.4,12513,17.6,20477,32.2
1,6,0,0,0,うち女,9755,17.8,36.9,8651,16,-,-,-,-,14221,19.4,12513,17.6,20477,32.2
