項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,2841,-,3058,-,3085,-,1017,-
0,0,0,0,0,調査世帯数,366,-,103,-,105,-,118,-,40,-
0,0,0,0,0,世帯人員,3.24,-,2,-,3,-,4,-,5.13,-
0,0,0,0,0,有業人員,1.8,-,1.58,-,1.76,-,1.93,-,2.13,-
0,0,0,0,0,世帯主平均年齢,49.1,-,51.7,-,49,-,47.6,-,46,-
1,0,0,0,0,受取,1632090,-,1580468,-,1587149,-,1709296,-,1677244,-
1,1,0,0,0,実収入,686343,100,624961,100,731995,100,686501,100,720053,100
1,2,0,0,0,経常収入,652105,95,548652,87.8,723219,98.8,655770,95.5,716139,99.5
1,3,0,0,0,勤め先収入,625585,91.1,539893,86.4,678697,92.7,631673,92,686795,95.4
1,4,0,0,0,世帯主収入,512625,74.7,434020,69.4,570875,78,505069,73.6,579972,80.5
1,6,0,0,0,うち男,483941,70.5,383999,61.4,553800,75.7,478848,69.8,568513,79
1,5,0,0,0,定期収入,473589,69,393842,63,489212,66.8,497761,72.5,576072,80
1,5,0,0,0,臨時収入,3660,0.5,3283,0.5,3312,0.5,4272,0.6,3900,0.5
1,5,0,0,0,賞与,35377,5.2,36895,5.9,78351,10.7,3037,0.4,-,-
1,4,0,0,0,世帯主の配偶者の収入,101495,14.8,98210,15.7,103715,14.2,107699,15.7,85170,11.8
1,6,0,0,0,うち女,99749,14.5,98210,15.7,103715,14.2,102828,15,82781,11.5
1,4,0,0,0,他の世帯員収入,11466,1.7,7663,1.2,4107,0.6,18906,2.8,21653,3
1,3,0,0,0,事業・内職収入,8717,1.3,4656,0.7,13579,1.9,8368,1.2,6502,0.9
1,4,0,0,0,家賃収入,3371,0.5,2380,0.4,8700,1.2,111,0,-,-
1,4,0,0,0,他の事業収入,2382,0.3,2275,0.4,855,0.1,4779,0.7,-,-
1,4,0,0,0,内職収入,2965,0.4,-,-,4024,0.5,3478,0.5,6502,0.9
1,3,0,0,0,他の経常収入,17802,2.6,4103,0.7,30944,4.2,15729,2.3,22842,3.2
1,4,0,0,0,財産収入,6044,0.9,995,0.2,18140,2.5,695,0.1,-,-
1,4,0,0,0,社会保障給付,11446,1.7,2373,0.4,12804,1.7,14820,2.2,22475,3.1
1,5,0,0,0,公的年金給付,557,0.1,1959,0.3,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,10889,1.6,414,0.1,12804,1.7,14820,2.2,22475,3.1
1,4,0,0,0,仕送り金,312,0,735,0.1,-,-,214,0,367,0.1
1,2,0,0,0,特別収入,34238,5,76310,12.2,8776,1.2,30730,4.5,3914,0.5
1,3,0,0,0,受贈金,20843,3,72022,11.5,1057,0.1,121,0,230,0
1,3,0,0,0,他の特別収入,13395,2,4288,0.7,7718,1.1,30609,4.5,3685,0.5
1,1,0,0,0,実収入以外の受取(繰入金を除く),581453,-,445755,-,673236,-,593530,-,647891,-
1,2,0,0,0,預貯金引出,433650,-,327996,-,485921,-,457919,-,498000,-
1,2,0,0,0,保険金,4626,-,8661,-,2971,-,4075,-,-,-
1,3,0,0,0,個人・企業年金保険金,4626,-,8661,-,2971,-,4075,-,-,-
1,3,0,0,0,他の保険金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,クレジット購入借入金,142592,-,108674,-,184008,-,130379,-,149847,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,585,-,425,-,336,-,1158,-,44,-
1,1,0,0,0,繰入金,364294,-,509752,-,181918,-,429265,-,309301,-
2,0,0,0,0,支払,1632090,-,1580468,-,1587149,-,1709296,-,1677244,-
2,1,0,0,0,実支出,536441,-,513280,-,589216,-,514103,-,510190,-
2,2,0,0,0,生計支出,381725,-,379833,-,410990,-,360156,-,364428,-
2,3,0,0,0,消費支出,374567,100,354635,100,410990,100,360156,100,364428,100
2,4,1,0,0,食料,96198,25.7,80651,22.7,96003,23.4,102010,28.3,122588,33.6
2,5,1,1,0,穀類,7572,2,5712,1.6,7152,1.7,8568,2.4,11009,3
2,6,1,1,1,米類,1932,0.5,1144,0.3,1922,0.5,2317,0.6,2993,0.8
2,6,1,1,2,パン,3290,0.9,2636,0.7,2988,0.7,3761,1,4600,1.3
2,6,1,1,3,麺類,1857,0.5,1644,0.5,1723,0.4,1903,0.5,2718,0.7
2,6,1,1,4,他の穀類,492,0.1,287,0.1,519,0.1,587,0.2,697,0.2
2,5,1,2,0,魚介類,6771,1.8,5724,1.6,7263,1.8,6722,1.9,8365,2.3
2,6,1,2,1,生鮮魚介,4270,1.1,3466,1,4644,1.1,4284,1.2,5347,1.5
2,6,1,2,2,塩干魚介,1021,0.3,855,0.2,1076,0.3,1018,0.3,1322,0.4
2,6,1,2,3,魚肉練製品,484,0.1,420,0.1,564,0.1,459,0.1,503,0.1
2,6,1,2,4,他の魚介加工品,996,0.3,983,0.3,979,0.2,961,0.3,1193,0.3
2,5,1,3,0,肉類,10115,2.7,6701,1.9,9950,2.4,12029,3.3,14348,3.9
2,6,1,3,1,生鮮肉,8241,2.2,5354,1.5,8186,2,9788,2.7,11777,3.2
2,6,1,3,2,加工肉,1874,0.5,1347,0.4,1763,0.4,2241,0.6,2571,0.7
