項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,648,-,-,83,-,92,-,95,-,99,-,94,-,94,-,91,-
0,0,世帯人員,2.87,-,-,2.59,-,2.61,-,2.81,-,2.77,-,2.88,-,3.22,-,3.21,-
0,0,有業人員,1.3,-,-,1.1,-,1.06,-,1.25,-,1.2,-,1.29,-,1.58,-,1.59,-
0,0,世帯主平均年齢,59.7,-,-,62.4,-,63.4,-,61.1,-,59.8,-,60.2,-,56.8,-,54.3,-
0,0,消費支出,313234,-,5.9,101166,-,163328,-,206126,-,253795,-,313306,-,394159,-,756165,-
0,0,公共的料金,78537,25.1,-0.3,30208,29.9,44873,27.5,56935,27.6,69600,27.4,82465,26.3,100898,25.6,163734,21.7
1,0,公共料金等,54114,17.3,1.8,24845,24.6,35130,21.5,38125,18.5,54125,21.3,60573,19.3,69106,17.5,96241,12.7
1,1,米,1498,0.5,-3,1310,1.3,1226,0.8,1626,0.8,1214,0.5,1681,0.5,1572,0.4,1857,0.2
1,1,食塩,34,0,-27.7,19,0,29,0,36,0,18,0,41,0,39,0,53,0
1,1,学校給食,672,0.2,-7.4,301,0.3,96,0.1,698,0.3,781,0.3,547,0.2,830,0.2,1443,0.2
1,1,公営家賃,3315,1.1,269.2,745,0.7,437,0.3,539,0.3,5366,2.1,5611,1.8,2299,0.6,8168,1.1
1,1,電気代,9993,3.2,-0.4,6128,6.1,8987,5.5,9036,4.4,11260,4.4,11213,3.6,13254,3.4,9985,1.3
1,1,都市ガス,7345,2.3,8.4,4688,4.6,5884,3.6,6475,3.1,8212,3.2,9175,2.9,7503,1.9,9441,1.2
1,1,上下水道料,3958,1.3,-13.7,2090,2.1,2815,1.7,4222,2,3527,1.4,5395,1.7,4766,1.2,4867,0.6
1,1,医科診療代,3561,1.1,6.5,1370,1.4,2898,1.8,2185,1.1,3872,1.5,5347,1.7,5307,1.3,3900,0.5
1,1,歯科診療代,2502,0.8,1.2,486,0.5,610,0.4,380,0.2,823,0.3,825,0.3,3622,0.9,10710,1.4
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,555,0.2,-80.3,-,-,-,-,487,0.2,-,-,792,0.3,2172,0.6,418,0.1
1,1,鉄道運賃,2256,0.7,113,410,0.4,736,0.5,476,0.2,1217,0.5,2042,0.7,4307,1.1,6547,0.9
1,1,鉄道通学定期代,99,0,-55.6,-,-,-,-,74,0,111,0,281,0.1,127,0,100,0
1,1,鉄道通勤定期代,1289,0.4,-25,-,-,578,0.4,30,0,344,0.1,268,0.1,1715,0.4,6049,0.8
1,1,バス代,151,0,-27.4,4,0,114,0.1,198,0.1,176,0.1,107,0,123,0,335,0
1,1,バス通学定期代,56,0,3.7,-,-,-,-,-,-,-,-,15,0,-,-,378,0
1,1,バス通勤定期代,96,0,140,-,-,-,-,-,-,-,-,-,-,260,0.1,410,0.1
1,1,タクシー代,389,0.1,1.6,153,0.2,391,0.2,54,0,167,0.1,903,0.3,471,0.1,579,0.1
1,1,航空運賃,419,0.1,165.2,-,-,387,0.2,-,-,-,-,-,-,147,0,2388,0.3
1,1,郵便料,403,0.1,-5.8,93,0.1,253,0.2,140,0.1,546,0.2,362,0.1,369,0.1,1052,0.1
1,1,固定電話通信料,1375,0.4,-12.4,871,0.9,869,0.5,1522,0.7,1144,0.5,1794,0.6,1899,0.5,1518,0.2
1,1,携帯電話通信料,10097,3.2,0.5,4403,4.4,6384,3.9,7769,3.8,11586,4.6,10317,3.3,13781,3.5,16300,2.2
1,1,ＮＨＫ放送受信料,703,0.2,-15.3,371,0.4,921,0.6,503,0.2,601,0.2,614,0.2,974,0.2,930,0.1
1,1,ケーブルテレビ放送受信料,1137,0.4,-2.1,582,0.6,710,0.4,799,0.4,1559,0.6,1265,0.4,1248,0.3,1784,0.2
1,1,他の放送受信料,123,0,-52.7,162,0.2,6,0,170,0.1,117,0,121,0,138,0,145,0
1,1,国公立小学校,146,0,-2,48,0,132,0.1,198,0.1,113,0,150,0,78,0,302,0
1,1,国公立中学校,281,0.1,60.6,-,-,227,0.1,158,0.1,69,0,1156,0.4,256,0.1,101,0
1,1,国公立高校,29,0,-89,-,-,-,-,-,-,20,0,39,0,16,0,125,0
1,1,国公立大学,666,0.2,...,-,-,-,-,-,-,246,0.1,-,-,-,-,4404,0.6
