項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,645,-,-,81,-,93,-,92,-,97,-,96,-,95,-,91,-
0,世帯人員,2.9,-,-,2.75,-,2.65,-,2.73,-,2.88,-,2.87,-,3.15,-,3.29,-
0,有業人員,1.28,-,-,1.19,-,0.97,-,1.16,-,1.24,-,1.28,-,1.51,-,1.62,-
0,世帯主平均年齢,59.1,-,-,61,-,62.8,-,61.7,-,61.3,-,59.8,-,53.6,-,53.6,-
0,消費支出,345729,100,-5.2,98678,100,157348,100,202758,100,250092,100,313217,100,423299,100,971957,100
2,基礎的支出,182122,52.7,1.2,72509,73.5,111102,70.6,140084,69.1,161187,64.5,194749,62.2,218837,51.7,375271,38.6
3,選択的支出,163607,47.3,-11.4,26169,26.5,46246,29.4,62674,30.9,88905,35.5,118468,37.8,204462,48.3,596687,61.4
1,食料,84546,24.5,-7.2,48135,48.8,65301,41.5,72020,35.5,83601,33.4,98018,31.3,106064,25.1,118310,12.2
2,基礎的支出,67406,19.5,-7.7,40162,40.7,55582,35.3,60416,29.8,67874,27.1,79841,25.5,80092,18.9,87619,9
3,選択的支出,17140,5,-5,7974,8.1,9719,6.2,11604,5.7,15726,6.3,18177,5.8,25972,6.1,30692,3.2
1,住居,32840,9.5,23.7,2287,2.3,5176,3.3,13109,6.5,16983,6.8,18903,6,38669,9.1,134382,13.8
2,基礎的支出,31326,9.1,24,2287,2.3,4374,2.8,11819,5.8,15180,6.1,18125,5.8,37376,8.8,129770,13.4
3,選択的支出,1514,0.4,19,-,-,802,0.5,1290,0.6,1803,0.7,778,0.2,1293,0.3,4612,0.5
1,光熱・水道,27104,7.8,18.8,15248,15.5,23474,14.9,27724,13.7,30192,12.1,28785,9.2,30979,7.3,33193,3.4
2,基礎的支出,27104,7.8,18.8,15248,15.5,23474,14.9,27724,13.7,30192,12.1,28785,9.2,30979,7.3,33193,3.4
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,10227,3,-32.3,2736,2.8,4456,2.8,6240,3.1,8497,3.4,10556,3.4,17475,4.1,21541,2.2
2,基礎的支出,7238,2.1,-22.9,2360,2.4,3496,2.2,4768,2.4,6925,2.8,8917,2.8,10841,2.6,13304,1.4
3,選択的支出,2989,0.9,-47.7,376,0.4,959,0.6,1472,0.7,1572,0.6,1639,0.5,6634,1.6,8237,0.8
1,被服及び履物,12070,3.5,-4.7,2255,2.3,5477,3.5,8231,4.1,8854,3.5,14635,4.7,24037,5.7,20910,2.2
2,基礎的支出,697,0.2,-20.3,91,0.1,428,0.3,356,0.2,575,0.2,727,0.2,1094,0.3,1599,0.2
3,選択的支出,11373,3.3,-3.6,2164,2.2,5049,3.2,7875,3.9,8280,3.3,13908,4.4,22943,5.4,19312,2
1,保健医療,15500,4.5,-19.8,4701,4.8,8236,5.2,11018,5.4,13819,5.5,18112,5.8,18897,4.5,33608,3.5
2,基礎的支出,12907,3.7,-26.1,4301,4.4,7237,4.6,9965,4.9,11470,4.6,16450,5.3,14990,3.5,25863,2.7
3,選択的支出,2593,0.8,40,400,0.4,1000,0.6,1052,0.5,2349,0.9,1661,0.5,3906,0.9,7745,0.8
1,交通・通信,44284,12.8,43.4,8724,8.8,14240,9.1,15671,7.7,21740,8.7,29144,9.3,53246,12.6,166789,17.2
2,基礎的支出,7278,2.1,4.9,2384,2.4,3558,2.3,5140,2.5,6609,2.6,7206,2.3,9993,2.4,16000,1.6
3,選択的支出,37006,10.7,54.6,6341,6.4,10682,6.8,10531,5.2,15131,6.1,21938,7,43253,10.2,150789,15.5
1,教育,36654,10.6,-25.9,95,0.1,2031,1.3,1598,0.8,5912,2.4,6413,2,19687,4.7,220371,22.7
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,36654,10.6,-25.9,95,0.1,2031,1.3,1598,0.8,5912,2.4,6413,2,19687,4.7,220371,22.7
1,教養娯楽,35067,10.1,0.9,7390,7.5,15402,9.8,18846,9.3,26744,10.7,40232,12.8,57166,13.5,79395,8.2
2,基礎的支出,6277,1.8,-7.2,2411,2.4,5576,3.5,5132,2.5,7130,2.9,8270,2.6,8090,1.9,7287,0.7
3,選択的支出,28790,8.3,2.8,4979,5,9826,6.2,13714,6.8,19614,7.8,31962,10.2,49076,11.6,72108,7.4
1,その他の消費支出,47438,13.7,-23.3,7107,7.2,13554,8.6,28301,14,33750,13.5,48421,15.5,57080,13.5,143456,14.8
2,基礎的支出,21889,6.3,26.3,3266,3.3,7376,4.7,14763,7.3,15232,6.1,26428,8.4,25381,6,60636,6.2
3,選択的支出,25548,7.4,-42.7,3841,3.9,6178,3.9,13538,6.7,18519,7.4,21993,7,31699,7.5,82820,8.5
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 4年 4月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
