区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,645,-,-,81,-,93,-,92,-,97,-,96,-,95,-,91,-
0,0,世帯人員,2.9,-,-,2.75,-,2.65,-,2.73,-,2.88,-,2.87,-,3.15,-,3.29,-
0,0,有業人員,1.28,-,-,1.19,-,0.97,-,1.16,-,1.24,-,1.28,-,1.51,-,1.62,-
0,0,世帯主平均年齢,59.1,-,-,61,-,62.8,-,61.7,-,61.3,-,59.8,-,53.6,-,53.6,-
0,0,消費支出,322519,100,-6,97457,100,153704,100,192913,100,235265,100,290881,100,403808,100,881076,100
1,0,商品,172225,53.4,3.7,73390,75.3,108030,70.3,125206,64.9,144591,61.5,171253,58.9,217721,53.9,364305,41.3
1,1,耐久財,27865,8.6,69.6,1722,1.8,2208,1.4,3039,1.6,6489,2.8,7691,2.6,24797,6.1,148767,16.9
1,2,半耐久財,24619,7.6,-2.9,4669,4.8,10416,6.8,13581,7,16351,7,24497,8.4,45349,11.2,57250,6.5
1,3,非耐久財,119741,37.1,-3.7,66999,68.7,95406,62.1,108586,56.3,121751,51.8,139065,47.8,147575,36.5,158288,18
1,0,サービス,150294,46.6,-15,24067,24.7,45675,29.7,67707,35.1,90674,38.5,119627,41.1,186087,46.1,516771,58.7
2,0,食料,84546,26.2,-7.2,48135,49.4,65301,42.5,72020,37.3,83601,35.5,98018,33.7,106064,26.3,118310,13.4
2,3,非耐久財,70277,21.8,-8.4,42097,43.2,57345,37.3,62665,32.5,70736,30.1,83096,28.6,83834,20.8,91897,10.4
2,4,サービス,14269,4.4,-0.3,6038,6.2,7956,5.2,9355,4.8,12864,5.5,14921,5.1,22230,5.5,26414,3
2,0,住居,32840,10.2,23.7,2287,2.3,5176,3.4,13109,6.8,16983,7.2,18903,6.5,38669,9.6,134382,15.3
2,1,耐久財,6670,2.1,209.2,67,0.1,47,0,8,0,-,-,-,-,1153,0.3,45330,5.1
2,2,半耐久財,278,0.1,-57.7,14,0,217,0.1,279,0.1,228,0.1,187,0.1,704,0.2,317,0
2,4,サービス,25892,8,9.1,2207,2.3,4912,3.2,12822,6.6,16754,7.1,18716,6.4,36812,9.1,88735,10.1
2,0,光熱・水道（非耐久財）,27104,8.4,18.8,15248,15.6,23474,15.3,27724,14.4,30192,12.8,28785,9.9,30979,7.7,33193,3.8
2,0,家具・家事用品,10227,3.2,-32.3,2736,2.8,4456,2.9,6240,3.2,8497,3.6,10556,3.6,17475,4.3,21541,2.4
2,1,耐久財,3922,1.2,-45.8,38,0,446,0.3,1615,0.8,2582,1.1,3604,1.2,7476,1.9,11650,1.3
2,2,半耐久財,2874,0.9,-25.3,1028,1.1,1838,1.2,1706,0.9,2669,1.1,3113,1.1,4720,1.2,5020,0.6
2,3,非耐久財,3066,1,-11,1618,1.7,1996,1.3,2527,1.3,3070,1.3,3216,1.1,4426,1.1,4594,0.5
2,4,サービス,364,0.1,-36.7,53,0.1,177,0.1,393,0.2,176,0.1,622,0.2,853,0.2,278,0
2,0,被服及び履物,12070,3.7,-4.7,2255,2.3,5477,3.6,8231,4.3,8854,3.8,14635,5,24037,6,20910,2.4
2,2,半耐久財,10996,3.4,-3.2,2112,2.2,5128,3.3,7682,4,8349,3.5,13391,4.6,22021,5.5,18207,2.1
2,4,サービス,1074,0.3,-18.2,144,0.1,349,0.2,549,0.3,505,0.2,1244,0.4,2016,0.5,2703,0.3
2,0,保健医療,15500,4.8,-19.8,4701,4.8,8236,5.4,11018,5.7,13819,5.9,18112,6.2,18897,4.7,33608,3.8
2,1,耐久財,1384,0.4,37.8,280,0.3,378,0.2,130,0.1,2061,0.9,1000,0.3,1988,0.5,3821,0.4
2,2,半耐久財,282,0.1,2.9,37,0,51,0,188,0.1,89,0,402,0.1,265,0.1,942,0.1
2,3,非耐久財,5106,1.6,-17.7,2599,2.7,3611,2.3,5293,2.7,5703,2.4,6590,2.3,6274,1.6,5652,0.6
2,4,サービス,8728,2.7,-26.3,1785,1.8,4196,2.7,5408,2.8,5966,2.5,10120,3.5,10370,2.6,23193,2.6
2,0,交通・通信,44284,13.7,43.4,8724,9,14240,9.3,15671,8.1,21740,9.2,29144,10,53246,13.2,166789,18.9
2,1,耐久財,13411,4.2,...,624,0.6,664,0.4,4,0,769,0.3,955,0.3,7872,1.9,82819,9.4
2,2,半耐久財,3084,1,162,76,0.1,465,0.3,138,0.1,146,0.1,746,0.3,5179,1.3,14801,1.7
2,3,非耐久財,2257,0.7,7.1,797,0.8,1258,0.8,1437,0.7,1823,0.8,2675,0.9,3475,0.9,4322,0.5
2,4,サービス,25532,7.9,-3.6,7227,7.4,11853,7.7,14092,7.3,19002,8.1,24768,8.5,36720,9.1,64848,7.4
2,0,教育,36654,11.4,-25.9,95,0.1,2031,1.3,1598,0.8,5912,2.5,6413,2.2,19687,4.9,220371,25
2,3,非耐久財,490,0.2,-28.4,8,0,7,0,-,-,53,0,520,0.2,564,0.1,2272,0.3
2,4,サービス,36164,11.2,-25.9,87,0.1,2023,1.3,1598,0.8,5858,2.5,5893,2,19123,4.7,218099,24.8
2,0,教養娯楽,35067,10.9,0.9,7390,7.6,15402,10,18846,9.8,26744,11.4,40232,13.8,57166,14.2,79395,9
2,1,耐久財,2180,0.7,-51.2,344,0.4,401,0.3,1038,0.5,943,0.4,2027,0.7,5370,1.3,5117,0.6
2,2,半耐久財,4627,1.4,-8.8,1135,1.2,2240,1.5,2675,1.4,3168,1.3,5181,1.8,7953,2,10001,1.1
2,3,非耐久財,6172,1.9,1.1,2345,2.4,4545,3,4351,2.3,6109,2.6,7887,2.7,9075,2.2,8849,1
2,4,サービス,22089,6.8,15.6,3567,3.7,8215,5.3,10782,5.6,16523,7,25137,8.6,34768,8.6,55429,6.3
2,0,諸雑費,24228,7.5,-39.9,5885,6,9911,6.4,18456,9.6,18923,8,26084,9,37589,9.3,52574,6
2,1,耐久財,299,0.1,-35.6,370,0.4,271,0.2,245,0.1,134,0.1,104,0,938,0.2,30,0
2,2,半耐久財,2477,0.8,-16.5,267,0.3,477,0.3,913,0.5,1700,0.7,1478,0.5,4507,1.1,7963,0.9
2,3,非耐久財,5269,1.6,-15.5,2288,2.3,3169,2.1,4589,2.4,4064,1.7,6296,2.2,8948,2.2,7509,0.9
2,4,サービス,16183,5,-47.2,2960,3,5993,3.9,12708,6.6,13025,5.5,18205,6.3,23197,5.7,37073,4.2
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 4年 4月,,,,,,,,,,,,,,,,,,,
第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,,,,
注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）,,,,,,,,,,,,,,,,,,,
