1,"東京都生計分析調査　令和 4年10月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",636,-,-,85,-,94,-,88,-,97,-,91,-,92,-,89,-
7,"0","0","世帯人員",2.90,-,-,2.60,-,2.71,-,2.84,-,2.93,-,2.85,-,3.05,-,3.34,-
8,"0","0","有業人員",1.34,-,-,1.16,-,1.05,-,1.19,-,1.41,-,1.36,-,1.56,-,1.66,-
9,"0","0","世帯主平均年齢",60.0,-,-,64.4,-,64.0,-,59.7,-,60.0,-,57.7,-,56.5,-,57.9,-
10,"0","0","消費支出",337010,-,2.3,108709,-,173990,-,226121,-,279033,-,340949,-,433772,-,791915,-
11,"0","0","公共的料金",96395,28.6,4.3,30662,28.2,52978,30.4,66953,29.6,72213,25.9,96031,28.2,113126,26.1,241379,30.5
12,"1","0","公共料金等",65721,19.5,24.1,25488,23.4,42210,24.3,49332,21.8,58690,21.0,67271,19.7,85044,19.6,131333,16.6
13,"1","1","米",2233,0.7,11.8,1261,1.2,1353,0.8,1601,0.7,4584,1.6,2392,0.7,1932,0.4,2515,0.3
14,"1","1","食塩",40,0.0,-2.4,13,0.0,19,0.0,54,0.0,45,0.0,59,0.0,31,0.0,58,0.0
15,"1","1","学校給食",979,0.3,5.4,163,0.1,423,0.2,1051,0.5,871,0.3,1028,0.3,2006,0.5,1307,0.2
16,"1","1","公営家賃",7063,2.1,306.9,1623,1.5,2432,1.4,3273,1.4,4351,1.6,5517,1.6,2243,0.5,29811,3.8
17,"1","1","電気代",13023,3.9,37.9,8062,7.4,10927,6.3,12312,5.4,12285,4.4,12109,3.6,17963,4.1,17459,2.2
18,"1","1","都市ガス",3999,1.2,20.1,2815,2.6,3541,2.0,3721,1.6,4034,1.4,3931,1.2,4692,1.1,5245,0.7
19,"1","1","上下水道料",5710,1.7,-10.5,2801,2.6,4596,2.6,6226,2.8,5464,2.0,6692,2.0,6329,1.5,7840,1.0
20,"1","1","医科診療代",4022,1.2,7.4,1637,1.5,3550,2.0,3514,1.6,4643,1.7,3749,1.1,5532,1.3,5514,0.7
21,"1","1","歯科診療代",2706,0.8,-6.1,591,0.5,1334,0.8,949,0.4,1031,0.4,3880,1.1,5122,1.2,5980,0.8
22,"1","1","出産入院料",73,0.0,...,-,-,-,-,-,-,-,-,510,0.1,-,-,-,-
23,"1","1","他の入院料",1377,0.4,213.7,-,-,632,0.4,-,-,880,0.3,-,-,4093,0.9,4012,0.5
24,"1","1","鉄道運賃",3946,1.2,64.7,558,0.5,613,0.4,1227,0.5,2595,0.9,4532,1.3,4356,1.0,13641,1.7
25,"1","1","鉄道通学定期代",1455,0.4,95.8,146,0.1,-,-,299,0.1,702,0.3,258,0.1,3310,0.8,5437,0.7
26,"1","1","鉄道通勤定期代",2064,0.6,9.0,82,0.1,862,0.5,613,0.3,507,0.2,2059,0.6,5109,1.2,5175,0.7
