1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第３表　勤め先収入７分位階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,321,-,-,48,-,44,-,47,-,51,-,45,-,46,-,40,-
8,0,0,0,0,0,世帯人員,3.18,-,-,2.84,-,3.06,-,3.19,-,3.12,-,3.31,-,3.36,-,3.4,-
9,0,0,0,0,0,有業人員,1.8,-,-,1.63,-,1.7,-,1.69,-,1.83,-,1.85,-,1.85,-,2.04,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,-,58,-,54.7,-,50,-,50,-,47.1,-,46.9,-,49.9,-
11,1,0,0,0,0,受取,1458067,-,10,517195,-,872033,-,1263587,-,1421497,-,1525934,-,1567400,-,3004220,-
12,1,1,0,0,0,実収入,588129,100,11,78344,100,289080,100,422713,100,549824,100,689336,100,808611,100,1263435,100
13,1,2,0,0,0,経常収入,572564,97.4,13,75101,95.9,287192,99.3,417205,98.7,522866,95.1,673111,97.6,787879,97.4,1229589,97.3
14,1,3,0,0,0,勤め先収入,556717,94.7,12.9,57531,73.4,268701,93,407656,96.4,508318,92.5,643239,93.3,778844,96.3,1217331,96.4
15,1,4,0,0,0,世帯主収入,435948,74.1,4.6,47224,60.3,235943,81.6,351451,83.1,435665,79.2,524328,76.1,593383,73.4,853960,67.6
16,1,6,0,0,0,うち男,419872,71.4,5.8,29522,37.7,198285,68.6,330248,78.1,435665,79.2,501321,72.7,579889,71.7,853960,67.6
17,1,5,0,0,0,定期収入,422301,71.8,3.7,46464,59.3,232674,80.5,350301,82.9,435245,79.2,515069,74.7,581733,71.9,786130,62.2
18,1,5,0,0,0,臨時収入,3543,0.6,-19.3,760,1,494,0.2,1150,0.3,420,0.1,3301,0.5,4895,0.6,13573,1.1
19,1,5,0,0,0,賞与,10104,1.7,93.3,-,-,2775,1,-,-,-,-,5957,0.9,6755,0.8,54257,4.3
20,1,4,0,0,0,世帯主の配偶者の収入,110393,18.8,56,8838,11.3,19639,6.8,28720,6.8,69571,12.7,107431,15.6,175825,21.7,356805,28.2
21,1,6,0,0,0,うち女,105992,18,57.1,8838,11.3,13814,4.8,28720,6.8,69571,12.7,93409,13.6,164652,20.4,356805,28.2
22,1,4,0,0,0,他の世帯員収入,10376,1.8,87.6,1469,1.9,13119,4.5,27484,6.5,3083,0.6,11480,1.7,9636,1.2,6566,0.5
23,1,3,0,0,0,事業・内職収入,7590,1.3,17.5,3513,4.5,12513,4.3,1761,0.4,2175,0.4,16298,2.4,4802,0.6,12129,1
24,1,4,0,0,0,家賃収入,5479,0.9,128,3513,4.5,4879,1.7,-,-,2175,0.4,14951,2.2,4802,0.6,8170,0.6
25,1,4,0,0,0,他の事業収入,955,0.2,-66.4,-,-,6637,2.3,11,0,-,-,-,-,-,-,-,-
26,1,4,0,0,0,内職収入,1156,0.2,-4.8,-,-,996,0.3,1750,0.4,-,-,1346,0.2,-,-,3959,0.3
27,1,3,0,0,0,他の経常収入,8257,1.4,15.9,14056,17.9,5978,2.1,7788,1.8,12372,2.3,13574,2,4232,0.5,129,0
