1,東京都生計分析調査　令和 5年 4月,,,,,,,,,
2,,,主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,
3,,,公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕　※令和５年１月から４月の４か月分について、令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,
4,年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
5,nen,平成28年平均,29.9,27.8,29.9,33.8,30.2,30.7,31.9,26.5
6,nen,平成29年平均,28.7,28.9,27.9,27.8,27.7,31.4,29.4,27.8
7,nen,平成30年平均,30.1,25.6,32.7,33.4,30.9,30.7,30.5,27.3
8,nen,平成31年・令和元年平均,29.2,27.0,29.3,32.8,32.4,31.6,26.5,26.6
9,nen,令和 2年平均,29.0,29.3,31.6,32.0,28.8,29.3,28.6,25.8
10,nen,令和 3年平均,26.9,25.9,30.5,30.3,29.6,28.6,26.0,21.5
11,nen,令和 4年平均,28.1,29.9,31.4,30.0,28.2,26.5,29.2,24.9
12,tuki,令和 4年 4月,33.5,34.5,37.5,33.7,33.5,32.8,33.3,31.9
13,tuki,令和 4年 5月,30.6,29.5,34.8,35.3,27.7,27.5,33.1,28.7
14,tuki,令和 4年 6月,28.7,28.7,33.0,36.1,26.5,27.9,21.9,29.6
15,tuki,令和 4年 7月,24.7,29.2,27.4,23.5,21.6,25.8,22.7,24.5
16,tuki,令和 4年 8月,25.7,31.9,19.1,34.0,28.1,21.7,28.9,21.2
17,tuki,令和 4年 9月,29.6,34.5,31.5,29.3,27.0,29.1,25.3,31.8
18,tuki,令和 4年10月,30.7,35.0,33.7,28.8,30.2,26.5,25.1,34.1
19,tuki,令和 4年11月,26.0,25.0,25.5,28.2,23.7,33.7,26.2,20.8
20,tuki,令和 4年12月,24.6,25.9,28.5,27.9,23.5,25.7,22.6,21.0
21,tuki,令和 5年 1月,26.7,32.2,25.2,27.9,30.0,26.8,27.8,21.1
22,tuki,令和 5年 2月,32.1,33.6,35.4,34.6,30.2,38.4,28.8,25.6
23,tuki,令和 5年 3月,28.9,30.8,33.8,28.7,27.7,25.1,31.5,26.7
24,tuki,令和 5年 4月,36.2,29.9,30.9,33.2,45.4,31.2,37.7,38.2
