1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,331,-,-,47,-,47,-,46,-,45,-,48,-,50,-,48,-
7,0,0,世帯人員,3.24,-,-,2.89,-,3.21,-,3.21,-,3.14,-,3.44,-,3.37,-,3.43,-
8,0,0,有業人員,1.80,-,-,1.60,-,1.67,-,1.73,-,1.72,-,1.76,-,2.00,-,2.10,-
9,0,0,世帯主平均年齢,51.1,-,-,57.3,-,51.5,-,51.3,-,49.2,-,49.2,-,50.9,-,48.1,-
10,0,0,消費支出,397252,-,4.5,244044,-,258130,-,308296,-,401453,-,402081,-,486683,-,675936,-
11,0,0,公共的料金,143731,36.2,12.8,73081,29.9,79873,30.9,102270,33.2,182334,45.4,125302,31.2,183237,37.7,258036,38.2
12,1,0,公共料金等,68608,17.3,3.2,44276,18.1,59023,22.9,62748,20.4,82035,20.4,79198,19.7,77951,16.0,74874,11.1
13,1,1,米,1636,0.4,-5.1,1690,0.7,1328,0.5,1059,0.3,1608,0.4,1996,0.5,1664,0.3,2107,0.3
14,1,1,食塩,29,0.0,-9.4,35,0.0,25,0.0,28,0.0,39,0.0,27,0.0,25,0.0,27,0.0
15,1,1,学校給食,644,0.2,22.7,178,0.1,545,0.2,513,0.2,403,0.1,1667,0.4,903,0.2,312,0.0
16,1,1,公営家賃,1153,0.3,-70.3,-,-,5190,2.0,-,-,-,-,2850,0.7,-,-,-,-
17,1,1,電気代,12809,3.2,5.8,9873,4.0,11877,4.6,13290,4.3,10867,2.7,15251,3.8,12489,2.6,15979,2.4
18,1,1,都市ガス,8304,2.1,13.6,6533,2.7,8386,3.2,8271,2.7,8855,2.2,8707,2.2,7145,1.5,10184,1.5
19,1,1,上下水道料,4750,1.2,-21.9,4621,1.9,4008,1.6,5113,1.7,4936,1.2,4964,1.2,4871,1.0,4749,0.7
20,1,1,医科診療代,4154,1.0,17.0,2268,0.9,4115,1.6,4995,1.6,6051,1.5,4662,1.2,4238,0.9,2751,0.4
21,1,1,歯科診療代,1898,0.5,-3.6,1132,0.5,2609,1.0,918,0.3,1375,0.3,2160,0.5,4552,0.9,542,0.1
22,1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,2334,0.6,2.6,-,-,-,-,5860,1.9,8180,2.0,-,-,2299,0.5,-,-
24,1,1,鉄道運賃,4987,1.3,117.2,3745,1.5,3573,1.4,3636,1.2,2935,0.7,4785,1.2,7402,1.5,8778,1.3
25,1,1,鉄道通学定期代,2453,0.6,69.6,1358,0.6,373,0.1,470,0.2,157,0.0,3561,0.9,6399,1.3,4848,0.7
