"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","夫婦のみの世帯／実数（円）","夫婦のみの世帯／構成比（％）","夫婦と未婚の子供から成る世帯／実数（円）","夫婦と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／実数（円）","一人親と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）","その他／実数（円）","その他／構成比（％）","（再掲）夫婦共働き世帯／実数（円）","（再掲）夫婦共働き世帯／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,3852,-,4734,-,664,-,87,-,751,-,3906,-
"0","0","0","0","0","調査世帯数",611,-,235,-,292,-,40,-,6,-,44,-,236,-
"0","0","0","0","0","世帯人員",2.90,-,2.00,-,3.69,-,2.38,-,2.87,-,3.00,-,3.31,-
"0","0","0","0","0","有業人員",1.34,-,0.83,-,1.78,-,1.31,-,0.75,-,1.16,-,2.18,-
"0","0","0","0","0","世帯主平均年齢",60.9,-,68.8,-,53.3,-,67.3,-,45.1,-,62.8,-,52.0,-
"2","2","0","0","0","生計支出",332613,-,312770,-,361916,-,241921,-,360154,-,329837,-,372945,-
"2","3","0","0","0","消費支出",332613,100.0,312770,100.0,361916,100.0,241921,100.0,360154,100.0,329837,100.0,372945,100.0
"2","4","1","0","0","食料",90041,27.1,82552,26.4,101646,28.1,66898,27.7,82360,22.9,75748,23.0,94468,25.3
"2","5","1","1","0","穀類",6479,1.9,5656,1.8,7411,2.0,5860,2.4,6477,1.8,5369,1.6,6620,1.8
"2","6","1","1","1","米類",1417,0.4,1206,0.4,1686,0.5,1034,0.4,1237,0.3,1140,0.3,1382,0.4
"2","6","1","1","2","パン",3009,0.9,2724,0.9,3295,0.9,2897,1.2,3001,0.8,2760,0.8,3053,0.8
"2","6","1","1","3","麺類",1563,0.5,1329,0.4,1847,0.5,1420,0.6,1181,0.3,1105,0.3,1677,0.4
