地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13202,1320200000,立川市,,,立川市,308,288,20,3653,410667,38,67,94,61,26,14,6,2
5,13202,1320201200,立川市,立川市曙町,,立川市曙町,62,60,2,856,115727,3,10,17,18,10,3,-,1
6,13202,1320201201,立川市,立川市曙町,1丁目,立川市曙町1丁目,20,19,1,228,X,1,1,8,7,3,-,-,-
6,13202,1320201202,立川市,立川市曙町,2丁目,立川市曙町2丁目,40,40,-,607,82258,1,9,9,11,6,3,-,1
6,13202,1320201203,立川市,立川市曙町,3丁目,立川市曙町3丁目,2,1,1,21,X,1,-,-,-,1,-,-,-
5,13202,1320200600,立川市,立川市泉町,,立川市泉町,3,3,-,149,66443,-,-,-,1,-,1,1,-
5,13202,1320200700,立川市,立川市柏町,,立川市柏町,13,12,1,166,7307,2,1,3,6,-,1,-,-
6,13202,1320200701,立川市,立川市柏町,1丁目,立川市柏町1丁目,1,1,-,18,X,-,-,-,1,-,-,-,-
6,13202,1320200702,立川市,立川市柏町,2丁目,立川市柏町2丁目,6,6,-,96,4103,1,-,2,2,-,1,-,-
6,13202,1320200703,立川市,立川市柏町,3丁目,立川市柏町3丁目,3,2,1,24,X,-,1,1,1,-,-,-,-
6,13202,1320200704,立川市,立川市柏町,4丁目,立川市柏町4丁目,3,3,-,28,1526,1,-,-,2,-,-,-,-
6,13202,1320200705,立川市,立川市柏町,5丁目,立川市柏町5丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13202,1320200300,立川市,立川市上砂町,,立川市上砂町,6,5,1,87,3910,2,1,1,-,1,1,-,-
6,13202,1320200301,立川市,立川市上砂町,1丁目,立川市上砂町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200302,立川市,立川市上砂町,2丁目,立川市上砂町2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200303,立川市,立川市上砂町,3丁目,立川市上砂町3丁目,1,-,1,2,X,1,-,-,-,-,-,-,-
6,13202,1320200304,立川市,立川市上砂町,4丁目,立川市上砂町4丁目,2,2,-,54,X,-,-,1,-,-,1,-,-
6,13202,1320200305,立川市,立川市上砂町,5丁目,立川市上砂町5丁目,3,3,-,31,1292,1,1,-,-,1,-,-,-
6,13202,1320200306,立川市,立川市上砂町,6丁目,立川市上砂町6丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320200307,立川市,立川市上砂町,7丁目,立川市上砂町7丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13202,1320200800,立川市,立川市幸町,,立川市幸町,19,15,4,130,6491,4,2,11,1,-,1,-,-
6,13202,1320200801,立川市,立川市幸町,1丁目,立川市幸町1丁目,2,2,-,20,X,-,-,1,1,-,-,-,-
6,13202,1320200802,立川市,立川市幸町,2丁目,立川市幸町2丁目,4,3,1,46,1658,1,1,1,-,-,1,-,-
6,13202,1320200803,立川市,立川市幸町,3丁目,立川市幸町3丁目,4,4,-,22,1678,-,1,3,-,-,-,-,-
6,13202,1320200804,立川市,立川市幸町,4丁目,立川市幸町4丁目,4,2,2,19,X,1,-,3,-,-,-,-,-
6,13202,1320200805,立川市,立川市幸町,5丁目,立川市幸町5丁目,5,4,1,23,602,2,-,3,-,-,-,-,-
6,13202,1320200806,立川市,立川市幸町,6丁目,立川市幸町6丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13202,1320201000,立川市,立川市栄町,,立川市栄町,19,18,1,283,17310,3,3,4,5,-,3,1,-
6,13202,1320201001,立川市,立川市栄町,1丁目,立川市栄町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13202,1320201002,立川市,立川市栄町,2丁目,立川市栄町2丁目,2,2,-,19,X,1,-,-,1,-,-,-,-
6,13202,1320201003,立川市,立川市栄町,3丁目,立川市栄町3丁目,3,3,-,18,316,1,-,1,1,-,-,-,-
6,13202,1320201004,立川市,立川市栄町,4丁目,立川市栄町4丁目,4,4,-,67,5965,-,1,1,1,-,1,-,-
6,13202,1320201005,立川市,立川市栄町,5丁目,立川市栄町5丁目,1,-,1,2,X,1,-,-,-,-,-,-,-
6,13202,1320201006,立川市,立川市栄町,6丁目,立川市栄町6丁目,9,9,-,177,10589,-,2,2,2,-,2,1,-
5,13202,1320201500,立川市,立川市柴崎町,,立川市柴崎町,37,36,1,376,65310,5,14,6,5,5,1,1,-
6,13202,1320201501,立川市,立川市柴崎町,1丁目,立川市柴崎町1丁目,2,2,-,5,X,1,1,-,-,-,-,-,-
6,13202,1320201502,立川市,立川市柴崎町,2丁目,立川市柴崎町2丁目,9,8,1,100,5363,-,5,-,1,3,-,-,-
6,13202,1320201503,立川市,立川市柴崎町,3丁目,立川市柴崎町3丁目,18,18,-,203,54123,3,4,5,3,1,1,1,-
6,13202,1320201504,立川市,立川市柴崎町,4丁目,立川市柴崎町4丁目,2,2,-,33,X,-,1,-,-,1,-,-,-
6,13202,1320201505,立川市,立川市柴崎町,5丁目,立川市柴崎町5丁目,2,2,-,7,X,-,2,-,-,-,-,-,-
6,13202,1320201506,立川市,立川市柴崎町,6丁目,立川市柴崎町6丁目,4,4,-,28,4273,1,1,1,1,-,-,-,-
5,13202,1320200400,立川市,立川市砂川町,,立川市砂川町,13,12,1,194,7803,3,4,1,3,1,-,1,-
6,13202,1320200401,立川市,立川市砂川町,1丁目,立川市砂川町1丁目,1,-,1,3,X,-,1,-,-,-,-,-,-
6,13202,1320200402,立川市,立川市砂川町,2丁目,立川市砂川町2丁目,2,2,-,12,X,1,-,-,1,-,-,-,-
6,13202,1320200403,立川市,立川市砂川町,3丁目,立川市砂川町3丁目,4,4,-,51,2343,1,-,1,1,1,-,-,-
