年度,Fiscal year,系統,Line,営業キロ Length of line(km),駅数 Stations,在籍車両数 Vehicles owned,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled／列車 Trains(km),走行キロ数 Distance traveled／客車 Vehicles(km),輸送人員 Passengers 1),旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used(Kwh)
平成19,2007,総数,Total,106.2,105,1086,5827527,3581903,2245624,320182,14398310,109310922,826292742,128153720,238847298
平成20,2008,総数,Total,106.2,105,1086,5915528,3679634,2235894,323346,14383798,109158647,840588922,129626940,236293128
平成21,2009,総数,Total,106.2,105,1086,5902357,3711070,2191286,323896,15204037,116072039,837844327,128477391,234354949
平成22,2010,総数,Total,106.2,105,1094,5901666,3735796,2165870,326215,14818568,112736300,836106912,127586033,236110547
平成23,2011,総数,Total,106.2,105,1102,5822500,3712581,2109919,328525,14381599,109834863,821950342,125117446,231336877
平成23,2011,浅草線,Asakusa Line,18.3,20,216,1167687,731596,436091,66139,2811845,22425544,221792423,27262537,43350216
平成23,2011,三田線,Mita Line,26.5,27,222,1350285,908229,442056,65080,3356910,20141455,202594947,26863990,38146961
平成23,2011,新宿線,Shinjuku Line,20.7,20,232,1607526,1060704,546822,70908,2800348,23967893,227083814,33157804,54108600
平成23,2011,大江戸線,Oedo Line,40.7,38,432,1697002,1012052,684950,126398,5412496,43299971,285741480,37833115,95731100
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-14  地下鉄の運輸成績 (2)  都営　 (平成19～23年度） 4-14 OPERATIONS OF SUBWAYS (2) TOEI SUBWAY ( Fiscal Years 2007-2011 ),,,,,,,,,,,,,,,
注 1) 「輸送人員」の総数は乗り換えによる重複分があるため， 内訳の計と一致しない。,,,,,,,,,,,,,,,
2) 新宿線の使用車両数， 旅客運賃収入及び使用電力量には， 都外分を含む。,,,,,,,,,,,,,,,
Note: 1) The total number of passengers does not match the total of the breakdowns due to duplication of transit passenger numbers.,,,,,,,,,,,,,,,
2) The railway vehicles used， passenger fare revenue， power used for the Shinjuku Line include figures from outside Tokyo.,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
