学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,61960,28621,33339,…,…,…,9711,…,…
小学校,Elementary schools,39120,30302,10808,19494,3856,979,2877,4962,2181,2781
中学校,Junior high schools,20320,14669,8432,6237,3829,1483,2346,1822,899,923
高等学校,Senior high schools,13888,9313,6166,3147,2885,1527,1358,1690,923,767
中等教育学校,Secondary education schools,530,348,237,111,150,76,74,32,14,18
大学,Colleges and universities,1842,741,632,109,803,…,…,298,144,154
高等専門学校,Colleges of technology,…,133,123,10,…,…,…,35,…,…
特別支援学校,Special needs schools,6578,5396,2169,3227,482,172,310,700,298,402
幼稚園,Kindergartens,1165,865,22,843,238,74,164,62,13,49
高等学校（通信制）,Senior high schools (Correspondence course),84,46,29,17,36,18,18,2,1,1
専修学校,Specialized training schools,928,147,3,144,673,337,336,108,19,89
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成23年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2011 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」 Source: Ministry of Education， Culture， Sports， Science and Technology,,,,,,,,,,,
