地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity
0,13000,,総数,Tokyo-to,3200347,395112,123474,263480,8158,2701602,1459255,1242347,15018,74879,13736,169802,1038652,1341,246549
1,13100,,区部,All ku,1988054,289007,89456,192015,7536,1631832,954321,677511,9514,48554,9147,114050,…,1061,189568
5,13101,1,千代田区,Chiyoda-ku,29625,4714,469,4241,4,24091,15975,8116,63,694,63,877,…,137,17356
5,13102,2,中央区,Chuo-ku,40313,7292,1011,6232,49,31649,21210,10439,83,1012,277,1580,…,106,13825
5,13103,3,港区,Minato-ku,71730,8905,1968,6572,365,60704,45551,15153,261,1260,600,3418,…,160,23783
5,13104,4,新宿区,Shinjuku-ku,52976,7240,1213,6018,9,44152,27361,16791,174,1373,37,3755,…,85,15523
5,13105,5,文京区,Bunkyo-ku,33258,4292,584,3707,1,28486,18049,10437,65,407,8,2116,…,26,2862
5,13106,6,台東区,Taito-ku,35075,7353,888,6450,15,26976,15336,11640,44,656,46,1864,…,41,4006
5,13107,7,墨田区,Sumida-ku,50030,10319,2348,7944,27,38069,20767,17302,164,1111,367,2653,…,22,4445
5,13108,8,江東区,Koto-ku,109096,26908,11382,13788,1738,74956,43171,31785,635,4873,1724,5363,…,91,27878
