年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,ゴルフ場利用税交付金 Golf facilities tax allocations,地方消費税交付金 Local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成22,2010,13100,,区部,All ku,3172194,904918,16002,13036,6433,40,131978,9026,12742,867557,1280,26212,79234,16053,501200,180153,21846,8065,162187,103895,61791,48547
平成23,2011,13100,,区部,All ku,3233681,905940,15943,12198,6648,37,132141,7629,16169,886527,1235,26527,79354,15780,542016,187372,16387,4032,153317,85872,62872,75685
平成24,2012,13100,,区部,All ku,3258147,922015,15013,11739,7457,38,132834,8619,5025,905047,1214,27202,80035,15497,542630,190416,22447,7641,134773,94003,63657,70846
平成24,2012,13101,1,千代田区,Chiyoda-ku,47079,14765,316,153,97,-,9515,193,8,7263,26,216,3037,530,3681,1857,217,1687,495,1590,1433,-
平成24,2012,13102,2,中央区,Chuo-ku,78671,21414,408,246,158,-,7815,250,63,13252,28,322,4821,685,7659,3663,1051,68,7197,2206,3247,4120
平成24,2012,13103,3,港区,Minato-ku,107104,59064,475,788,498,-,10878,289,64,2738,50,351,5569,732,9093,4920,520,150,5106,3832,1987,-
平成24,2012,13104,4,新宿区,Shinjuku-ku,132170,39102,502,481,307,-,8435,303,80,26648,54,1502,3273,834,22770,7675,1923,65,9198,3993,2662,2364
平成24,2012,13105,5,文京区,Bunkyo-ku,76372,28201,285,373,238,-,3524,172,59,15989,24,785,1905,421,7794,3537,333,154,7230,3586,1064,700
平成24,2012,13106,6,台東区,Taito-ku,94930,17711,337,207,131,-,3577,208,93,29564,30,544,2473,605,19969,6217,568,77,2939,3435,4854,1390
平成24,2012,13107,7,墨田区,Sumida-ku,106634,20519,380,249,159,-,3302,230,169,36811,35,992,2256,467,20351,6265,173,132,5368,2909,1732,4134
平成24,2012,13108,8,江東区,Koto-ku,166318,43577,695,518,332,21,6283,414,361,50777,54,2382,2844,695,25467,8499,390,1800,10131,4078,3382,3620
平成24,2012,13109,9,品川区,Shinagawa-ku,132528,40986,571,516,329,-,5868,345,165,37825,41,1351,4896,572,18919,6870,645,428,5472,3845,2884,-
平成24,2012,13110,10,目黒区,Meguro-ku,87806,38698,386,514,323,-,3097,233,75,16139,35,843,2200,445,9827,4282,886,35,1659,4146,1808,2177
平成24,2012,13111,11,大田区,Ota-ku,230150,66849,1799,877,556,-,8043,635,441,65430,89,2314,6742,1104,42791,13865,1209,47,5066,2623,4685,4985
平成24,2012,13112,12,世田谷区,Setagaya-ku,237604,106799,1262,1440,914,-,8301,762,353,43635,114,1263,5550,1268,33490,16585,965,47,2299,2503,5570,4484
平成24,2012,13113,13,渋谷区,Shibuya-ku,77644,41031,424,529,333,-,5614,256,45,4012,42,738,2877,670,8657,3942,440,70,28,6449,943,542
平成24,2012,13114,14,中野区,Nakano-ku,114533,29597,435,388,247,-,3266,262,113,32776,31,446,1876,493,19548,7766,1341,1780,5643,2356,938,5232
平成24,2012,13115,15,杉並区,Suginami-ku,167779,59906,764,786,500,-,5340,460,188,37877,68,557,3817,758,21914,10497,645,323,9715,6807,1636,5220
平成24,2012,13116,16,豊島区,Toshima-ku,104426,28326,457,334,213,-,4488,273,114,28892,32,813,2921,654,18542,6500,460,13,4678,2125,1815,2775
平成24,2012,13117,17,北区,Kita-ku,131717,25547,477,323,205,9,3566,288,146,46374,34,1318,2874,537,22670,6752,7124,14,5426,2890,3436,1706
平成24,2012,13118,18,荒川区,Arakawa-ku,84723,14929,289,182,116,-,2198,174,158,34272,22,1024,1891,335,15092,4524,223,312,1891,2296,1796,2999
平成24,2012,13119,19,板橋区,Itabashi-ku,181571,41672,816,529,336,4,5551,494,380,61448,70,2683,3569,734,38883,10411,544,49,2842,3783,2073,4699
平成24,2012,13120,20,練馬区,Nerima-ku,228073,60443,1062,793,504,-,6590,641,418,77527,91,822,3744,813,42342,14835,458,47,5259,2455,2584,6646
平成24,2012,13121,21,足立区,Adachi-ku,248739,43037,1080,522,332,3,6801,654,590,89674,94,2158,4436,835,53513,15134,1210,66,17445,3274,3980,3902
平成24,2012,13122,22,葛飾区,Katsushika-ku,180159,30869,698,381,242,-,4356,422,397,66359,63,1583,2514,525,31824,13630,443,160,4642,8411,4997,7644
平成24,2012,13123,23,江戸川区,Edogawa-ku,241416,48974,1096,609,387,-,6427,663,545,79766,88,2194,3950,787,47833,12188,678,118,15044,14412,4151,1505
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成22～24年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2010-2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,
