年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.8,101.1,103.8,103.5,94.1,104.3,97.4,97.3,96.8,96.7,99.1,101.1,104.1,97.6,102.6,85.6,95.7
平成24,2012,平均,Average,99.8,99.3,102,101.2,95.6,105.3,100.7,99.2,97.1,94.1,101.5,104.7,113.6,93.8,100.8,81.3,96.2
平成25,2013,平均,Average,100.8,94.7,104.7,100.9,96.9,107.8,103.1,100.2,99.8,97.2,93.9,105.4,118.5,98.8,101.2,88,96.7
平成26,2014,平均,Average,98.9,94.3,104.1,101.9,97.7,106.1,100.6,96.7,97.2,99.6,88.7,106,112.8,94.2,98.7,81.3,97.7
平成26,2014,1,Jan.,80.6,68,87.8,78.8,80,82.7,90.5,79.4,78.3,79,71.8,94.7,94.7,72.8,82.9,67.1,83.8
平成26,2014,2,Feb.,80.1,70.9,85.8,77.5,80.7,84.4,83.2,80.3,73.4,77.1,72.8,100.4,97.1,73.8,83.2,67.1,84
平成26,2014,3,Mar.,86.8,74.7,90.6,86.4,82.2,91.9,88.1,90.8,80.3,84.9,73.5,98.2,99.3,82.9,82.4,96.3,92.3
平成26,2014,4,Apr.,82.6,67.3,86.4,86.5,81.8,85.6,87.3,79.4,73.2,82,71.1,95.6,96.5,81.6,87.1,70.4,86.5
平成26,2014,5,May,80.7,65.9,82.4,79.2,77.8,81.1,82.1,76.4,95.2,81.4,72.5,91.9,98.2,73.8,80.9,63.8,83.4
平成26,2014,6,June,161.2,205.4,158.4,159.3,194.1,199.5,142.7,150.9,193,175.8,138.2,128.7,163,165.6,141.6,136.4,137.2
平成26,2014,7,July,107.3,84.8,116.1,125.9,75.7,96,119.6,124.4,85.8,101.5,90.4,122.2,140.8,84,106.9,66,108.7
平成26,2014,8,Aug.,78.6,77.5,83,81.9,76.3,81.5,80.6,77.4,71.9,75.8,68.5,94.1,91.6,73.7,79.8,63.7,84.7
平成26,2014,9,Sept.,82,66,84.5,78.1,73.6,87.2,79.5,77.1,72.3,80.6,109.6,104.9,96.4,71.5,80.3,61.8,84.3
平成26,2014,10,Oct.,78.7,64.8,82.8,79.9,80.7,82.6,81.3,74.8,72.2,77.4,68.1,92.9,96.3,76.6,82.7,69.9,85.6
平成26,2014,11,Nov.,81.4,76.4,109,81.2,78.6,83.5,80.9,76.8,72.7,78.2,72.5,103.7,104.4,70.6,92.5,64.4,85
平成26,2014,12,Dec.,186.2,208.7,181.5,205.7,190,215.6,190.5,171.5,195.7,200.5,155.1,144,174.4,202.7,183.1,149.2,155.2
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額)  (平成22～26年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2010-2014 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
 （平成22年平均＝100）   (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
