年次,Year,月次 ,Month,総数 Total,立会市場 Auction Trades／計 Total,立会市場 Auction Trades／普通取引 Regular way,立会市場 Auction Trades／発行日取引 When-issued,立会市場 Auction Trades／立会外分売 Off-floor sell,ToSTNeT市場 ToSTNeT
平成22,2010,総数,Total,511695772,471258716,471253968,-,1679,40437055
平成23,2011,総数,Total,524646368,478160405,478155990,-,1144,46485963
平成24,2012,総数,Total,519754423,464401756,464391837,-,5712,55352667
平成25,2013,総数,Total,841857965,774518917,774485197,-,5532,67339047
平成26,2014,総数,Total,612851073,549487155,549479957,-,6928,63363918
平成26,2014,1,Jan.,59392743,54383449,54383434,-,-,5009293
平成26,2014,2,Feb.,54570757,49000895,49000047,-,821,5569861
平成26,2014,3,Mar.,49932098,44369611,44369179,-,431,5562486
平成26,2014,4,Apr.,45708361,40434988,40434678,-,300,5273372
平成26,2014,5,May,45226103,39422836,39422502,-,323,5803267
平成26,2014,6,June,50136729,44296135,44295826,-,300,5840594
平成26,2014,7,July,49975190,44832017,44831346,-,600,5143172
平成26,2014,8,Aug.,44938384,40674008,40670796,-,3204,4264375
平成26,2014,9,Sept.,47392319,42711461,42711086,-,360,4680858
平成26,2014,10,Oct.,58537129,52793836,52793832,-,-,5743293
平成26,2014,11,Nov.,55368464,49854844,49854298,-,488,5513619
平成26,2014,12,Dec.,51672791,46713070,46712929,-,100,4959721
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (1) 第一部 (平成22～26年) 15-7  SALES VOLUME BY TYPE OF TRADING (1) THE 1st SECTION ( 2010-2014 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
注 1) 立会市場の計及びToSTNeT市場には，それぞれの過誤訂正分を含む。,,,,,,,,,
Note: 1) Figures in the ToSTNeT and Auction Trades (total) columns include corrections.,,,,,,,,,
資料：(株)東京証券取引所 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
