項目階層,項目,Item,平成24年度 Fiscal year 2012／実数 Value,平成24年度 Fiscal year 2012／構成比 Percentage Distribution (%),平成24年度 Fiscal year 2012／対前年度増加率 Percent changes from previous fiscal year (%),平成25年度 Fiscal year 2013／実数 Value,平成25年度 Fiscal year 2013／構成比 Percentage Distribution (%),平成25年度 Fiscal year 2013／対前年度増加率 Percent changes from previous fiscal year (%)
0,雇用者報酬,Compensation of employees,34661.2,58.7,-0.3,34673.1,57.8,0
1,賃金・俸給,Wages and salaries,26770.1,45.3,-1,26906.1,44.9,0.5
1,雇主の社会負担,Employers' social contributions,7891.1,13.4,2.2,7766.9,13,-1.6
3,雇主の現実社会負担,Employers' actual social contributions,5019.7,8.5,1.8,5133.5,8.6,2.3
3,雇主の帰属社会負担,Employers' imputed social contributions,2871.3,4.9,3,2633.4,4.4,-8.3
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),4661.6,7.9,2,5091.7,8.5,9.2
3,受取,Receivable,7353.2,12.5,0.5,7881.9,13.1,7.2
3,支払,Payable,2691.6,4.6,-2,2790.2,4.7,3.7
1,一般政府,General government,-1519.2,-2.6,-8.5,-1432.4,-2.4,5.7
3,受取,Receivable,1033.6,1.8,-8,1205.5,2,16.6
3,支払,Payable,2552.8,4.3,1.1,2638,4.4,3.3
1,家計,Households,6145.6,10.4,3.5,6487.9,10.8,5.6
2,利子,Interest,2534.8,4.3,-2.6,2862.9,4.8,12.9
3,受取,Receivable,2669.2,4.5,-5.2,3011.3,5,12.8
3,支払 （消費者負債利子）,Payable (consumer debt interest),134.4,0.2,-37.2,148.3,0.2,10.4
2,配当 (受取）,Dividends， receivable,1627.9,2.8,19.7,1522,2.5,-6.5
2,保険契約者に帰属する財産所得 ,Properties income attributed to insurance policy holders，receivable,1404.6,2.4,6.9,1467.7,2.4,4.5
2,賃貸料 (受取),Rent， receivable,578.2,1,-12.4,635.3,1.1,9.9
1,対家計民間非営利団体,Private non-profit institutions serving households,35.3,0.1,-2,36.2,0.1,2.6
3,受取,Receivable,39.6,0.1,-7.7,40.1,0.1,1.3
3,支払,Payable,4.3,0,-37.2,4,0,-9.1
0,企業所得 (法人企業の分配所得受払後）,Entrepreneurial income (after receivable and payable of distributed income of corporations),19730.7,33.4,-0.5,20194.5,33.7,2.4
1,民間法人企業,Private corporations,11579.9,19.6,-7.4,11846.4,19.8,2.3
1,公的企業,Public corporations,2844.6,4.8,39.6,2686.7,4.5,-5.6
1,個人企業,Private unincorporated enterprises ,5306.2,9,0.4,5661.4,9.4,6.7
3,農林水産業,Agriculture， forestry and fishing,-1,0,79.5,0.6,0,154.9
3,その他の産業 (非農林水・非金融),Others,1345.2,2.3,-5.6,1624.6,2.7,20.8
3,持ち家,Imputed service of owner-occupied dwellings,3962.1,6.7,2.5,4036.2,6.7,1.9
0,都民所得（要素費用表示）,Prefectural income(at factor cost),59053.5,100,-0.2,59959.2,100,1.5
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,4665.5,7.9,0.7,4810.5,8,3.1
0,都民所得 (市場価格表示),Prefectural income (at market prices),63719,107.9,-0.1,64769.7,108,1.6
0,（参考）民間法人企業所得（受払前）,(cf)Entrepreneurial income of private corporations (before receivable and payable ),11949.5,20.2,-9.5,11904.2,19.9,-0.4
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成24，25年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2012 and 2013),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円）   (Value in billions of yen),,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
