事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,平成25年,2013,4262,1591,85524,77980,2671,176952,155254
1,保護施設,Public assistance facilities,36,-,-,-,36,2146,2062
2,救護施設,Relief facilities,10,-,-,-,10,911,927
2,更生施設,Rehabilitation facilities,10,-,-,-,10,775,878
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),6,-,-,-,6,460,257
1,老人福祉施設,Welfare facilities for the elderly,289,121,123,83,168,6276,5885
2,養護老人ホーム(一般）,Nursing homes (general),33,1,123,83,32,3371,3320
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,100
2,軽費老人ホーム（A型),Low-cost homes (type A),9,-,-,-,9,660,656
2,軽費老人ホーム（B型),Low-cost homes (type B),4,-,-,-,4,220,95
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),39,-,-,-,39,1925,1714
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),73,30,…,…,43,…,…
2,老人福祉センター（B型),Welfare centers (type B),130,90,…,…,40,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,274,10,186,-,264,8279,5367
2,障害者支援施設,Support facilities  ,89,-,-,-,89,4881,5237
2,地域活動支援センター,Local activity support centers,171,10,186,…,161,3239,…
2,福祉ホーム,Group homes ,14,-,-,-,14,159,130
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,21,4,-,…,17,-,…
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),4,2,…,…,2,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,119
1,児童福祉施設,Child welfare facilities,2793,1450,85037,77835,1343,116477,108723
2,助産施設,Midwifery homes,41,12,214,…,29,383,…
2,乳児院,Infant homes,10,-,-,-,10,507,419
2,母子生活支援施設,Living support facilities for single-mother families,36,-,-,-,36,731,1287
2,保育所,Day care centers,1920,816,83865,76835,1104,110401,104370
2,児童養護施設,Foster homes,55,-,-,-,55,2972,2573
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,626,451
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),12,4,400,282,8,1058,349
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),16,6,186,455,10,416,549
2,児童発達支援センター（医療型）,Child development support centers (medical care type),4,3,120,105,1,114,12
2,情緒障害児短期治療施設,Short-term rehabilitation homes for children with emotional disorders,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,158,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),389,351,…,…,38,…,…
2,児童センター,Child centers,224,181,…,…,43,…,…
2,大型児童館A型,Large child centers type A,-,-,…,…,-,…,…
2,大型児童館B型,Large child centers type B,-,-,…,…,-,…,…
2,大型児童館C型,Large child centers type C,-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,75,75,…,…,-,…,…
1,母子福祉施設,Welfare facilities for fatherless families,-,-,…,…,-,…,…
2,母子福祉センター,Guidance centers for fatherless families,-,-,…,…,-,…,…
2,母子休養ホーム,Recreational and accommodation facilities for fatherless families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,844,6,178,62,838,43544,33098
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),11,2,74,36,9,272,233
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),176,-,-,-,176,5391,4205
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,無料低額診療施設,Free or low cost medical facilities,47,-,…,…,47,…,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,3,3,90,16,-,-,-
2,有料老人ホーム,Fee-based nursing homes for the elderly,603,1,14,10,602,37801,28660
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),437,…,…,…,437,39780,36179
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成25年） 18-1  SOCIAL WELFARE FACILITIES ( 2013 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
