年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成23,2011,0,13000,,東京都,Tokyo-to,4609819,4313744,3471628,157942,92360,590255,1559,296076,3574420,893461,414080,1063725,117991,115342
平成24,2012,0,13000,,東京都,Tokyo-to,4583769,4288796,3465814,148673,92082,580721,1506,294973,3582799,865227,359481,1061952,106054,106054
平成25,2013,0,13000,,東京都,Tokyo-to,4571648,4280859,3450917,142231,91560,594625,1527,290789,3566119,866616,355498,1068760,98768,98768
平成25,2013,1,13100,,区部,All ku　,3360976,3154417,2685060,70751,60998,337609,-,206559,2725352,509907,347087,618985,16535,16535
平成25,2013,2,13101,1,千代田区,Chiyoda-ku ,21312,20504,15507,680,408,3909,-,808,…,…,…,…,…,…
平成25,2013,2,13102,2,中央区,Chuo-ku,46792,41985,32582,1485,1321,6597,-,4807,…,…,…,…,…,…
平成25,2013,2,13103,3,港区,Minato-ku ,76071,69610,49807,2119,1897,15787,-,6461,…,…,…,…,…,…
平成25,2013,2,13104,4,新宿区,Shinjuku-ku,95564,89149,69501,3136,2559,13953,-,6415,…,…,…,…,…,…
平成25,2013,2,13105,5,文京区,Bunkyo-ku ,58752,52866,41426,1816,1347,8278,-,5886,…,…,…,…,…,…
平成25,2013,2,13106,6,台東区,Taito-ku ,57873,52593,41824,3055,1463,6250,-,5280,…,…,…,…,…,…
平成25,2013,2,13107,7,墨田区,Sumida-ku,69109,62864,51710,2152,1747,7254,-,6245,…,…,…,…,…,…
平成25,2013,2,13108,8,江東区,Koto-ku,131252,115805,92470,3713,3323,16299,-,15447,…,…,…,…,…,…
平成25,2013,2,13109,9,品川区,Shinagawa-ku,99681,89814,68838,3154,2091,15731,-,9867,…,…,…,…,…,…
平成25,2013,2,13110,10,目黒区,Meguro-ku,76366,62435,50294,2563,2561,7018,-,13931,…,…,…,…,…,…
平成25,2013,2,13111,11,大田区,Ota-ku,174694,161846,130110,5480,4004,22252,-,12848,…,…,…,…,…,…
平成25,2013,2,13112,12,世田谷区,Setagaya-ku,228574,219779,168814,6082,6512,38370,-,8795,…,…,…,…,…,…
平成25,2013,2,13113,13,渋谷区,Shibuya-ku,67409,64702,50104,2600,1426,10573,-,2707,…,…,…,…,…,…
平成25,2013,2,13114,14,中野区,Nakano-ku ,85872,70275,57651,2516,2477,7630,-,15597,…,…,…,…,…,…
平成25,2013,2,13115,15,杉並区,Suginami-ku,142311,135451,94609,4330,3783,32729,-,6860,…,…,…,…,…,…
平成25,2013,2,13116,16,豊島区,Toshima-ku,75237,71074,54490,2372,2272,11939,-,4163,…,…,…,…,…,…
平成25,2013,2,13117,17,北区,Kita-ku,89769,82587,64716,2718,2408,12746,-,7182,…,…,…,…,…,…
平成25,2013,2,13118,18,荒川区,Arakawa-ku,57526,46398,42791,2042,1285,280,-,11128,…,…,…,…,…,…
平成25,2013,2,13119,19,板橋区,Itabashi-ku,143505,127794,105887,3870,3889,14148,-,15711,…,…,…,…,…,…
平成25,2013,2,13120,20,練馬区,Nerima-ku,179907,167754,126084,5600,3965,32105,-,12153,…,…,…,…,…,…
平成25,2013,2,13121,21,足立区,Adachi-ku,167995,154325,135337,341,3311,15336,-,13670,…,…,…,…,…,…
平成25,2013,2,13122,22,葛飾区,Katsushika-ku,114808,106312,82155,3687,2840,17631,-,8496,…,…,…,…,…,…
平成25,2013,2,13123,23,江戸川区,Edogawa-ku,168523,156421,126277,5240,4110,20793,-,12102,…,…,…,…,…,…
平成25,2013,,,,継続持込,Carried by enterprise,932076,932076,932076,-,-,-,-,-,…,…,…,…,…,…
平成25,2013,1,13200,,市部,All shi,1174015,1091220,741445,68165,28364,251779,1467,82795,814272,348027,3858,441902,51466,51466
平成25,2013,2,13201,1,八王子市,Hachioji-shi,171107,162555,118555,7988,2168,33663,181,8552,126391,44521,313,58940,10103,10103
平成25,2013,2,13202,2,立川市,Tachikawa-shi,55343,51418,34406,3581,1401,11972,58,3925,37637,16407,361,21855,445,445
平成25,2013,2,13203,3,武蔵野市,Musashino-shi,44869,41448,27951,1246,1377,10782,92,3421,29929,13497,-,18019,180,180
平成25,2013,2,13204,4,三鷹市,Mitaka-shi,49679,46468,28057,2000,1790,14561,60,3211,32082,17588,-,20689,144,144
平成25,2013,2,13205,5,青梅市,Ome-shi,43153,38740,28168,1492,1501,7521,58,4413,30079,10572,161,15660,5902,5902
平成25,2013,2,13206,6,府中市,Fuchu-shi,66167,59090,37550,3478,2024,15951,87,7077,43304,21540,-,27145,381,381
平成25,2013,2,13207,7,昭島市,Akishima-shi,33087,31562,22148,1554,907,6903,50,1525,23899,9459,41,12259,849,849
平成25,2013,2,13208,8,調布市,Chofu-shi,61119,56598,31887,3681,1510,19439,81,4521,36546,24711,-,28106,354,354
平成25,2013,2,13209,9,町田市,Machida-shi,129280,117462,88058,6551,4676,18024,153,11818,96542,29570,7,42045,12786,12786
平成25,2013,2,13210,10,小金井市,Koganei-shi,27113,25569,12557,3801,913,8260,38,1544,12557,13012,44,14214,82,82
