項番 Item number,観測地,Observatory,平成23年 2011 平均 Average,平成24年 2012 平均 Average,平成25年 2013 平均 Average,平成26年 2014 平均 Average,平成27年 2015 平均 Average,平成27年 2015 平均 Average／1月 Jan.,平成27年 2015 平均 Average／2月 Feb.,平成27年 2015 平均 Average／3月 Mar.,平成27年 2015 平均 Average／4月 Apr.,平成27年 2015 平均 Average／5月 May,平成27年 2015 平均 Average／6月 June,平成27年 2015 平均 Average／7月 July,平成27年 2015 平均 Average／8月 Aug.,平成27年 2015 平均 Average／9月 Sept.,平成27年 2015 平均 Average／10月 Oct.,平成27年 2015 平均 Average／11月 Nov.,平成27年 2015 平均 Average／12月 Dec.
1,東京,Tokyo,16.5,16.3,17.1,16.6,16.4,5.8,5.7,10.3,14.5,21.1,22.1,26.2,26.7,22.6,18.4,13.9,9.3
2,江戸川臨海,Edogawarinkai,15.9,15.6,16.4,15.9,16.3,6.1,5.9,10.1,14,20.5,22,25.5,26.5,22.7,18.8,14.3,9.7
3,練馬,Nerima,15.9,-,15.8,15.4,16.1,5,5.1,9.8,14.4,21.1,22.2,26.6,26.7,22.5,18.1,13.4,8.6
4,府中,Fuchu,15.3,14.9,15.6,15.1,15.7,4.6,5,9.5,14,20.5,21.6,26.1,26.2,22.1,17.7,13.1,8.3
5,八王子,Hachioji,14.6,14.4,15,14.5,15.2,3.5,4.2,8.7,13.7,20.2,21.4,25.9,25.9,21.6,16.9,12.7,7.7
6,青梅,Ome,14.3,14,14.7,14.3,15,3.6,4.2,8.6,13.5,20,21.1,25.5,25.5,21.3,16.7,12.4,7.3
7,小河内,Ogochi,12.1,11.8,12.6,12.1,12.8,1.6,2,6.3,11.6,17.7,18.8,23.1,23.1,19,14.3,10.3,5.7
8,羽田,Haneda,16.4,16,16.7,16.3,16.8,6.6,6.4,10.4,14.5,20.8,22.1,26.1,26.8,23,19,15,10.5
9,大島,Oshima,16.3,16.2,16.5,16.2,16.7,7.5,7.8,11,14.3,19.2,20.6,24.8,26.3,22.5,18.7,15.4,11.7
10,新島,Niijima,17.4,17.2,17.4,17.1,17.5,8.9,8.8,11.9,15.2,19.2,20.5,25.2,27,23.4,19.6,16.9,13.2
11,三宅島,Miyakejima,17.8,17.6,17.8,16.8,18,10.1,9.6,12.5,15.9,19.4,20.9,25.4,26.8,23.6,20.1,18,14.2
12,八丈島,Hachijojima,17.7,17.5,17.9,17.6,18.1,10,9.6,12.5,16.2,19.2,21.4,25.7,26.4,23.5,20,18.5,14
13,父島,Chichijima,23.2,22.8,22.9,22.9,23.8,17.9,16.9,19.1,22.9,25,27.3,28.5,27.9,27.7,25.8,24.5,22
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-6  観測地別平均気温 （平成23～27年） 1-6  AVERAGE TEMPERATURE BY OBSERVATORY ( 2011-2015 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
注1) 記号）: 準正常値 欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,,,,,,
2) 記号］：資料不足値 欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,
Note: 1) A parenthesis following a figure indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,,,,,,
2) A square bracket following a figure indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
