地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,113194,58192,55002,111673,59164,52509,1521,-972,2493,189,101,88,89,47,42,2406,1143,1263,1.24,87167,24135
1,13100,,区部,All ku,80619,41485,39134,75960,40337,35623,4659,1148,3511,133,69,64,63,33,30,1747,811,936,1.22,66961,17436
2,13101,1,千代田区,Chiyoda-ku,590,304,286,386,200,186,204,104,100,2,1,1,1,0,1,11,6,5,1.3,579,117
2,13102,2,中央区,Chuo-ku,1927,999,928,880,423,457,1047,576,471,3,1,2,1,0,1,28,15,13,1.43,1551,320
2,13103,3,港区,Minato-ku,2962,1503,1459,1579,729,850,1383,774,609,3,2,1,1,0,1,79,29,50,1.44,2339,651
2,13104,4,新宿区,Shinjuku-ku,2448,1277,1171,2587,1358,1229,-139,-81,-58,3,1,2,2,0,2,86,41,45,1.02,2735,590
2,13105,5,文京区,Bunkyo-ku,1982,1018,964,1601,811,790,381,207,174,1,0,1,1,0,1,33,16,17,1.17,1602,320
2,13106,6,台東区,Taito-ku,1543,803,740,1913,1091,822,-370,-288,-82,2,0,2,2,0,2,42,18,24,1.23,1624,452
2,13107,7,墨田区,Sumida-ku,2463,1281,1182,2391,1290,1101,72,-9,81,9,4,5,5,3,2,46,25,21,1.3,2324,524
2,13108,8,江東区,Koto-ku,4843,2505,2338,3852,2142,1710,991,363,628,5,1,4,4,1,3,89,45,44,1.42,3330,1017
2,13109,9,品川区,Shinagawa-ku,3738,1916,1822,2918,1534,1384,820,382,438,6,5,1,3,3,0,72,36,36,1.23,3420,739
2,13110,10,目黒区,Meguro-ku,2515,1327,1188,2036,1043,993,479,284,195,4,1,3,2,0,2,66,28,38,1.04,2604,519
2,13111,11,大田区,Ota-ku,5897,3007,2890,6160,3232,2928,-263,-225,-38,6,3,3,0,0,0,129,55,74,1.21,5068,1331
2,13112,12,世田谷区,Setagaya-ku,8019,4108,3911,6439,3281,3158,1580,827,753,13,6,7,6,3,3,172,76,96,1.12,6466,1481
2,13113,13,渋谷区,Shibuya-ku,2121,1078,1043,1567,766,801,554,312,242,3,2,1,0,0,0,47,19,28,1.08,2131,431
2,13114,14,中野区,Nakano-ku,2632,1357,1275,2711,1390,1321,-79,-33,-46,6,1,5,4,1,3,49,20,29,1.03,2863,553
2,13115,15,杉並区,Suginami-ku,4747,2401,2346,4368,2232,2136,379,169,210,14,7,7,4,2,2,87,43,44,1.04,4231,889
2,13116,16,豊島区,Toshima-ku,2045,1051,994,2377,1237,1140,-332,-186,-146,4,1,3,2,1,1,45,17,28,1,2486,537
2,13117,17,北区,Kita-ku,2731,1422,1309,3541,1904,1637,-810,-482,-328,3,2,1,2,1,1,50,29,21,1.22,2465,548
2,13118,18,荒川区,Arakawa-ku,1777,913,864,1964,1097,867,-187,-184,-3,2,1,1,1,1,0,30,12,18,1.33,1352,428
2,13119,19,板橋区,Itabashi-ku,4517,2325,2192,4777,2573,2204,-260,-248,-12,8,6,2,5,4,1,102,44,58,1.19,3536,1015
2,13120,20,練馬区,Nerima-ku,6154,3177,2977,5685,2997,2688,469,180,289,10,8,2,2,2,0,130,68,62,1.24,4185,1215
2,13121,21,足立区,Adachi-ku,5472,2804,2668,6598,3721,2877,-1126,-917,-209,6,3,3,3,1,2,133,58,75,1.41,3736,1448
2,13122,22,葛飾区,Katsushika-ku,3573,1859,1714,4275,2314,1961,-702,-455,-247,8,5,3,4,3,1,73,36,37,1.38,2437,874
2,13123,23,江戸川区,Edogawa-ku,5923,3050,2873,5355,2972,2383,568,78,490,12,8,4,8,7,1,148,75,73,1.42,3897,1437
1,13200,,市部,All shi,32030,16411,15619,34387,18196,16191,-2357,-1785,-572,54,30,24,25,13,12,648,326,322,1.32,19851,6551
2,13201,1,八王子市,Hachioji-shi,3787,1924,1863,4787,2527,2260,-1000,-603,-397,13,7,6,6,3,3,90,45,45,1.26,2295,996
2,13202,2,立川市,Tachikawa-shi,1501,773,728,1576,833,743,-75,-60,-15,2,2,0,1,1,0,24,12,12,1.38,981,292
2,13203,3,武蔵野市,Musashino-shi,1317,686,631,1134,572,562,183,114,69,5,3,2,2,1,1,28,14,14,1.2,988,189
2,13204,4,三鷹市,Mitaka-shi,1589,804,785,1400,723,677,189,81,108,2,1,1,1,0,1,27,11,16,1.23,1142,260
