年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成23,2011,0,13000,,東京都,Tokyo-to,,13197992,137,13166874,13197807,1576663,6,12991750,13152982,1573809,13,23650,17725,2854,118,151474,27100,100
平成24,2012,0,13000,,東京都,Tokyo-to,,13236860,136,13166704,13236214,1561303,6,12991750,13192051,1558725,11,23650,17334,2578,119,151304,26829,100
平成25,2013,0,13000,,東京都,Tokyo-to,,13323735,139,13541730,13323644,1561863,6,13342750,13271120,1559142,11,23380,17153,2721,122,175600,35371,100
平成26,2014,0,13000,,東京都,Tokyo-to,,13430906,140,13524711,13430880,1558228,6,13354550,13376516,1555722,10,23380,16885,2506,124,146781,37479,100
平成27,2015,0,13000,,東京都,Tokyo-to,,13575092,138,13701126,13574649,1567917,6,13531550,13534493,1565331,10,23110,16621,2586,122,146466,23535,100
平成27,2015,1,13100,,区部,All ku,,9327512,16,13211391,9327512,1526551,1,13190000,9318344,1526551,-,-,-,-,15,21391,9168,100
平成27,2015,1,13200,,市部,All shi,,4163237,106,450875,4163046,36600,3,325800,4148679,36600,-,-,-,-,103,125075,14367,100
平成27,2015,2,13201,1,八王子市,Hachioji-shi,※,575764,16,7788,575707,-,-,-,569396,-,-,-,-,-,16,7788,6311,99.99
平成27,2015,2,13202,2,立川市,Tachikawa-shi,※,176102,4,1180,176102,-,-,-,176102,-,-,-,-,-,4,1180,-,100
平成27,2015,2,13203,3,武蔵野市,Musashino-shi,,143630,6,165573,143630,17541,1,145000,143630,17541,-,-,-,-,5,20573,-,100
平成27,2015,2,13204,4,三鷹市,Mitaka-shi,※,188205,4,5504,188205,-,-,-,186854,-,-,-,-,-,4,5504,1351,100
平成27,2015,2,13205,5,青梅市,Ome-shi,※,136882,7,1470,136872,-,-,-,135840,-,-,-,-,-,7,1470,1032,99.99
平成27,2015,2,13206,6,府中市,Fuchu-shi,※,260351,6,13794,260351,-,-,-,260331,-,-,-,-,-,6,13794,20,100
