地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,148182,102,1,15,4,64,1,123,3,188,77,179,-,4825,3198,6,556,387,6324,101874,6334,155,518,3,5,23,1120,5379,576,1131,126,14349,536
1,13100,区部,All ku,,,,110071,73,1,13,4,52,1,92,3,152,57,145,-,3971,2589,6,413,286,4511,75121,4878,138,450,2,5,20,846,4184,473,773,89,10279,444
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,481,-,-,-,-,-,-,1,-,-,-,-,-,36,25,-,3,-,13,250,52,2,5,-,-,-,2,14,11,7,-,47,13
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1232,-,-,-,-,-,-,-,-,3,-,2,-,71,24,-,3,1,6,966,40,2,8,-,-,-,2,44,2,4,2,46,6
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,515,2,-,-,-,-,-,-,-,1,1,-,-,27,9,-,4,2,21,329,24,6,4,1,-,-,8,25,2,6,1,40,2
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1263,-,-,-,-,-,-,-,1,1,1,1,-,51,27,-,7,4,32,885,73,4,15,-,-,1,6,66,3,5,1,75,4
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,721,1,-,-,-,-,-,-,-,1,-,1,-,42,21,-,1,1,26,423,53,4,6,-,-,1,6,51,1,6,1,64,11
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,401,-,-,-,-,-,-,-,-,-,-,1,-,16,18,-,-,-,14,263,17,2,2,-,-,-,3,28,1,2,-,32,2
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,1136,1,-,-,-,-,-,3,-,1,-,1,-,46,32,-,3,2,41,838,53,3,12,-,-,-,6,27,4,4,-,57,2
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,382,-,-,-,-,-,-,-,-,-,-,1,-,14,15,-,2,-,6,235,25,-,3,-,-,-,4,14,6,7,-,45,5
2,13103,港区,Minato-ku,9,愛宕署,Atago P. Sta.,874,-,-,-,-,1,-,1,-,2,-,2,-,54,24,-,7,-,32,566,52,1,10,-,-,-,9,26,5,3,1,66,12
2,13103,港区,Minato-ku,10,三田署,Mita P. Sta.,611,-,-,-,-,1,-,-,-,-,1,-,-,29,24,-,-,1,24,344,50,1,4,-,-,-,5,38,3,5,-,74,7
2,13103,港区,Minato-ku,11,高輪署,Takanawa P. Sta. ,831,-,-,-,-,-,-,-,-,1,-,3,-,65,28,-,2,1,31,529,39,-,3,-,-,-,9,49,3,9,2,47,10
2,13103,港区,Minato-ku,12,麻布署,Azabu P. Sta.,1407,1,-,-,-,-,-,2,-,-,-,5,-,118,111,-,6,3,69,723,82,1,5,-,-,-,13,42,21,11,-,173,21
2,13103,港区,Minato-ku,13,赤坂署,Akasaka P. Sta.,788,-,-,1,-,-,-,1,-,1,1,2,-,29,36,-,7,4,28,479,59,2,7,1,-,-,6,17,5,9,-,84,9
2,13104,新宿区,Shinjuku-ku,14,牛込署,Ushigome P. Sta. ,779,-,-,-,-,-,-,-,-,1,2,2,-,26,26,-,1,1,45,472,53,3,1,-,-,-,4,44,7,5,-,82,4
