年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total 1)／住宅数 Dwellings,総数 Total 1)／世帯数 Households,総数 Total 1)／世帯人員 Household members,総数 Total 1)／1住宅当たり居住室数 Dwelling rooms per dwelling,総数 Total 1)／1住宅当たり居住室の畳数 Tatami units of dwelling rooms per dwelling,総数 Total 1)／1住宅当たり延べ面積 Area of floor space per dwelling(m2),総数 Total 1)／1人当たり居住室の畳数 Tatami units of dwelling rooms per person,総数 Total 1)／1室当たり人員 Persons per room,持ち家 Owned houses／住宅数 Dwellings,持ち家 Owned houses／世帯数 Households,持ち家 Owned houses／世帯人員 Household members,持ち家 Owned houses／1住宅当たり居住室数 Dwelling rooms per dwelling,持ち家 Owned houses／1住宅当たり居住室の畳数 Tatami units of dwelling rooms per dwelling,持ち家 Owned houses／1住宅当たり延べ面積 Area of floor space per dwelling(m2),持ち家 Owned houses／1人当たり居住室の畳数 Tatami units of dwelling rooms per person,持ち家 Owned houses／1室当たり人員 Persons per room,借家 Rented houses／住宅数 Dwellings,借家 Rented houses／世帯数 Households,借家 Rented houses／世帯人員 Household members,借家 Rented houses／1住宅当たり居住室数 Dwelling rooms per dwelling,借家 Rented houses／1住宅当たり居住室の畳数 Tatami units of dwelling rooms per dwelling,借家 Rented houses／1住宅当たり延べ面積 Area of floor space per dwelling(m2),借家 Rented houses／1人当たり居住室の畳数 Tatami units of dwelling rooms per person,借家 Rented houses／1室当たり人員 Persons per room
平成15,2003,0,13000,,東京都,Tokyo-to,5434100,5480000,12077900,3.49,23.47,64.48,10.47,0.64,2432900,2466300,6647500,4.71,32.84,93.34,12.02,0.58,2719100,2730700,4901700,2.4,15.09,38.66,8.37,0.75
平成20,2008,0,13000,,東京都,Tokyo-to,5939900,5980900,12664500,3.42,23.51,63.94,10.92,0.63,2650900,2682700,7006800,4.64,32.93,92.41,12.46,0.57,2909300,2918200,4958500,2.3,14.92,37.99,8.76,0.74
平成25,2013,0,13000,,東京都,Tokyo-to,6472600,6505100,13083100,3.36,24.15,64.48,11.72,0.61,2962100,2988400,7317600,4.49,33.09,90.68,13.39,0.55,3100300,3106000,5171600,2.28,15.61,39.45,9.36,0.73
平成25,2013,1,13100,,区部,All ku,4601560,4620250,8969230,3.17,22.93,61.02,11.55,0.63,1988200,2002600,4734040,4.27,31.64,86.54,13.29,0.56,2283640,2287640,3750470,2.2,15.35,38.8,9.35,0.75
平成25,2013,2,13101,1,千代田区,Chiyoda-ku,27560,27600,50200,2.87,24.47,62.46,13.14,0.65,11340,11390,24740,3.76,33.18,85.12,15.21,0.58,14880,14880,24100,2.19,17.83,45.19,11.01,0.74
平成25,2013,2,13102,2,中央区,Chuo-ku,76110,76340,133310,2.63,21.13,52.82,12.1,0.66,31310,31390,62060,3.22,26.24,66.02,13.24,0.61,42560,42710,66910,2.2,17.37,43.12,11.05,0.71
平成25,2013,2,13103,3,港区,Minato-ku,111320,111550,209090,2.85,24.21,61.84,13.24,0.64,47060,47170,96370,3.41,29,74.09,14.16,0.6,56400,56520,92770,2.38,20.21,51.62,12.29,0.69
平成25,2013,2,13104,4,新宿区,Shinjuku-ku,194970,196440,328240,2.67,20.47,50.75,11.72,0.65,70240,70680,145030,3.76,29.83,75.29,14.45,0.55,105370,106370,161740,1.94,14.23,34.39,9.27,0.79
平成25,2013,2,13105,5,文京区,Bunkyo-ku,114590,115580,207770,2.93,22.9,58.88,12.5,0.62,51720,52620,116400,4.11,32.47,84.58,14.43,0.55,58670,58760,85810,1.89,14.46,36.23,9.88,0.77
平成25,2013,2,13106,6,台東区,Taito-ku,99860,100170,181930,2.96,21.84,59.88,11.69,0.63,49700,49940,107190,3.74,27.88,79.12,12.93,0.58,43370,43440,66620,2.06,14.9,37.82,9.7,0.75
平成25,2013,2,13107,7,墨田区,Sumida-ku,124060,124660,251070,3.17,22.33,62.22,11.23,0.63,53920,54480,132470,4.27,30.74,85.42,12.51,0.57,61730,61770,97580,2.21,14.98,41.96,9.48,0.71
平成25,2013,2,13108,8,江東区,Koto-ku,234160,234440,469730,3.09,22.36,58.81,11.25,0.64,108720,108940,254120,3.92,29.41,77.68,12.58,0.6,117180,117230,194950,2.32,15.81,41.31,9.5,0.72
平成25,2013,2,13109,9,品川区,Shinagawa-ku,198140,198990,371050,2.91,22.16,58.07,11.59,0.66,89350,90160,202970,3.94,30.45,80.8,13.4,0.58,98490,98550,156320,1.97,14.64,37.45,9.22,0.8
平成25,2013,2,13110,10,目黒区,Meguro-ku,138330,138400,269610,3.19,25,64.84,12.74,0.62,60950,61020,138820,4.29,34.04,91.42,14.95,0.53,64380,64380,107060,2.14,16.44,39.67,9.89,0.78
平成25,2013,2,13111,11,大田区,Ota-ku,351960,352540,699380,3.17,22.67,59.33,11.14,0.64,154860,155370,384710,4.34,32.02,86.95,12.89,0.57,174430,174500,285340,2.14,14.37,34.81,8.79,0.77
平成25,2013,2,13112,12,世田谷区,Setagaya-ku,451450,451910,885550,3.26,24.67,67.04,12.14,0.62,188700,189070,474720,4.57,35.46,98.82,14.1,0.55,214940,215030,345710,2.11,15.19,39.13,9.44,0.76
平成25,2013,2,13113,13,渋谷区,Shibuya-ku,122600,122760,211930,2.82,23.24,57.49,12.98,0.64,48550,48700,101690,3.71,31.25,79.45,14.92,0.56,61220,61240,94960,2.11,16.9,40.07,10.89,0.74
平成25,2013,2,13114,14,中野区,Nakano-ku,181010,181950,315190,2.85,20.88,53.38,11.75,0.62,64440,65240,149140,4.43,33.79,89.19,14.6,0.52,103610,103730,149390,1.87,12.85,31.1,8.91,0.77
平成25,2013,2,13115,15,杉並区,Suginami-ku,301680,304100,544390,3.11,22.84,60.44,12.28,0.6,114760,116820,261980,4.57,34.49,94.36,15.11,0.5,156840,157190,243250,2.05,14.32,35.61,9.23,0.76
平成25,2013,2,13116,16,豊島区,Toshima-ku,161590,162180,286690,2.89,21.4,55.07,11.79,0.63,66140,66660,145590,4.04,30.85,80.88,14.02,0.55,83930,84000,126920,1.98,13.95,34.73,9.23,0.76
平成25,2013,2,13117,17,北区,Kita-ku,173640,174210,332430,3.17,21.87,58.62,11.17,0.62,67820,68250,161240,4.37,30.85,85.82,12.98,0.54,95290,95430,158060,2.31,15.47,39.25,9.33,0.72
平成25,2013,2,13118,18,荒川区,Arakawa-ku,97620,97900,204560,3.41,23.2,64.36,10.85,0.63,53890,54020,128780,4.16,28.59,80.1,11.96,0.57,39370,39530,70630,2.38,15.82,42.82,8.82,0.75
平成25,2013,2,13119,19,板橋区,Itabashi-ku,268180,269800,521980,3.13,21.13,55.91,10.7,0.63,113830,114970,279750,4.27,29.65,79.9,12.07,0.58,135630,136030,212840,2.18,13.97,35.78,8.91,0.72
平成25,2013,2,13120,20,練馬区,Nerima-ku,342170,344990,708520,3.52,24.24,66.33,11.51,0.6,152960,155040,376500,4.74,33.5,94.64,13.61,0.52,166270,166910,295600,2.4,15.72,40.28,8.84,0.74
平成25,2013,2,13121,21,足立区,Adachi-ku,325710,326840,681860,3.48,23.68,65.54,11.14,0.61,148190,149240,368670,4.45,31.1,89.14,12.5,0.56,151890,151980,269230,2.54,16.45,42.53,9.28,0.7
平成25,2013,2,13122,22,葛飾区,Katsushika-ku,197520,198660,435630,3.6,24.36,68.12,10.91,0.62,106350,107360,274000,4.45,30.77,88.22,11.94,0.58,84140,84250,151190,2.52,16.25,42.71,9.05,0.71
平成25,2013,2,13123,23,江戸川区,Edogawa-ku,307330,308240,669110,3.43,23.69,64.02,10.59,0.65,133380,134090,347100,4.5,31.28,89.26,12.02,0.58,153030,153220,293480,2.49,17.07,42.03,8.9,0.77
平成25,2013,2,13201,1,八王子市,Hachioji-shi,250360,252480,561290,3.89,28.08,75.83,12.33,0.58,138730,140540,378790,5.03,37.35,102.89,13.68,0.54,103140,103420,172060,2.37,15.61,39.44,9.36,0.71
