年末,End of year,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／はん用機械工業 General-purpose machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
品目数,Items,,,85,9,5,5,10,3,2,5,2,2,2,5,10,10,4,3,2,2,14,3,3,1,4,3
ウェイト,Weight,,,10000,254.2,296.6,462.7,2258,196.6,709.6,1351.8,308.2,677.1,1211.4,1384.9,322.3,656.1,484.1,135.7,178.7,133.6,1236.4,443.7,255.8,111,30,395.9
平成24,2012,,,123.6,84.5,123.8,51.2,134.1,66.6,115.7,153.6,147.1,105.7,186,145.6,93.4,112.3,88.8,96.7,226.5,81.4,78.1,25.8,69.8,95.2,61.4,138.5
平成25,2013,,,120,83.5,131.3,46.3,121.3,86.6,132.3,120.5,89.6,89.2,185.8,189.8,82.7,105.3,72.9,89.4,174.5,58,70.3,17.5,72.5,84.2,95.7,122.3
平成26,2014,,,119.1,80.4,143,47.9,136,23.5,236.9,99.4,32.8,66,182.4,240.9,78,89.2,58.1,82.4,59.1,72.3,37.5,13.1,53.8,98.7,79,33.8
平成27,2015,,,116,90.8,143.8,28.5,220.3,32.4,424.1,140.7,12.2,51.2,49.4,238.7,83.6,44.4,22.1,82.5,88.3,69.4,41.9,31.8,49.5,90.4,83.6,31.6
平成28,2016,,,123.1,89.7,149.4,42.3,227,30.4,482.6,121.5,3.1,46.4,50.5,280.5,89,34.8,21.4,74.6,77.2,74.7,43.9,28.1,52.9,92.5,72.3,40
平成28,2016,1,Jan.,113.4,89.2,151.1,33.4,191.6,44,350.4,133.7,11.9,52.6,51.6,249.2,84.3,41,21.8,85.4,94.8,110,49.8,51,45.9,90.1,77.5,34.8
平成28,2016,2,Feb.,113,86.9,152,34.4,192.4,47.1,336.5,137.9,10.6,53.6,54.3,249.6,85.9,40.2,21.1,83.3,92.7,108.6,52.8,58.7,47.3,96.8,69.2,37.1
平成28,2016,3,Mar.,118.2,86.8,151.7,33.4,190.4,39,330.3,136.3,11.7,53.8,59.4,265.1,89,37.2,21.1,86.8,90,105.8,55.9,75.2,46.7,77.7,66.2,39.6
