年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成24,2012,移出 ,Leaving,,総数,Total,157205,16864,37560,11023,1958,16813,900,5387,5500,1414,30457,528,2616,17264,8921
平成25,2013,移出 ,Leaving,,総数,Total,156828,28095,33248,9068,1911,13720,2900,4220,6085,4850,27886,330,2086,15742,6687
平成26,2014,移出 ,Leaving,,総数,Total,154808,44155,12281,4862,1916,12970,-,9478,7861,3153,29641,310,2787,17983,7411
平成27,2015,移出 ,Leaving,,総数,Total,146116,16297,11493,6620,1718,37146,-,4698,6483,6482,25598,802,2268,20560,5951
平成28,2016,移出 ,Leaving,,総数,Total,135171,19305,10396,4816,2247,19292,-,3350,12521,4651,28762,604,2006,18819,8402
平成28,2016,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,13682,1119,1576,36,337,674,-,1518,375,32,6418,139,38,1162,258
平成28,2016,移出 ,Leaving,2,林産品,Forestry products,4442,14,1,14,-,1473,-,18,70,56,1933,42,110,597,114
平成28,2016,移出 ,Leaving,3,鉱産品,Mineral products,1474,-,-,-,-,1472,-,-,-,-,-,-,-,2,-
平成28,2016,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,23601,4040,580,2079,609,4981,-,456,1656,1847,2753,52,254,3258,1036
平成28,2016,移出 ,Leaving,5,化学工業品,Chemical industrial products,9494,113,5,-,58,1034,-,-,6494,7,1629,16,2,95,41
平成28,2016,移出 ,Leaving,6,軽工業品,Light industrial products,812,-,-,-,-,11,-,66,-,240,219,13,11,236,16
平成28,2016,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,3631,573,213,7,-,191,-,12,56,306,1321,26,40,745,141
平成28,2016,移出 ,Leaving,8,特殊品,Special goods,68243,8321,7032,2677,1243,6575,-,1143,3787,1640,14461,316,1528,12724,6796
平成28,2016,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,9792,5125,989,3,-,2881,-,137,83,523,28,-,23,-,-
平成24,2012,移入,Entering,,総数,Total,812402,95962,37955,68315,35319,86670,-,22498,83987,87839,187293,14243,24964,53781,13576
平成25,2013,移入,Entering,,総数,Total,643801,131000,36744,29261,23155,109766,-,15932,19223,29773,156598,5601,23894,48931,13923
平成26,2014,移入,Entering,,総数,Total,705898,142336,46735,47629,35697,78404,-,26571,64698,41970,136573,11253,19139,44175,10718
平成27,2015,移入,Entering,,総数,Total,698534,111706,36878,65827,21736,180116,-,19384,40802,16280,126905,9721,15502,37185,16492
平成28,2016,移入,Entering,,総数,Total,1031278,119176,35921,47634,126616,80874,-,11071,62576,350942,113071,19146,10475,41252,12524
平成28,2016,移入,Entering,1,農水産品,Agricultural and aquatic products,30021,7053,4428,86,705,3368,-,1082,1167,673,8881,191,22,2009,356
平成28,2016,移入,Entering,2,林産品,Forestry products,11377,2807,130,91,185,1581,-,129,456,583,3774,73,740,769,59
平成28,2016,移入,Entering,3,鉱産品,Mineral products,702661,48728,18870,25696,120007,44232,-,2,48705,318274,43968,17870,5500,6307,4502
平成28,2016,移入,Entering,4,金属機械工業品,Metal and machinery products,55569,11895,907,7713,1029,5563,-,1071,2851,3160,11207,219,754,7315,1885
平成28,2016,移入,Entering,5,化学工業品,Chemical industrial products,129797,30623,4518,12403,2265,12116,-,4641,6151,23890,17858,245,2237,10282,2568
平成28,2016,移入,Entering,6,軽工業品,Light industrial products,8829,1742,162,96,702,305,-,282,300,90,2247,49,325,2211,318
平成28,2016,移入,Entering,7,雑工業品,Miscellaneous industrial products,14950,2800,1014,1224,266,1030,-,377,253,1888,2687,56,127,2742,486
平成28,2016,移入,Entering,8,特殊品,Special goods,68099,13454,5884,226,1457,4267,-,3432,2499,2192,21532,425,764,9617,2350
平成28,2016,移入,Entering,9,分類不能のもの,Unclassifiable goods,9975,74,8,99,-,8412,-,55,194,192,917,18,6,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成24～28年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,,
注 ) 品種別出入貨物量には，自動車航送船（フェリー）分は含まない。,,,,,,,,,,,,,,,,,,,,,
Note: ) Cargoes transported by ferry are not included in this table.,,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
