年度（平成）,Fiscal Year,系統,Line,駅,Station,マーク Mark,乗車人員 Passengers getting on trains／総数 Total,乗車人員 Passengers getting on trains／定期 Commuter Pass,乗車人員 Passengers getting on trains／普通 Tickets
26,2014,総数,Total,,,,3311052,1945108,1365944
27,2015,総数,Total,,,,3391174,1993399,1397776
28,2016,総数,Total,,,,3422984,2013516,1409467
29,2017,総数,Total,,,,3471048,2041568,1429454
30,2018,総数,Total,,,,3509798,2064649,1445124
30,2018,うち区部,Ku area only,,,,2949604,1706583,1243006
30,2018,東海道本線,Tokaido Line,,,※,726010,430103,295904
30,2018,東海道本線,Tokaido Line,東京,Tokyo,,170515,88400,82115
30,2018,東海道本線,Tokaido Line,有楽町,Yurakucho,,63146,34749,28397
30,2018,東海道本線,Tokaido Line,新橋,Shimbashi,,102919,64003,38917
30,2018,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,59182,37140,22042
30,2018,東海道本線,Tokaido Line,田町,Tamachi,,57073,40408,16665
30,2018,東海道本線,Tokaido Line,品川,Shinagawa,,139956,80117,59839
30,2018,東海道本線,Tokaido Line,大井町,Oimachi,,38631,23490,15141
30,2018,東海道本線,Tokaido Line,大森,Omori,,35395,22956,12439
30,2018,東海道本線,Tokaido Line,蒲田,Kamata,,53413,35123,18290
30,2018,東海道本線,Tokaido Line,西大井,Nishi-oi,,5779,3719,2060
30,2018,中央本線,Chuo Line,,,,766094,468156,297933
30,2018,中央本線,Chuo Line,神田,Kanda,※,38723,21941,16782
30,2018,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,38650,23658,14992
30,2018,中央本線,Chuo Line,水道橋,Suidobashi,※,30426,16019,14407
30,2018,中央本線,Chuo Line,飯田橋,Iidabashi,※,33941,21972,11969
30,2018,中央本線,Chuo Line,市ケ谷,Ichigaya,※,23019,15149,7870
30,2018,中央本線,Chuo Line,四ツ谷,Yotsuya,※,36000,24149,11851
30,2018,中央本線,Chuo Line,信濃町,Shinanomachi,※,9584,4501,5083
30,2018,中央本線,Chuo Line,千駄ケ谷,Sendagaya,※,6303,3317,2985
30,2018,中央本線,Chuo Line,代々木,Yoyogi,※,25725,11989,13736
30,2018,中央本線,Chuo Line,大久保,Okubo,※,10348,5248,5100
30,2018,中央本線,Chuo Line,東中野,Higashi-nakano,※,15050,8840,6210
30,2018,中央本線,Chuo Line,中野,Nakano,※,55073,34609,20464
30,2018,中央本線,Chuo Line,高円寺,Koenji,※,18893,10936,7957
30,2018,中央本線,Chuo Line,阿佐ケ谷,Asagaya,※,16822,10003,6819
30,2018,中央本線,Chuo Line,荻窪,Ogikubo,※,33111,20421,12690
30,2018,中央本線,Chuo Line,西荻窪,Nishi-ogikubo,※,16709,9893,6815
30,2018,中央本線,Chuo Line,吉祥寺,Kichijoji,,52445,30155,22290
30,2018,中央本線,Chuo Line,三鷹,Mitaka,,36028,24280,11748
30,2018,中央本線,Chuo Line,武蔵境,Musashi-sakai,,25180,17274,7906
30,2018,中央本線,Chuo Line,東小金井,Higashi-koganei,,11517,8021,3496
30,2018,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,22841,15634,7207
30,2018,中央本線,Chuo Line,国分寺,Kokubunji,,41379,27833,13546
30,2018,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,10924,6212,4711
30,2018,中央本線,Chuo Line,国立,Kunitachi,,19728,13214,6514
30,2018,中央本線,Chuo Line,立川,Tachikawa,,61507,33539,27968
30,2018,中央本線,Chuo Line,日野,Hino,,9949,7040,2908
30,2018,中央本線,Chuo Line,豊田,Toyoda,,12896,9226,3670
30,2018,中央本線,Chuo Line,八王子,Hachioji,,31026,17904,13122
30,2018,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11759,8333,3425
30,2018,中央本線,Chuo Line,高尾,Takao,,10538,6847,3691
