年次（平成),Year,調査世帯数 Num. of households surveyed,世帯人員 Num. of persons per household,有業人員 Num. of earners per household,世帯主平均年齢 Average age of household head,生計支出 Living expenses,生計支出 Living expenses／消費支出 Consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／穀類 Cereals,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／魚介類 Fish & shellfish,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／肉類 Meat,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／乳卵類 Dairy products & eggs,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／野菜・海藻 Vegetables & seaweeds,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／果物 Fruits,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／油脂・調味料 Oils， fats & seasonings,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／菓子類 Cakes & candies,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／調理食品 Cooked food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／飲料 Beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／酒類 Alcoholic beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／外食 Meals outside the home,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／家賃地代 Rents for dwelling & land,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／設備修繕・維持 Repairs & maintenance,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／電気代 Electricity,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／ガス代 Gas,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／他の光熱 Other fuel & light,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／上下水道料 Water & sewerage charges,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家庭用耐久財 Household durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／室内装備・装飾品 a),生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／寝具類 Bedding,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事雑貨 b),生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事用消耗品 c),生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事サービス Domestic services,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／和服 Japanese clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／洋服 Clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／シャツ・セーター類 Shirts & sweaters,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／下着類 Underwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／生地・糸類 Cloth & thread,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／他の被服 Other clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／履物類 Footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／被服関連サービス Services related to clothing,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／医薬品 Medicines,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／健康保持用摂取品 Health fortification,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療用品・器具 Medical supplies & appliances,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療サービス Medical services,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 d),生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 d)／交通 Public transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 d)／自動車等関係費 Private transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 d)／通信 Communication,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／授業料等 School fees,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／教科書・学習参考教材 e),生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／補習教育 Tutorial fees,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用耐久財 Recreational durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用品 Recreational goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／書籍・他の印刷物 Books & other reading materials,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽サービス Recreational services,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／諸雑費 Miscellaneous,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／こづかい Pocket money,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／交際費 Social expenses,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／仕送り金 Remittance,生計支出 Living expenses／土地家屋購入 Purchase of house and land
26,2014,745,2.98,1.29,58.8,327418,324036,81162,6522,6586,7277,3947,10160,3289,3517,5697,10009,4422,3482,16255,25459,15364,10095,23893,11249,7084,458,5103,11920,4073,815,971,2429,2686,947,15231,302,6062,2988,1178,142,1234,2158,1167,15326,2725,1316,2365,8920,36670,8701,16147,11822,15303,11220,224,3859,38299,2360,7318,4401,24221,60775,26111,10374,22006,2283,3381
27,2015,743,2.96,1.29,59,331379,326795,83742,6498,6798,7455,4207,10704,3517,3553,5828,10255,4396,3456,17076,25136,16546,8590,23312,10848,7002,281,5181,11154,3618,890,814,2330,2630,872,15219,233,6567,2924,1144,143,1137,2022,1048,15250,2614,1293,2247,9095,35376,8766,14044,12566,18994,14780,253,3961,37562,2053,6808,4301,24400,61052,25656,9613,22076,3706,4584
28,2016,735,2.99,1.31,59.1,321733,320605,84611,6435,6777,7514,4298,10501,3488,3579,5801,11152,4610,3322,17135,24703,15636,9067,20563,9459,5740,234,5131,11219,3621,938,822,2231,2791,816,14495,187,6020,2822,1184,118,1018,1981,1166,15045,2569,1301,2464,8710,33439,8805,12021,12612,19946,15129,197,4620,36360,1989,6896,4042,23434,60225,26043,10200,20390,3592,1128
29,2017,728,2.94,1.28,60.2,330949,327903,85446,6465,6535,7806,4286,10438,3448,3694,5867,11373,4610,3590,17335,23960,14454,9506,21024,9585,5849,319,5271,12153,4099,1084,880,2408,2820,862,14135,130,5993,2747,1105,160,1025,1909,1066,15518,2647,1495,2464,8913,36746,8814,15192,12741,19626,15285,227,4113,37292,2452,7268,3978,23595,62002,25956,9951,22802,3294,3046
30,2018,717,2.92,1.34,59.7,323328,322314,86107,6645,6299,7805,4127,10552,3437,3638,6123,11652,4895,3221,17714,23945,14782,9163,21383,10121,5765,308,5190,10722,3431,576,784,2304,2804,823,13654,120,5923,2544,1111,126,971,1847,1012,16097,2621,1300,2492,9684,35656,9201,13620,12835,20417,15467,186,4763,36071,2214,6958,3810,23089,58264,25614,9108,21541,2001,1013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 14  家計 14  FAMILY INCOME AND EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-1  １世帯当たり年平均１か月間の用途別生計支出（全世帯）（平成26～30年） 14-1 MONTHLY AVERAGE OF LIVING EXPENSES BY USE PER HOUSEHOLD ( ALL HOUSEHOLDS ) ( 2014-2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Interior furnishings & decorations b) Domestic utensils c) Domestic non-durable goods d) Transportation & communication e) School textbooks & reference books for study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部社会統計課 「都民のくらしむき（東京都生計分析調査）年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　円) (Value in yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
