大項目,Major item,項番 Item number,項目,Item,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013,平成26年度 FY 2014,平成27年度 FY 2015,平成28年度 FY 2016,平成29年度 FY 2017
名目,At current prices,1,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),104702.8,105431,103440.5,97031.7,98117,100371.8,99839.3,101298.5,101784.6,104519.6,105158.5,106238.2
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,0.7,-1.9,-6.2,1.1,2.3,-0.5,1.5,0.5,2.7,0.6,1
名目,At current prices,3,国内総生産 (生産側及び支出側),Gross domestic product (production and expenditure approach),529033.5,530922.9,509482,491957,499428.9,494042.5,494369.8,507255.2,518235.2,532983,536795,547408.5
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,0.4,-4,-3.4,1.5,-1.1,0.1,2.6,2.2,2.8,0.7,2
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,19.8,19.9,20.3,19.7,19.6,20.3,20.2,20,19.6,19.6,19.6,19.4
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),100668.4,101452.8,99772.3,95398.5,97342.7,100373,100841.1,102771.7,101156.2,103828.1,104575.3,105376.8
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,0.8,-1.7,-4.4,2,3.1,0.5,1.9,-1.6,2.6,0.7,0.8
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側),Gross domestic product (expenditure approach),499433.4,505429.1,488074.7,477431.6,493029.7,495280.1,499323.9,512534.7,510704,517426.3,521978.9,531678.1
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),-,1.2,-3.4,-2.2,3.3,0.5,0.8,2.6,-0.4,1.3,0.9,1.9
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,20.2,20.1,20.4,20,19.7,20.3,20.2,20.1,19.8,20.1,20,19.8
名目,At current prices,11,都民総所得 ,Gross prefectural income,97049.3,97215.5,92440.3,86228.7,88450.5,90356.1,89877.6,92987,94655.9,97729.3,96906.6,97869.8
名目,At current prices,12,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),-,0.2,-4.9,-6.7,2.6,2.2,-0.5,3.5,1.8,3.2,-0.8,1
名目,At current prices,13,国民総所得,Gross national income,543614.1,546947,521612.7,504282,512682.5,507649.3,508080,524704.9,537423.5,553395.6,554987.9,567250.4
名目,At current prices,14,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-,0.6,-4.6,-3.3,1.7,-1,0.1,3.3,2.4,3,0.3,2.2
名目,At current prices,15,国に対する都の構成比,Tokyo's percentage,17.9,17.8,17.7,17.1,17.3,17.8,17.7,17.7,17.6,17.7,17.5,17.3
名目,At current prices,16,都民総所得 ,Prefectural income,75797.6,75563.6,70666.9,65019.9,67607,69525.1,69188.3,71988.7,72389.1,74807.5,73701.4,74473.2
名目,At current prices,17,都民総所得 (増加率),Prefectural income (Percent changes from previous fiscal year),-,-0.3,-6.5,-8,4,2.8,-0.5,4,0.6,3.3,-1.5,1
名目,At current prices,18,国民総所得,National income,392351.9,392283.1,364051,353413.5,361895.3,358414.7,359779.9,374227.1,379450.9,390025.3,391185.6,404197.7
名目,At current prices,19,国民総所得 (増加率),National income (Percent changes from previous fiscal year),-,0,-7.2,-2.9,2.4,-1,0.4,4,1.4,2.8,0.3,3.3
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,19.3,19.3,19.4,18.4,18.7,19.4,19.2,19.2,19.1,19.2,18.8,18.4
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成18～29年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2006-2017 ),,,,,,,,,,,,,,,,
令和元年11月13日までに公表された各種指数等を基に推計している。毎月勤労統計調査地方調査結果の再集計値反映前のデータであり，今後改訂される場合がある。,,,,,,,,,,,,,,,,
Figures are estimated from indices and other figures published up to November 13， 2019. As this is data prior to reflection of the re-tabulated figures of the Results of the Monthly Labor Prefectural Survey， they may be revised at a later time.,,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,,
