年次(平成),Year,総数 Total／件数 Cases of registration,総数 Total／個数 Registered items, 不動産登記 Registration of immovables／計 Total／件数 Cases of registration, 不動産登記 Registration of immovables／計 Total／個数 Registered items, 不動産登記 Registration of immovables／土地 Land／件数 Cases of registration, 不動産登記 Registration of immovables／土地 Land／個数 Registered items, 不動産登記 Registration of immovables／建物 Structures／件数 Cases of registration, 不動産登記 Registration of immovables／建物 Structures／個数 Registered items,立木登記 Registration of trees／件数 Cases of registration,立木登記 Registration of trees／個数 Registered items,船舶登記 Registration of vessels／件数 Cases of registration,船舶登記 Registration of vessels／個数 Registered items,財団登記 Registration of foundations／件数 Cases of registration,財団登記 Registration of foundations／個数 Registered items,農業用動産抵当登記 Registration of agricultural chattel mortgages／件数 Cases of registration,農業用動産抵当登記 Registration of agricultural chattel mortgages／個数 Registered items,建設機械登記 Registration of construction machinery／件数 Cases of registration,建設機械登記 Registration of construction machinery／個数 Registered items,鉱害賠償登録 Registration of mine disaster compensations／件数 Cases of registration,鉱害賠償登録 Registration of mine disaster compensations／個数 Registered items,企業担保権登記 Registration of enterprise mortgages／件数 Cases of registration,夫婦財産契約登記 Registration of matrimonial property agreements／件数 Cases of registration,商業登記 Commercial registration／計 Total／件数 Cases of registration,商業登記 Commercial registration／株式会社 Stock companies／件数 Cases of registration,商業登記 Commercial registration／特例有限会社 Special limited companies／件数 Cases of registration,商業登記 Commercial registration／合名会社 General partnership companies／件数 Cases of registration,商業登記 Commercial registration／合資会社 Limited partnership companies／件数 Cases of registration,商業登記 Commercial registration／合同会社 Limited liability companies／件数 Cases of registration,商業登記 Commercial registration／外国会社 Foreign companies／件数 Cases of registration,商業登記 Commercial registration／商号 Company name／件数 Cases of registration,商業登記 Commercial registration／未成年者 Minors／件数 Cases of registration,商業登記 Commercial registration／後見人 Guardians／件数 Cases of registration,商業登記 Commercial registration／支配人 (個人) Managers (Individuals)／件数 Cases of registration,商業登記 Commercial registration／支配人 (会社) Managers (Companies)／件数 Cases of registration,一般社団・財団法人登記 a)／計 Total／件数 Cases of registration,一般社団・財団法人登記 a)／一般社団法人 General incorporated associations／件数 Cases of registration,一般社団・財団法人登記 a)／一般財団法人 General incorporated foundations／件数 Cases of registration,相互会社登記 Registration of mutual insurance companies／件数 Cases of registration,特定目的会社登記 b)／件数 Cases of registration,投資法人登記 Registration of investment corporations／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／計 Total／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／宗教法人 Religious corporations／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／農業協同組合 Agricultural cooperatives／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／水産業協同組合 Fishery cooperatives／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／中小企業等協同組合 Small and mediumsized enterprise cooperatives／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／その他の法人 Other corporations／件数 Cases of registration,投資事業有限責任組合契約登記 Registration of investment limited partnership agreements／件数 Cases of registration,有限責任事業組合契約登記 Registration of limited liability partnership agreements／件数 Cases of registration,限定責任信託登記 c)／件数 Cases of registration,動産譲渡登記 Registration of transfer of movables／件数 Cases of registration,動産譲渡登記 Registration of transfer of movables／個数 Registered items,債権譲渡登記 Registration of assignment of claims／件数 Cases of registration,債権譲渡登記 Registration of assignment of claims／個数 Registered items,成年後見登記 Registration of adult guardianships／件数 Cases of registration,筆界特定 Identification of land boundary／新受 Newly received,筆界特定 Identification of land boundary／処理 Processed
28,2016,1925421,56276546,1308461,2832474,632593,1661714,675868,1170760,-,-,276,276,129,182,-,-,6,9,-,-,-,14,358515,297045,36442,94,580,22087,1726,120,1,-,7,413,16291,12103,4188,9,2386,120,29210,391,76,40,2931,25772,929,619,6,7894,85793,34406,53357812,165834,316,286
29,2017,1890535,50956248,1271045,2767328,602843,1628566,668202,1138762,-,-,265,265,93,226,1,1,7,9,-,-,-,3,361973,301745,32537,136,532,24664,1800,124,2,-,8,425,17845,13501,4344,8,2231,108,30472,465,97,40,2854,27016,837,646,21,7769,48674,34850,48139745,161988,373,240
30,2018,1840441,55791253,1219589,2707178,573245,1601809,646344,1105369,-,-,311,320,36,112,1,1,6,10,-,-,-,11,363853,302294,32314,119,468,26478,1663,96,2,-,3,416,18489,14125,4364,11,2351,158,28641,407,102,40,3056,25036,1009,707,13,8296,22710,38781,53060922,157943,235,257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-1  登記の種類別登記(平成28～30年) 20-1  REGISTRATIONS BY TYPE （ 2016-2018 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Registration of general incorporated associations and foundations b) Registration of specific purpose companies c) Registration of limited liability trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 「商業登記」から「限定責任信託登記」欄には，職権による登記を計上していない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Cases of ex officio registration are not included in the number of cases under ""Commercial registration"" through ""Registration of limited liability trusts.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：法務省 「登記統計」 Source: Ministry of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
