年次,Year,地域階層,地域コード,地域,District,総数 Total,男 Male／計 Total,男 Male／15～24歳 15-24years old,男 Male／25～39歳 25-39years old,男 Male／40～59歳 40-59years old,男 Male／60～64歳 60-64years old,男 Male／65歳以上 65 years old and over,女 Female
20,2008,0,13000,総数,Tokyo-to,1243,1161,21,148,543,158,291,82
25,2013,0,13000,総数,Tokyo-to,972,938,24,145,355,131,283,34
30,2018,0,13000,総数,Tokyo-to,896,871,47,144,304,127,249,25
30,2018,1,13100,区部,All ku ,299,290,22,49,113,40,66,9
30,2018,1,13350,島部,All islands,597,581,25,95,191,87,183,16
30,2018,2,13361,大島町,Oshima-machi,98,87,3,6,22,12,44,11
30,2018,2,13362,利島村,Toshima-mura,17,16,-,3,6,1,6,1
30,2018,2,13363,新島村,Niijima-mura,63,63,-,6,13,13,31,-
30,2018,2,13364,神津島村,Kozushima-mura,142,140,9,20,55,24,32,2
30,2018,2,13381,三宅村,Miyake-mura,44,43,-,5,15,3,20,1
30,2018,2,13382,御蔵島村,Mikurajima-mura,5,5,-,4,-,-,1,-
30,2018,2,13401,八丈町,Hachijo-machi,146,146,6,26,51,25,38,-
30,2018,2,13402,青ヶ島村,Aogashima-mura,5,5,-,-,2,3,-,-
30,2018,2,13421,小笠原村,Ogasawara-mura,77,76,7,25,27,6,11,1
,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,
9-6 漁業就業者数（平成20～30年） 9-6 FISHERY WORKERS ( 2008-2018 ) ,,,,,,,,,,,,,
各年11月1日現在の「漁業センサス」による。,,,,,,,,,,,,,
Data are based on the Fishery Census taken as of November 1 of the year stated.,,,,,,,,,,,,,
資料：農林水産省「2018年漁業センサス」，都総務局統計部産業統計課「2018年漁業センサス東京都分調査結果報告」 Source: Ministry of Agriculture， Forestry and Fisheries; Bureau of General Affairs， TMG,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・島部　2:区市町村),,,,,,,,,,,,,
