年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成28,2016,,,3468273,3536303,13515299,13629812,2429158,27621,20007,985088,1098132,3009,148,14508,16915
平成29,2017,,,3730869,3809380,14500368,14582634,2008307,19633,17005,1093196,1169703,1628,156,14408,20701
平成30,2018,,,3599014,3650073,15732580,15815526,1878207,11376,11946,1094656,1103356,858,176,16799,21843
平成31･令和元,2019,,,3794224,3848555,16413561,16476278,1881310,10768,11956,965415,1074490,1317,262,14947,24910
令和2,2020,,,1596182,1624738,2966075,3005903,619286,2385,3902,869406,1089099,447,77,16600,34616
令和2,2020,1,Jan.,304081,325963,1350826,1411997,214434,440,684,65659,79821,126,24,1358,1933
令和2,2020,2,Feb.,292767,301699,1023911,934223,151415,640,974,71490,79018,157,24,2494,1463
令和2,2020,3,Mar.,225799,220842,291118,364789,99055,785,1629,80867,107246,160,25,2597,3301
令和2,2020,4,Apr.,36840,34332,21563,24904,11005,111,121,60426,84107,3,3,518,2726
令和2,2020,5,May,16829,19276,15203,12062,12026,34,36,57067,80699,-,-,585,2877
令和2,2020,6,June,32918,32453,19994,18758,17127,13,16,61016,79595,-,0,897,2642
令和2,2020,7,July,97793,95255,28791,21923,20915,68,63,65181,88500,-,-,1364,3040
令和2,2020,8,Aug.,130947,136378,38234,23124,22364,53,63,66303,83535,-,-,1340,2977
令和2,2020,9,Sept.,104187,106116,38167,24971,17192,40,38,73556,89071,0,0,1265,2997
令和2,2020,10,Oct.,116276,115628,41591,36875,17735,30,20,82792,99584,-,-,1391,3063
令和2,2020,11,Nov.,123379,131940,45031,61186,16804,96,108,87503,108225,0,0,1203,3549
令和2,2020,12,Dec.,114366,104856,51646,71091,19214,75,150,97546,109698,0,1,1587,4046
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (2)　成田国際空港 （平成28～令和2年） 4-23 TRANSPORTATION BY ＡIR (2) NARITA INTERNATIONAL AIRPORT ( 2016-2020 ),,,,,,,,,,,,,,,,
資料：国土交通省「航空管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
