海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity,
総数,Total,総数,Total,,,2738412,
総数,Total,魚類,Fish,総数,Total,2407142,
総数,Total,魚類,Fish,きんめだい,Alfonsino,1098529,
総数,Total,魚類,Fish,まぐろ類,Tuna,249262,
総数,Total,魚類,Fish,かじき類,Swordfish,193504,
総数,Total,その他の水産動物,Other marine animals,総数,Total,121431,
総数,Total,その他の水産動物,Other marine animals,いか,Squid,86021,
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,20574,
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,13457,
総数,Total,貝類,Shellfish,総数,Total,69896,
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,47985,
総数,Total,貝類,Shellfish,さざえ,Top shell,7535,
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,4156,
総数,Total,藻類,Seaweed,総数,Total,139943,
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,121751,
総数,Total,藻類,Seaweed,とさかのり,Comb paste,17605,
総数,Total,藻類,Seaweed,いわのり,Spontaneous purple,46,
東京湾海区,Tokyo bay area,総数,Total,,,191287,
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,135535,
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,74061,
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,22846,
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,5252,
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,350,
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,55322,
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,47985,
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,80,
大島海区,Oshima sea area,総数,Total,,,1093627,
大島海区,Oshima sea area,魚類,Fish,総数,Total,872548,
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,613469,
大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,59278,
大島海区,Oshima sea area,魚類,Fish,むつ類 ,Gnomefish,36892,
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,68701,
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか,Squid,50890,
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,17665,
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,14007,
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,7499,
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,3789,
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,2081,
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,138371,
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,120439,
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,17605,
三宅海区,Miyake sea area,総数,Total,,,296428,
三宅海区,Miyake sea area,魚類,Fish,総数,Total,292210,
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,113770,
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,104872,
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,38345,
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,2169,
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか,Squid,1108,
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,938,
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,567,
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,367,
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,36,
三宅海区,Miyake sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,16,
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,1482,
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,1312,
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,46,
八丈海区,Hachijo sea area,総数,Total,,,751938,
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,751525,
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,380175,
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,107192,
八丈海区,Hachijo sea area,魚類,Fish,むろあじ,Mackerel scad,63122,
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,403,
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,93,
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,-,
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,10,
小笠原海区,Ogasawara sea area,総数,Total,,,405132,
小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,355324,
小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,169257,
小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,71863,
小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,44706,
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,49808,
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか,Squid,34023,
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,かめ ,Sea turtle　,13457,
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いせえび,Spinylobster,1878,
小笠原海区,Ogasawara sea area,貝類,Shellfish,総数,Total,-,
小笠原海区,Ogasawara sea area,藻類,Seaweed,総数,Total,-,
,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,
9-7 海区別生産量（平成31･令和元年） 9-7 CATCHES ( QUANTITY ) BY SEA REGION ( 2019 ),,,,,,,
大手水産会社による遠洋・沖合漁業を除く。,,,,,,,
Excluding deep sea and offshore activities by large fishery companies.,,,,,,,
注) 数値は，主要生産量のみを掲げてあるので，内訳の合計は総数に一致しない。,,,,,,,
Note: The total is not the sum of the details as detailed figures are given for key quantities only.,,,,,,,
"資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs, TMG",,,,,,,
（単位　キログラム）(Quantity in kg),,,,,,,
,,,,,,,
