項番 Item number,項目,Item,平成29年度 Fiscal year 2017／実数 Value,平成29年度 Fiscal year 2017／構成比 Percentage Distribution (%),平成29年度 Fiscal year 2017／対前年度増加率 Percent changes from previous fiscal year (%),平成30年度 Fiscal year 2018／実数 Value,平成30年度 Fiscal year 2018／構成比 Percentage Distribution (%),平成30年度 Fiscal year 2018／対前年度増加率 Percent changes from previous fiscal year (%)
1,農林水産業,Agriculture， forestry and fishing,44.8,0,-6,42.5,0,-5.3
2,鉱業,Mining,67.4,0.1,4.6,69.2,0.1,2.7
3,製造業,Manufacturing,9303.1,8.8,0.1,9178.5,8.6,-1.3
4,電気・ガス・水道業・廃棄物処理業,Electricity， gas and water supply and waste management service,1690.5,1.6,1.3,1705.1,1.6,0.9
5,建設業,Construction,6220.9,5.9,10.2,6260.5,5.8,0.6
6,卸売・小売業,Wholesale and retail trade,21550.2,20.3,-0.6,21685.4,20.3,0.6
7,運輸・郵便業,Transport and postal services,4963.5,4.7,2.3,5022.5,4.7,1.2
8,宿泊・飲食サービス業,Accommodation and food service activities,2387.8,2.3,-0.7,2331.6,2.2,-2.4
9,情報通信業,Information and communications,10788.3,10.2,-1.3,11016.3,10.3,2.1
10,金融・保険業,Finance and insurance,8566.3,8.1,3.2,8731.9,8.2,1.9
11,不動産業,Real estate,11983.8,11.3,1,12102.5,11.3,1
12,専門・科学技術，業務支援サービス業,Professional， scientific and technical activities,11858,11.2,-0.2,12028.3,11.2,1.4
13,公務,Public administration,3940.1,3.7,-2.4,4112.1,3.8,4.4
14,教育,Education,3094.3,2.9,1.6,3128.2,2.9,1.1
15,保健衛生・社会事業,Human health and social work activities,4893.1,4.6,1.4,5080.7,4.7,3.8
16,その他のサービス,Other service activities,4492.3,4.2,1.3,4451.7,4.2,-0.9
17,小計 (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),Sub-total (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),105844.6,99.9,0.8,106946.8,99.9,1
18,輸入品に課される税・関税,Taxes and duties on imports,830.2,0.8,-0.2,855.8,0.8,3.1
19,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,710,0.7,4.3,760.9,0.7,7.2
20,都内総生産 (17+18-19),Gross prefectural domestic product (17+18-19),105964.7,100,0.8,107041.8,100,1
,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成29，30年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2017 and 2018 ),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
