年次,Year,原因,Cause,発生件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成28,2016,総数,Total,32283,37840,141,310,37389
平成29,2017,総数,Total,32576,37958,134,697,37127
平成30,2018,総数,Total,32449,37434,124,1092,36218
平成31･令和元,2019,総数,Total,30288,34713,118,1210,33385
令和2,2020,総数,Total,25466,28857,128,1178,27551
令和2,2020,信号無視,Ignoring traffic light signals,766,912,13,87,812
令和2,2020,通行区分違反,Lane violation,55,62,1,3,58
令和2,2020,最高速度違反,Speed violation,7,9,3,-,6
令和2,2020,横断等禁止違反,Crossing， etc. violation,18,24,1,2,21
令和2,2020,車間距離不保持,Tailgating,61,75,-,-,75
令和2,2020,進路変更禁止違反,Lane change violation ,20,23,-,-,23
令和2,2020,通行妨害,Obstruction of traffic ,3,3,-,-,3
令和2,2020,追越違反,Overtaking violation,17,23,-,2,21
令和2,2020,右折違反,Right turn violation,15,23,-,2,21
令和2,2020,左折違反,Left turn violation,21,22,-,4,18
令和2,2020,優先通行妨害等,Obstruction of priority lanes， etc.,112,132,8,29,95
令和2,2020,交差点安全進行義務違反,Violation of duty to use caution at intersections,3451,3726,10,177,3539
令和2,2020,歩行者妨害等,Obstruction of pedestrians， etc.,810,825,10,83,732
令和2,2020,横断自転車妨害等,Obstruction of crossing bicycles， etc.,203,209,-,12,197
令和2,2020,徐行場所違反,Slow down violation ,41,42,-,2,40
令和2,2020,指定場所一時不停止等,Stop sign， etc. violation,745,859,5,63,791
令和2,2020,酒酔い運転,Driving while intoxicated,15,17,-,5,12
令和2,2020,過労・薬物,Driving while drowsy or under the influence of drugs,49,85,-,4,81
令和2,2020,安全運転義務違反,Violation of safe driving obligations,18233,20921,70,649,20202
令和2,2020,安全不確認ドア開放等,Opening of door without checking for safety， etc.,222,229,-,6,223
令和2,2020,その他,Others,508,528,2,33,493
令和2,2020,調査不能,Cause undetermined,94,108,5,15,88
,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,
20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成28～令和2年） 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2016-2020 ),,,,,,,,
注 1) 発生件数及び死傷者数とも第1当事者からみた数である。,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,
"Note: 1) ""Accidents total"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,
