項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,3720,16264,3038,2243
1,たばこ,Cigarettes,509,1508,332,320
2,こんろ,Gas table,533,700,538,477
3,かまど,Kitchen stove,4,90,8,4
4,風呂かまど,Bathtub water heater ,-,-,-,-
5,炉,Furnace,10,-,8,-
6,焼却炉,Incinerator,3,5,3,1
7,ストーブ,Space heater ,67,1009,96,113
8,こたつ,Kotatsu， a Japanese table with a heating device,1,-,1,1
9,ボイラー,Hot water boiler,7,12,7,5
10,煙突・煙道,Chimney and flue,1,-,-,-
11,排気管,Exhaust pipe,32,41,1,-
12,電気機器,Electric machinery and appliances,415,875,368,189
13,電気装置,Electric equipment,99,172,75,12
14,電灯電話配線,Lighting and telephone wiring,132,898,124,75
15,内燃機関,Internal-combustion engine,6,-,-,-
16,配線器具,Wiring devices ,260,80,249,118
17,火遊び,Playing with matches/lighters,20,64,14,13
18,マッチ・ライター,Matches and lighters,34,31,29,29
19,たき火,Bonfire,29,21,12,9
20,切断機・溶接機,Welding and cutting machines,35,45,13,3
21,灯火,Lighting,32,406,42,51
22,衝突の火花,Sparks caused by collision,2,-,-,-
23,取灰,Ash,5,54,9,4
24,火入れ,Kindling,1,-,-,-
25,放火,Arson,592,893,272,173
26,放火の疑い,Suspected arson,46,77,17,5
27,交通機関内配線,Wiring installed in transportation facilities ,31,-,7,7
28,その他,Others　,496,1075,408,234
29,不明・調査中,Unknown and currently under investigation,318,8208,405,400
,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （令和2年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2020 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
