年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,都市計画区域 City planning areas,市街化区域 Urbanization promotion areas,市街化調整区域 Urbanization control areas,用途地域 Use zoning／総数 Total,用途地域 Use zoning／第1種低層住居専用地域 Category 1 low-rise exclusive residential districts,用途地域 Use zoning／第2種低層住居専用地域 Category 2 low-rise exclusive residential districts,用途地域 Use zoning／第1種中高層住居専用地域 Category 1 mid-high rise exclusive residential districts,用途地域 Use zoning／第2種中高層住居専用地域 Category 2 mid-high rise exclusive residential districts,用途地域 Use zoning／第1種住居地域 Category 1 residential districts,用途地域 Use zoning／第2種住居地域 Category 2 residential districts,用途地域 Use zoning／準住居地域 Quasiresidential districts,用途地域 Use zoning／近隣商業地域 Neighborhood commercial districts,用途地域 Use zoning／商業地域 Commercial districts,用途地域 Use zoning／準工業地域 Quasiindustrial districts,用途地域 Use zoning／工業地域 Industrial districts,用途地域 Use zoning／工業専用地域 Exclusive industrial districts
平成28,2016,0,13000,,東京都,Tokyo-to,174485,107894,36458,111370.9,40887.1,770.9,19053,3649.2,11669.4,2117.6,1504,5911.9,7358.1,14531.4,2590.6,1327.7
平成29,2017,0,13000,,東京都,Tokyo-to,174445,108066,36288,111532.6,40912.6,770.4,19060.1,3665.6,11680.1,2120.2,1509.5,5933.2,7391.2,14551.8,2614.9,1323
平成30,2018,0,13000,,東京都,Tokyo-to,174445,108066,36288,111532.6,40896.5,770.4,19051.4,3683.8,11683,2121.5,1509.5,5951.6,7393.6,14544.4,2603.9,1323
令和元,2019,0,13000,,東京都,Tokyo-to,174377,108087,36267,111553.6,40888.2,770.4,19052.9,3683.8,11675.9,2121.5,1520.5,5954.1,7394,14565.4,2603.9,1323
令和2,2020,0,13000,,東京都,Tokyo-to,174377.4,108087.3,36267.1,111553.7,40846.1,786.4,19040.3,3691.3,11670,2130.4,1520.5,5973.9,7395.1,14572.8,2603.9,1323
令和2,2020,1,13100,,区部,All ku,61465.4,58214.5,3251.9,58214.4,11297,575.2,10354.1,1069.5,9486.5,1175,471.8,4224.3,6458.1,10859.3,1225.1,1018.5
令和2,2020,2,,,東京都市計画,Tokyo city planning,61465.4,58214.5,3251.9,58214.4,11297,575.2,10354.1,1069.5,9486.5,1175,471.8,4224.3,6458.1,10859.3,1225.1,1018.5
令和2,2020,3,13101,1,千代田区,Chiyoda-ku,1164,1164,-,1164,-,-,-,-,367.3,84.1,-,-,712.6,-,-,-
令和2,2020,3,13102,2,中央区,Chuo-ku,872,852,20,851.6,-,-,-,-,60.1,69.6,-,-,659.2,62.7,-,-
令和2,2020,3,13103,3,港区,Minato-ku,2034,1994,40,1993.9,0.1,-,447.6,100.1,162.6,213,-,83.7,624.9,361.9,-,-
令和2,2020,3,13104,4,新宿区,Shinjuku-ku,1823,1823,-,1823,121.2,-,417.1,81.6,391.3,101.9,-,93.6,499.6,116.7,-,-
令和2,2020,3,13105,5,文京区,Bunkyo-ku,1131,1131,-,1131,121.8,-,334.8,7.8,180.2,48.8,-,124.3,237.3,76,-,-
令和2,2020,3,13106,6,台東区,Taito-ku,1008,975,33,975.3,-,-,114.1,3.8,79.8,3.1,-,95.5,670.7,8.3,-,-
令和2,2020,3,13107,7,墨田区,Sumida-ku,1375,1241,134,1241.3,-,-,-,-,78.8,-,-,193.7,321.4,595,52.4,-
令和2,2020,3,13108,8,江東区,Koto-ku,3963,3661,302,3660.7,-,-,134.1,-,505.1,52.4,11.8,79.7,285.9,1855.1,181,555.6
令和2,2020,3,13109,9,品川区,Shinagawa-ku,2243,2243,-,2243.2,124.1,-,210.5,3.4,558.2,15,-,142.4,260.3,869.4,59.9,-
令和2,2020,3,13110,10,目黒区,Meguro-ku,1470,1470,-,1470,591.8,-,309.4,62.7,181,47.4,-,100.5,96.6,80.6,-,-
令和2,2020,3,13111,11,大田区,Ota-ku,5976,5550,427,5550,714.1,3.5,374.5,18.6,773.4,18.4,85.3,375.5,201.2,2446.3,178.2,361
令和2,2020,3,13112,12,世田谷区,Setagaya-ku,5808.4,5680.6,127.8,5680.6,2870.8,87,1361.1,138.5,539.6,111.8,67.5,349.1,96.5,58.7,-,-
令和2,2020,3,13113,13,渋谷区,Shibuya-ku,1511,1511,-,1511.2,173.4,62.2,65.9,369.1,238.8,118.4,16.7,108.8,324,33.9,-,-
令和2,2020,3,13114,14,中野区,Nakano-ku,1559,1559,-,1559,633.5,-,505.3,3.9,66.7,-,-,250.8,71.6,27.2,-,-
令和2,2020,3,13115,15,杉並区,Suginami-ku,3402,3402,-,3402,2166.8,14.9,430.2,95.9,78.1,61.6,70.9,297,133.7,52.9,-,-
令和2,2020,3,13116,16,豊島区,Toshima-ku,1301,1301,-,1301,116.4,-,477.1,0.2,202.5,6,-,151.6,294.1,53.1,-,-
令和2,2020,3,13117,17,北区,Kita-ku,2059,1822,237,1822.1,-,21.6,503.1,3.4,426.3,36.4,-,242.5,169.4,320,99.4,-
令和2,2020,3,13118,18,荒川区,Arakawa-ku,1020,970.1,49.9,970.1,-,-,-,30,81.3,1,-,76.7,137.4,594.6,49.1,-
令和2,2020,3,13119,19,板橋区,Itabashi-ku,3217,3038.8,178.2,3038.8,192.4,-,1016,3.1,541.8,60.8,46.2,247,178,587.8,77.8,87.9
令和2,2020,3,13120,20,練馬区,Nerima-ku,4816,4816,-,4816,2788.3,-,821,-,527.4,60.4,83.6,296.7,93,142.2,3.4,-
令和2,2020,3,13121,21,足立区,Adachi-ku,5320,4810,510,4810,400.9,-,1145.8,87.6,1175.7,15.7,89.8,505,103.1,1104.5,167.9,14
令和2,2020,3,13122,22,葛飾区,Katsushika-ku,3484,3025,459,3025,210.6,386,413.8,-,723.8,49.2,-,116.8,135.5,750.6,238.7,-
令和2,2020,3,13123,23,江戸川区,Edogawa-ku,4909,4175,734,4174.6,70.8,-,1272.7,59.8,1546.7,-,-,293.4,152.1,661.8,117.3,-
令和2,2020,1,,,市郡部,All shi and gun,82886,49872.8,33015.2,53236.6,29549.1,211.2,8686.2,2621.8,2105.1,955.4,1048.7,1749.6,912.7,3713.5,1378.8,304.5
令和2,2020,2,,,八王子都市計画,Hachioji city planning,18631,8151,10481,9932.6,5650.8,6.4,1503.6,414.4,305.2,192.4,197,285,121.3,1063,132.8,60.7
令和2,2020,3,13201,1,八王子市,Hachioji-shi,18631,8151,10481,9932.6,5650.8,6.4,1503.6,414.4,305.2,192.4,197,285,121.3,1063,132.8,60.7
令和2,2020,2,,,立川都市計画,Tachikawa city planning,5329,4243,1086,4874.8,2784.5,2.4,731.4,112.4,305.5,53.4,43.8,98,157.5,207,378.9,-
令和2,2020,3,13202,2,立川市,Tachikawa-shi,2438,2083,355,2083.1,892.5,-,420.5,37.4,188.9,39.1,-,40.5,128.3,204.6,131.3,-
令和2,2020,3,13220,3,東大和市,Higashiyamato-shi,1354,989,365,1354,931.1,-,144.8,59.6,66,5.8,30.4,33.6,8.4,2.4,71.9,-
令和2,2020,3,13223,4,武蔵村山市,Musashimurayama-shi,1537,1171,366,1437.7,960.9,2.4,166.1,15.4,50.6,8.5,13.4,23.9,20.8,-,175.7,-
令和2,2020,2,,,武蔵野都市計画,Musashino city planning,1073,1073,-,1073,551.1,2,198,33.7,91.2,26.9,-,77.9,57.3,34.9,-,-
令和2,2020,3,13203,5,武蔵野市,Musashino-shi,1073,1073,-,1073,551.1,2,198,33.7,91.2,26.9,-,77.9,57.3,34.9,-,-
令和2,2020,2,,,三鷹都市計画,Mitaka city planning,1650,1650,-,1650,1054.4,-,229.9,31.3,145.4,3.3,15.3,57.6,24.7,61.7,26.4,-
令和2,2020,3,13204,6,三鷹市,Mitaka-shi,1650,1650,-,1650,1054.4,-,229.9,31.3,145.4,3.3,15.3,57.6,24.7,61.7,26.4,-
令和2,2020,2,,,青梅都市計画,Ome city planning,10326,2183,8143,2202.3,848.7,64,362.7,49.9,294.4,20.4,-,109.6,26.5,262.4,107.2,56.5
令和2,2020,3,13205,7,青梅市,Ome-shi,10326,2183,8143,2202.3,848.7,64,362.7,49.9,294.4,20.4,-,109.6,26.5,262.4,107.2,56.5
令和2,2020,2,,,府中都市計画,Fuchu city planning,2934,2725,209,2725.2,1172.7,15,611.2,53.1,109.1,128.8,80.6,128.4,55.8,222.6,147.9,-
令和2,2020,3,13206,8,府中市,Fuchu-shi,2934,2725,209,2725.2,1172.7,15,611.2,53.1,109.1,128.8,80.6,128.4,55.8,222.6,147.9,-
令和2,2020,2,,,昭島都市計画,Akishima city planning,1733,1440,293,1440.2,589.1,-,267.6,11.8,55.4,45.5,49.3,67.6,17,314.5,22.4,-
令和2,2020,3,13207,9,昭島市,Akishima-shi,1733,1440,293,1440.2,589.1,-,267.6,11.8,55.4,45.5,49.3,67.6,17,314.5,22.4,-
令和2,2020,2,,,調布都市計画,Chofu city planning,2792,2630,162,2630,1525.6,-,460.2,45.4,159.7,11.3,39.7,138.7,42.9,206.5,-,-
令和2,2020,3,13208,10,調布市,Chofu-shi,2153,2048,105,2048,1151.5,-,356,45.1,123.8,11.3,39.7,97.3,41.7,181.6,-,-
令和2,2020,3,13219,11,狛江市,Komae-shi,639,582,57,582,374.1,-,104.2,0.3,35.9,-,-,41.4,1.2,24.9,-,-
令和2,2020,2,,,町田都市計画,Machida city planning,7165,5482,1684,5663.5,3610,11.6,588.1,508.1,31.4,115.9,201.8,133.9,68.9,369.9,23.9,-
令和2,2020,3,13209,12,町田市,Machida-shi,7165,5482,1684,5663.5,3610,11.6,588.1,508.1,31.4,115.9,201.8,133.9,68.9,369.9,23.9,-
令和2,2020,2,,,小金井都市計画,Koganei city planning,1133,1133,-,1133,738,0.5,229.9,7.9,94,-,-,30.2,20,12.5,-,-
令和2,2020,3,13210,13,小金井市,Koganei-shi,1133,1133,-,1133,738,0.5,229.9,7.9,94,-,-,30.2,20,12.5,-,-
令和2,2020,2,,,小平都市計画,Kodaira city planning,2046,2046,-,2046,1171.6,5.8,418.8,171.4,54.8,20.4,14.3,31.4,37.6,69.8,50.1,-
令和2,2020,3,13211,14,小平市,Kodaira-shi,2046,2046,-,2046,1171.6,5.8,418.8,171.4,54.8,20.4,14.3,31.4,37.6,69.8,50.1,-
令和2,2020,2,,,日野都市計画,Hino city planning,2753,2244,509,2391,1442,-,254,239.8,6.6,65,42.9,65.1,26.1,101,148.5,-
令和2,2020,3,13212,15,日野市,Hino-shi,2753,2244,509,2391,1442,-,254,239.8,6.6,65,42.9,65.1,26.1,101,148.5,-
令和2,2020,2,,,東村山都市計画,Higashimurayama city planning,4028,3994.8,33.2,4028,2400.7,17.4,813.1,245.4,61.4,56.8,34.1,114.7,54.5,229.9,-,-
令和2,2020,3,13213,16,東村山市,Higashimurayama-shi,1717,1696,21,1717,1017.7,13.4,343.2,70.2,50.5,10.8,20.6,54.6,27,109,-,-
令和2,2020,3,13221,17,清瀬市,Kiyose-shi,1019,1019,-,1019,572.8,-,265.9,72,-,14.7,-,21.2,16.7,55.7,-,-
令和2,2020,3,13222,18,東久留米市,Higashikurume-shi,1292,1279.8,12.2,1292,810.2,4,204,103.2,10.9,31.3,13.5,38.9,10.8,65.2,-,-
令和2,2020,2,,,国分寺都市計画,Kokubunji city planning,1148,1148,-,1148,748.5,16.7,75.4,52.1,104.6,34.6,-,31.3,36.7,48.1,-,-
令和2,2020,3,13214,19,国分寺市,Kokubunji-shi,1148,1148,-,1148,748.5,16.7,75.4,52.1,104.6,34.6,-,31.3,36.7,48.1,-,-
令和2,2020,2,,,国立都市計画,Kunitachi city planning,815,792,23,792,369.4,0.2,166.9,44.5,33.7,7.2,-,34.1,9.4,126.6,-,-
令和2,2020,3,13215,20,国立市,Kunitachi-shi,815,792,23,792,369.4,0.2,166.9,44.5,33.7,7.2,-,34.1,9.4,126.6,-,-
令和2,2020,2,,,福生都市計画,Fussa city planning,3698,2224,1474,2627.7,1244.9,27.6,445.8,61.8,96.8,11.3,50.4,110.5,31.2,114.2,245.9,187.3
令和2,2020,3,13218,21,福生市,Fussa-shi,1024,663,361,663.3,290.5,16,134.4,29.6,44.1,11.3,0.1,56.5,21.4,47.1,12.3,-
令和2,2020,3,13227,22,羽村市,Hamura-shi,991,814,177,814,220.6,-,288.3,32.2,25.4,-,-,39.7,6.8,36.7,15,149.3
令和2,2020,3,13303,23,瑞穂町,Mizuho-machi,1683,747,936,1150.4,733.8,11.6,23.1,-,27.3,-,50.3,14.3,3,30.4,218.6,38
令和2,2020,2,,,多摩都市計画,Tama city planning,3905,3600,305,3765.7,1766.4,7,815.4,442.4,39.7,138.7,177.3,128,81,159.4,10.4,-
令和2,2020,3,13224,24,多摩市,Tama-shi,2108,2019,89,2019,662.9,-,638,302.5,10.5,113.6,117.2,51.8,68.1,54.4,-,-
令和2,2020,3,13225,25,稲城市,Inagi-shi,1797,1581,216,1746.7,1103.5,7,177.4,139.9,29.2,25.1,60.1,76.2,12.9,105,10.4,-
令和2,2020,2,,,秋多都市計画,Akita city planning,10142,1529,8613,1528.6,1053.4,28.5,139.6,32.9,52.3,12.9,33.8,36.2,17.7,58.8,62.5,-
令和2,2020,3,13228,26,あきる野市,Akiruno-shi,7334,1198,6136,1198,836.2,21.8,105.6,28.4,38.1,12.9,33.8,36.2,2.6,58.7,23.7,-
令和2,2020,3,13305,27,日の出町,Hinode-machi,2808,331,2477,330.6,217.2,6.7,34,4.5,14.2,-,-,-,15.1,0.1,38.8,-
令和2,2020,2,,,西東京都市計画,Nishitokyo city planning,1585,1585,-,1585,827.3,6.1,374.6,63.5,63.9,10.6,68.4,71.4,26.6,50.7,21.9,-
令和2,2020,3,13229,28,西東京市,Nishitokyo-shi,1585,1585,-,1585,827.3,6.1,374.6,63.5,63.9,10.6,68.4,71.4,26.6,50.7,21.9,-
令和2,2020,1,13350,,島部,All islands,30026,-,-,102.7,-,-,-,-,78.4,-,-,-,24.3,-,-,-
令和2,2020,2,,,大島都市計画,Oshima city planning,9076,-,-,102.7,-,-,-,-,78.4,-,-,-,24.3,-,-,-
令和2,2020,3,13361,1,大島町,Oshima-machi,9076,-,-,102.7,-,-,-,-,78.4,-,-,-,24.3,-,-,-
令和2,2020,2,,,新島都市計画,Niijima city planning,2322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,3,13363,2,新島村,Niijima-mura,2322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,2,,,神津都市計画,Kozu city planning,1858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,3,13364,3,神津島村,Kozushima-mura,1858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,2,,,三宅都市計画,Miyake city planning,5526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,3,13381,4,三宅村,Miyake-mura,5526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,2,,,八丈都市計画,Hachijo city planning,6911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,3,13401,5,八丈町,Hachijo-machi,6911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,2,,,小笠原都市計画,Ogasawara city planning,4333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,3,13421,6,小笠原村,Ogasawara-mura,4333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,
1-4  都市計画区域別土地利用面積 （平成28～令和2年度末） 1-4  LAND USE BY CITY PLANNING AREAS ( End of Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,
"資料：国土交通省「都市計画現況調査」 Source:  Ministry of Land, Infrastructure, Transport and Tourism",,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市郡部・島部　2:都市計画　3:区市町村),,,,,,,,,,,,,,,,,,,,,,
（単位  ヘクタール）（In hectare）,,,,,,,,,,,,,,,,,,,,,,
