地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ) 1),課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered 2),有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity
0,13000,,総数,Tokyo-to,3083616,375762,124419,242060,9283,2596869,1584557,1012312,15720,81513,13752,180354,759542,1794,299313
1,13100,,区部,All ku,1923503,266464,86882,171255,8327,1585762,1032104,553658,9937,52316,9024,120395,323282,1342,210694
2,13101,1,千代田区,Chiyoda-ku,31715,3967,371,3586,10,26972,19338,7634,63,650,63,1036,2897,164,18349
2,13102,2,中央区,Chuo-ku,42283,5522,717,4735,70,35576,26490,9086,76,832,277,1909,4205,143,16848
2,13103,3,港区,Minato-ku,77078,7609,1702,5561,346,67297,54414,12883,256,1325,591,3938,5079,175,22934
2,13104,4,新宿区,Shinjuku-ku,51356,6037,1015,5013,9,43758,29900,13858,186,1342,33,3893,8267,98,15880
2,13105,5,文京区,Bunkyo-ku,31344,3485,496,2989,-,27371,18959,8412,24,456,8,2121,4027,31,3411
2,13106,6,台東区,Taito-ku,32515,6070,799,5228,43,25715,15867,9848,40,644,46,2138,6151,44,4030
2,13107,7,墨田区,Sumida-ku,47078,8876,2234,6606,36,36558,21736,14822,146,1151,347,2958,9147,29,5082
2,13108,8,江東区,Koto-ku,111696,26560,12010,12485,2065,77339,49857,27482,781,5333,1683,5748,13676,117,34325
2,13109,9,品川区,Shinagawa-ku,69840,11165,2796,6573,1796,56402,38166,18236,454,1515,304,4746,9148,69,10961
2,13110,10,目黒区,Meguro-ku,52721,3447,934,2484,29,48159,35946,12213,223,834,58,3649,5413,22,2172
2,13111,11,大田区,Ota-ku,154516,27960,9991,15435,2534,119393,76662,42731,1151,5012,1000,10008,23721,51,20695
2,13112,12,世田谷区,Setagaya-ku,189530,13171,4103,9028,40,172007,122862,49145,693,3294,365,13127,23802,34,5296
2,13113,13,渋谷区,Shibuya-ku,50980,3812,651,3140,21,46241,35720,10521,156,731,40,3580,4932,100,9602
2,13114,14,中野区,Nakano-ku,44240,4360,763,3588,9,38658,24795,13863,293,876,53,4409,8324,16,1726
2,13115,15,杉並区,Suginami-ku,94679,7160,1892,5258,10,85086,55888,29198,490,1831,112,6456,14676,7,774
2,13116,16,豊島区,Toshima-ku,40210,4969,761,4197,11,34200,22054,12146,241,792,8,3152,6903,44,4721
2,13117,17,北区,Kita-ku,51884,6357,1474,4878,5,43973,25507,18466,376,1103,75,4908,10028,10,1326
2,13118,18,荒川区,Arakawa-ku,33833,5815,1623,4126,66,26796,16374,10422,108,923,191,1989,6704,13,1128
2,13119,19,板橋区,Itabashi-ku,105921,15980,5667,10284,29,86436,51395,35041,471,2807,227,7354,20987,33,6259
2,13120,20,練馬区,Nerima-ku,155582,16034,4843,11170,21,134885,82416,52469,785,3663,215,9071,32270,27,4756
2,13121,21,足立区,Adachi-ku,182401,32824,13466,19190,168,139911,81018,58893,1315,7438,913,9721,45318,50,7498
2,13122,22,葛飾区,Katsushika-ku,101549,14081,4771,9193,117,83087,47924,35163,600,3027,754,5629,23349,35,5151
2,13123,23,江戸川区,Edogawa-ku,170552,31203,13803,16508,892,129942,78816,51126,1009,6737,1661,8855,34258,30,7770
1,13200,,市部,All shi,1123833,100862,33455,66724,683,987442,541200,446242,5410,26761,3358,58287,402949,452,88619
2,13201,1,八王子市,Hachioji-shi,174122,18439,6760,11413,266,148945,80117,68828,1145,5029,564,9516,72928,73,17391
2,13202,2,立川市,Tachikawa-shi,52241,5573,1489,4064,20,44508,23225,21283,235,1761,164,2645,20181,41,14497
2,13203,3,武蔵野市,Musashino-shi,26837,1443,277,1162,4,24476,15440,9036,358,495,65,1303,4534,27,2983
2,13204,4,三鷹市,Mitaka-shi,40999,3390,1047,2331,12,36657,21615,15042,71,801,80,2504,8874,7,841
2,13205,5,青梅市,Ome-shi,45563,4626,1812,2714,100,39418,20089,19329,167,1115,237,2654,28965,7,1390
2,13206,6,府中市,Fuchu-shi,63630,6638,2282,4335,21,54768,30787,23981,226,1788,210,3204,17726,18,4256
2,13207,7,昭島市,Akishima-shi,32979,3268,1270,1991,7,28641,15028,13613,91,831,148,1625,13096,12,1597
2,13208,8,調布市,Chofu-shi,51866,4542,1440,3097,5,45768,27463,18305,284,1109,163,2658,11450,51,7880
2,13209,9,町田市,Machida-shi,127585,9624,3044,6542,38,114704,63512,51192,782,2222,253,5896,44180,59,12137
2,13210,10,小金井市,Koganei-shi,24825,1311,300,1010,1,22980,13109,9871,69,405,60,1349,5564,13,1521
2,13211,11,小平市,Kodaira-shi,48317,3770,1189,2578,3,43113,23639,19474,175,1073,186,2401,13811,4,236
2,13212,12,日野市,Hino-shi,48839,3057,907,2142,8,44141,23845,20296,200,1316,125,2603,15795,15,2566
2,13213,13,東村山市,Higashimurayama-shi,38775,3447,1157,2282,8,34135,17556,16579,134,969,90,1983,14420,5,868
2,13214,14,国分寺市,Kokubunji-shi,27610,1502,299,1201,2,25539,14430,11109,85,424,60,1395,6714,7,1169
2,13215,15,国立市,Kunitachi-shi,19483,2593,1182,1394,17,16074,9550,6524,35,688,93,863,4562,6,391
2,13218,16,福生市,Fussa-shi,25495,1645,487,1152,6,23140,11104,12036,203,423,84,1373,10435,12,1840
2,13219,17,狛江市,Komae-shi,17065,1590,414,1174,2,14962,8776,6186,152,332,29,1039,3824,3,298
2,13220,18,東大和市,Higashiyamato-shi,25238,2353,647,1704,2,22239,11737,10502,49,534,63,1413,11008,2,119
2,13221,19,清瀬市,Kiyose-shi,18285,1386,278,1106,2,16451,8453,7998,92,314,42,902,7153,13,1341
2,13222,20,東久留米市,Higashikurume-shi,30886,3280,966,2286,28,26579,14123,12456,193,763,71,1492,10542,5,306
2,13223,21,武蔵村山市,Musashimurayama-shi,27499,4676,1996,2623,57,21414,11393,10021,85,1245,79,1485,15765,1,257
2,13224,22,多摩市,Tama-shi,38371,2417,761,1653,3,34854,19066,15788,268,793,39,1898,10895,38,8924
2,13225,23,稲城市,Inagi-shi,25954,2312,798,1505,9,22973,13196,9777,72,559,38,1151,6910,13,2465
2,13227,24,羽村市,Hamura-shi,18310,1776,653,1112,11,16051,8344,7707,37,330,116,868,10428,2,185
2,13228,25,あきる野市,Akiruno-shi,28170,3000,1131,1851,18,24178,12418,11760,119,687,186,1708,21754,7,2142
2,13229,26,西東京市,Nishitokyo-shi,44889,3204,869,2302,33,40734,23185,17549,83,755,113,2359,11435,11,1019
1,13300,,郡部,All gun,27287,6175,3174,2747,254,18803,9661,9142,253,1662,394,1358,17764,-,-
1,13350,,島部,All islands,8988,2261,908,1334,19,4858,1590,3268,119,774,976,313,15547,-,-
,,,地域不詳,Not reported,5,-,-,-,-,4,2,2,1,-,-,1,-,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,
4-6  地域別自動車保有台数及び有料駐車場数 (令和3年度末) 4-6  NUMBER OF MOTOR VEHICLES AND PAY PARKING LOTS BY DISTRICT ( End of Fiscal Year 2021 ),,,,,,,,,,,,,,,,,,,
登録自動車台数及び課税登録台数（軽自動車）には，外国軍人軍属の私有車を含む。 また， 駐車場は駐車場法に基づき届けられた500m2以上のものである。,,,,,,,,,,,,,,,,,,,
"""Motor vehicles registered"" and ""Light four-wheeled motor vehicles registered"" include private vehicles owned by foreign military and civilian personnel.  ""Pay parking lots"" refer to those with an area of at least 500m2 reported as regulated under the Parking Lot Act.",,,,,,,,,,,,,,,,,,,
注 1) 総排気量が250㏄を超えるオートバイなど。,,,,,,,,,,,,,,,,,,,
2) 軽自動車の登録台数は年度当初の課税台数である。,,,,,,,,,,,,,,,,,,,
Note: 1) Such as motorcycles with a displacement of over 250cc.,,,,,,,,,,,,,,,,,,,
2) The number of light four-wheeled motor vehicles registered is the number of such vehicles taxed as of the beginning of the fiscal year.,,,,,,,,,,,,,,,,,,,
資料：一般財団法人自動車検査登録情報協会総務部広報・統計課， 都総務局行政部区政課， 都建設局道路管理部管理課 Source: Automobile Inspection & Registration Information Association; Bureau of General Affairs， TMG; Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,
