年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成29,2017,総数,Total,,,,31392,21618,9774,31392,21618,9774
平成30,2018,総数,Total,,,,32432,22470,9962,32432,22470,9962
令和元,2019,総数,Total,,,,33210,23315,9895,33210,23315,9895
令和2,2020,総数,Total,,,,26469,18585,7884,26469,18585,7884
令和3,2021,総数,Total,,,,28058,18960,9098,28058,18960,9098
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,8008,5759,2249,7969,5759,2210
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,4853,3174,1679,5144,3173,1971
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,880,476,403,845,477,368
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1447,835,612,1403,835,568
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,598,389,209,587,389,198
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1603,1053,550,1582,1052,530
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,995,691,305,980,691,289
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1892,1248,643,1862,1249,613
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1877,1277,600,1865,1277,588
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1692,1170,522,1655,1169,486
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,738,422,316,726,422,304
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1406,973,433,1401,974,427
令和3,2021,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,2069,1493,577,2039,1493,546
,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成29～令和3年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2017-2021 ),,,,,,,,,,,,
各駅の乗降車人員は最新年度1年間の合計である。同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
The number of boarding and deboarding passengers for each station is a one-year total for the most recent fiscal year. Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
