年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）,
平成29,2017,総数,Total,…,85554275,
平成30,2018,総数,Total,…,83952048,
平成31･令和元,2019,総数,Total,…,82125252,
令和2,2020,総数,Total,…,75642039,
令和3,2021,総数,Total,…,84772828,
令和3,2021,切花（本）,Cut flowers (stems),780403969,55737848,
令和3,2021,切葉（枚）,Cut leaves (pieces),48893437,1891168,
令和3,2021,切枝（束）,Cut tree branches (bundles),26456727,5986096,
令和3,2021,鉢物（鉢）,Potted flowers (pots),23790712,15657140,
令和3,2021,苗物（箱）,Bedding plants (boxes),2644724,5068152,
令和3,2021,その他花き（箱）,Others (boxes),406391,432425,
,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-4  花きの部類別取扱高 （平成29～令和3年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2017-2021 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,,
