地域識別コード,地域コード,年齢区分コード,年齢区分,地域名,2015年,2020年,2025年,2030年,2035年,2040年
a,13000,1,0-14歳,東京都,1523353,1588516,1568168,1497717,1427364,1358583
1,13100,1,0-14歳,区部,1003919,1075618,1086489,1050393,1010722,967242
0,13101,1,0-14歳,千代田区,6727,8552,10287,10804,10694,10127
0,13102,1,0-14歳,中央区,16801,22428,24973,25436,25323,24738
0,13103,1,0-14歳,港区,30025,34860,38732,39624,39671,38726
0,13104,1,0-14歳,新宿区,27155,30374,31047,30017,28836,27442
0,13105,1,0-14歳,文京区,23571,27343,28497,27427,26109,24702
0,13106,1,0-14歳,台東区,17647,19854,21384,21520,21034,19884
0,13107,1,0-14歳,墨田区,26623,28730,28942,28285,27336,25940
0,13108,1,0-14歳,江東区,62350,67755,69991,69246,67644,65397
0,13109,1,0-14歳,品川区,40480,45668,47211,46063,44466,42545
0,13110,1,0-14歳,目黒区,28732,32246,33600,32080,30327,28684
0,13111,1,0-14歳,大田区,76515,79018,78337,76350,74210,71581
0,13112,1,0-14歳,世田谷区,97176,99390,94689,87670,82097,77951
0,13113,1,0-14歳,渋谷区,19413,22541,24561,23757,22445,20953
0,13114,1,0-14歳,中野区,26532,30890,33129,31423,29598,27835
0,13115,1,0-14歳,杉並区,54664,62357,64571,60718,56096,50850
0,13116,1,0-14歳,豊島区,23840,26338,27189,26645,25924,24816
0,13117,1,0-14歳,北区,33727,37582,38860,37788,36502,34958
0,13118,1,0-14歳,荒川区,23595,25090,25275,24697,23900,22848
0,13119,1,0-14歳,板橋区,59456,63882,65721,65070,63681,61543
0,13120,1,0-14歳,練馬区,86264,88167,86590,83028,79881,76705
0,13121,1,0-14歳,足立区,79395,79545,75970,72112,69108,66883
0,13122,1,0-14歳,葛飾区,52325,53730,51945,49352,47369,45831
0,13123,1,0-14歳,江戸川区,90906,89278,84988,81281,78471,76303
e,13500,1,0-14歳,多摩・島しょ,519434,512898,481679,447324,416642,391341
c,13200,1,0-14歳,市部,509434,503515,472982,439337,409255,384453
2,13201,1,0-14歳,八王子市,67666,63804,57306,52213,47713,44069
2,13202,1,0-14歳,立川市,20120,19992,18893,17786,16782,15872
2,13203,1,0-14歳,武蔵野市,16267,17927,18167,16989,15870,14907
2,13204,1,0-14歳,三鷹市,22283,23777,23196,21627,20164,18834
2,13205,1,0-14歳,青梅市,15906,14028,12133,10713,9462,8462
2,13206,1,0-14歳,府中市,34317,34471,33127,31437,29881,28570
