階層,地域コード,地域,総数（人）,徒歩のみ（人）,総数／利用交通手段が１種類（人）,総数／利用交通手段が１種類／うち鉄道･電車のみ（人）,総数／利用交通手段が１種類／うち乗合バスのみ（人）,総数／利用交通手段が１種類／うち自家用車のみ（人）,総数／利用交通手段が１種類／うちオートバイ又は自転車のみ（人）,総数／利用交通手段が２種類（人）　,総数／利用交通手段が２種類／うち鉄道･電車及び乗合バス（人）,総数／利用交通手段が２種類／うち鉄道･電車及びオートバイ又は自転車（人）,利用交通手段が３種類以上（人）
0,13000,東京都総数,5830735,493788,4228954,2691476,140386,494273,833824,805496,371508,279676,83055
1,13100,区部,3973407,347752,2948110,2067888,93055,196002,546818,471088,204195,174492,46247
2,13101,千代田区,26869,6239,17225,14005,109,938,1594,1830,437,652,228
2,13102,中央区,75795,11353,52905,40178,3305,2136,6068,7479,3071,2036,1091
2,13103,港区,84747,14479,55810,41219,3351,4040,4990,8776,3857,1747,1431
2,13104,新宿区,118392,19316,82199,66096,2540,3104,9164,9439,3904,3111,993
2,13105,文京区,102950,14246,76168,60840,2700,3167,8540,8025,3185,2698,818
2,13106,台東区,81980,9923,59098,43415,1651,2129,11089,7758,3097,2923,718
2,13107,墨田区,120726,10769,94061,66815,3022,4212,18932,10792,3762,4655,958
2,13108,江東区,228888,19412,170216,114261,12496,9525,31510,26856,12467,8781,2646
2,13109,品川区,186699,20596,142217,112267,3215,5786,19098,15409,6512,4773,1407
2,13110,目黒区,108103,10865,78274,58690,3765,4621,9962,13157,7487,3004,1388
2,13111,大田区,337454,26205,255315,174459,6106,15209,56032,37733,15057,13768,3564
2,13112,世田谷区,377402,28210,278302,201736,8695,18969,45065,51097,24177,17388,5377
2,13113,渋谷区,83861,12715,58991,45393,2657,3155,6437,7555,3038,2046,1140
2,13114,中野区,132811,10887,101210,77532,3376,4001,15196,15140,7384,5111,1435
2,13115,杉並区,240212,16079,180794,139314,4005,8413,27067,32498,16936,10747,3024
2,13116,豊島区,115701,12392,89027,72793,1524,3134,10636,9313,3767,3458,755
2,13117,北区,145936,12144,111634,84594,3017,5138,17655,14841,7017,5132,1184
2,13118,荒川区,92119,6838,70746,50844,1308,3300,14456,9761,3201,4810,758
2,13119,板橋区,234141,18881,180662,126387,4295,11930,35735,22765,9104,9063,2026
2,13120,練馬区,315872,19638,234384,157342,5345,19339,49188,46293,18970,20333,4642
2,13121,足立区,267553,16061,198561,108865,4872,25321,55678,37805,15414,15836,3405
2,13122,葛飾区,192055,11715,145034,88723,2797,13672,37493,25631,8810,12519,2362
2,13123,江戸川区,303141,18789,215277,122120,8904,24763,55233,51135,23541,19901,4897
1,13200,市部,1821029,141767,1253530,620994,46976,278637,283058,331285,166572,104189,36440
2,13201,八王子市,249936,23684,166687,64799,10644,56921,29090,47084,27600,8987,5154
2,13202,立川市,76376,6501,51246,22595,2037,10864,14809,14367,6546,5188,1669
2,13203,武蔵野市,62317,5087,42436,29089,1779,2349,8672,11640,6017,4117,1112
2,13204,三鷹市,82242,6611,47617,23258,3283,4658,15692,22622,13600,6611,2550
2,13205,青梅市,56662,4117,42684,11105,528,23190,7026,7047,2563,2378,869
2,13206,府中市,118507,10566,83451,47318,1574,10550,22696,18632,7903,7534,2074
2,13207,昭島市,52517,4365,38560,16853,576,9989,10487,7108,2205,3149,795
2,13208,調布市,101542,7024,72875,47210,2490,6480,15708,16613,8301,5611,1877
2,13209,町田市,187227,15415,119901,54004,7139,35742,20425,41115,25149,8529,4619
2,13210,小金井市,54676,3650,37760,25111,781,2812,8712,10533,5182,4067,1018
2,13211,小平市,81409,6263,54956,28683,1297,7502,16649,15514,6704,6387,1812
2,13212,日野市,81442,7125,58111,32939,1839,11238,10841,12548,5844,3916,1244
2,13213,東村山市,64872,3949,47317,24689,605,8928,12379,10375,3090,5218,1216
2,13214,国分寺市,55270,3947,39115,26120,948,3816,7770,9543,4801,3251,1045
2,13215,国立市,34757,2616,24535,13913,570,3093,6624,5707,2219,2465,633
2,13218,福生市,23199,2160,17633,7477,123,6058,3674,2375,720,815,225
2,13219,狛江市,37475,1963,27099,17673,809,2263,6002,6564,2583,2927,708
2,13220,東大和市,37266,2148,27986,10640,783,8036,7966,5305,1615,2334,660
2,13221,清瀬市,31242,2049,20797,9519,595,4724,5570,6587,3110,2446,745
2,13222,東久留米市,48083,2894,31220,12439,1190,6408,10517,11179,6425,3202,1243
2,13223,武蔵村山市,27135,1497,19408,2334,689,9676,6246,4512,1608,1755,676
2,13224,多摩市,65563,5906,43110,23912,3260,8506,6422,13343,8654,2390,1275
2,13225,稲城市,42349,2688,30621,19829,600,5173,4503,7233,3884,2064,681
2,13227,羽村市,24599,2543,18382,6005,143,7661,4192,2699,670,1146,301
2,13228,あきる野市,35323,1940,27662,7234,252,15849,3695,4076,1231,1553,478
2,13229,西東京市,89043,5059,62361,36246,2442,6151,16691,16964,8348,6149,1761
1,13300,郡部,24030,1786,18436,2540,277,12103,3051,2735,738,992,329
2,13303,瑞穂町,14598,930,11202,1405,180,6957,2405,1680,458,622,214
2,13305,日の出町,6656,519,5063,816,62,3459,596,859,214,355,97
2,13307,檜原村,846,75,640,11,18,584,10,89,29,2,8
2,13308,奥多摩町,1930,262,1531,308,17,1103,40,107,37,13,10
1,13350,島部,12269,2483,8878,54,78,7531,897,388,3,3,39
2,13361,大島町,3460,518,2643,17,41,2395,137,57,1,-,8
2,13362,利島村,185,87,85,1,1,69,7,5,-,1,-
2,13363,新島村,1204,252,900,9,5,781,79,34,-,1,4
2,13364,神津島村,946,221,632,10,3,447,105,73,-,-,2
2,13381,三宅村,1116,187,891,2,15,816,15,11,1,-,1
2,13382,御蔵島村,181,86,81,-,-,54,14,3,-,-,2
2,13401,八丈町,3139,302,2646,10,9,2394,159,76,-,-,6
2,13402,青ヶ島村,109,50,51,-,-,44,2,3,1,-,-
2,13421,小笠原村,1929,780,949,5,4,531,379,126,-,1,16
,,,,,,,,,,,,,
令和２年国勢調査による東京都の昼間人口,,,,,,,,,,,,,
第10表の１　地域、利用交通手段別自宅外通勤者（15歳以上）･通学者（15歳以上）数,,,,,,,,,,,,,
階層（0:東京都の合計　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,
注　1)　総数不詳を含む。,,,,,,,,,,,,,
