"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"4","53","2022/06/08 0:00:00","(仮称)株式会社丸喜様上鷺宮５丁目計画　新築工事","株式会社　丸喜","杉並区和泉4-43-13","2022/06/06 0:00:00","スターツＣＡＭ株式会社　建設技術本部　一級建築士事務所","中央区日本橋3-1-8","スターツＣＡＭ株式会社","江戸川区中葛飾西3-37-4","上鷺宮5-761-24","上鷺宮5-16","第1種低層住居専用地域","","一戸建ての住宅","新築","8.425","地上2階","木造","べた基礎","122.67","59.28","106.12","2022/07/19 0:00:00","2022/12/09 0:00:00","4-53","139.625899925202","35.729063070292","令和４年度"
"3","194","2022/02/24 0:00:00","三鷹支店　中野区鷺宮第５期（全３棟）１号棟","株式会社　ホーク・ワン","三鷹市下連雀4-16-11 1F","2022/02/24 0:00:00","株式会社　アサノ設計事務所","東久留米市弥生1-1-38-401","株式会社　ホーク・ワン","杉並区宮前1-15-13","鷺宮6-817-7の一部","鷺宮6-18","第1種低層住居専用地域","","一戸建ての住宅","新築","9.132","地上3階","木造","べた基礎","70","41.91","99.6","2022/05/01 0:00:00","2022/09/01 0:00:00","3-194","139.627094552168","35.7252575939594","令和３年度"
"3","212","2022/03/31 0:00:00","鷺宮607③3　新築工事","個人","個人","2022/03/17 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","鷺宮6-820-67","鷺宮6-7","第1種低層住居専用地域","","一戸建ての住宅","新築","9.05","地上3階","木造","べた基礎","72.48","41.83","111.73","2022/05/13 0:00:00","2022/10/20 0:00:00","3-212","139.627323578973","35.7243031474339","令和３年度"
"3","195","2022/02/25 0:00:00","鷺宮６０７③１　新築工事","個人","個人","2022/02/09 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","鷺宮6-820-13","鷺宮6-7","第1種低層住居専用地域","","一戸建ての住宅","新築","9.05","地上3階","木造","べた基礎","70.06","41.4","111.3","2022/04/26 0:00:00","2022/09/23 0:00:00","3-195","139.627426169379","35.7243029534883","令和３年度"
"3","170","2022/01/24 0:00:00","ローズガーデン鷺宮ＥＬＶ　新築工事","個人","個人","2022/01/21 0:00:00","内野建設株式会社　一級建築士事務所","練馬区豊玉北5-24-15","内野建設株式会社","練馬区豊玉北5-24-15","上鷺宮5-713-1","上鷺宮5-29","第1種低層住居専用地域","","共同住宅（昇降機）","増築","9.68","地上3階","鉄骨造","直接基礎","1573.99","606.92","1344.11","2022/04/01 0:00:00","2022/06/30 0:00:00","3-170","139.627312604226","35.7326746115341","令和３年度"
"4","223","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-223","139.628229069646","35.7236840526401","令和４年度"
"4","224","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-224","139.628297447221","35.7236998539101","令和４年度"
"4","222","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-222","139.628243978276","35.7237942260131","令和４年度"
"4","225","2023/03/17 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","4-225","139.62835540868","35.7237201823901","令和４年度"
"3","56","2021/06/23 0:00:00","（仮称）中野区鷺宮６丁目計画　新築工事","トーマ建設株式会社、日神不動産株式会社","埼玉県朝霞市岡3-25-37、新宿区新宿5-8-1","2021/06/18 0:00:00","株式会社　アート総合企画　一級建築士事務所","豊島区巣鴨1-14-8　巣鴨中野ビル　7F","未定","","鷺宮6-798-43他","鷺宮6-28","第1種低層住居専用地域","","共同住宅","新築","9.63","地上3階","鉄筋コンクリート造","杭基礎","2830.32","1684.07","4339.09","2021/10/01 0:00:00","2023/04/30 0:00:00","3-56","139.629039153046","35.7263611694806","令和３年度"
