事業者又は団体名,住所,電話１,電話２,船名,トン数,輸送能力人１,輸送能力人２,輸送能力容積（ｍ３）,備考１,備考２
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,橘丸,5681,限定沿海（１）,1060,574.3,貨客船,
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,橘丸,※,限定沿海（２）,925,※,貨客船,
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,橘丸,※,限定近海,656,※,貨客船,
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,さるびあ丸,4992,沿海,1546,436.2,貨客船,
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,さるびあ丸,※,限定近海,514,※,貨客船,
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド愛,280,,255,,旅客船,ジェット船
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド虹,281,,255,,旅客船,ジェット船
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド夢,281,,255,,旅客船,ジェット船
東海汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1137,,セブンアイランド友,164,,255,,旅客船,ジェット船
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,リバータウン,141,,550,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,アワータウン,138,,320,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,ジュビリー,146,,480,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,竜馬,143,,560,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,道灌,148,,553,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,海舟,146,,540,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,いりす,77,,240,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,ヒミコ,114,,160,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,ホタルナ,167,,261,,旅客船,
東京都観光汽船（株）,台東区花川戸１－１－１,03-3457-7824,,御座船　安宅丸,486,,500,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,さくら,54,,140,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,あじさい,54,,140,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,こすもす,76,,200,,旅客船,
公益財団法人東京都公園協会,墨田区横綱１－２－１５,03-5608-8922,,カワセミ,17,,65,,旅客船,
観光汽船興業（株）,中央区日本橋茅場町２－１７－３,03-3457-1071,,アーバンランチⅠ,19,,41,,旅客船,
観光汽船興業（株）,中央区日本橋茅場町２－１７－３,03-3457-1071,,アーバンランチⅡ,19,,41,,旅客船,
観光汽船興業（株）,中央区日本橋茅場町２－１７－３,03-3457-1071,,アーバンランチⅢ,19,,41,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第２８港丸,7,,36,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第３０港丸,11,,34,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第３１港丸,11,,36,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,しらさぎ,12,,36,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第２６東港丸,16,,46,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第２７東港丸,14,,50,,旅客船,
東京シップサービス（株）,港区海岸３－１－３,03-3455-2121,03-3455-1461,第５５港丸,14,,46,,旅客船,
小笠原海運（株）,港区芝浦３－７－９　ＤＫビル８Ｆ,03-3451-5171,,おがさわら丸,6700,,1036,1185.4,貨客船,
伊豆諸島開発（株）,港区海岸３－６－４３,03-3455-3090,,あおがしま丸,460,,50,640.2,貨客船,
伊豆諸島開発（株）,港区海岸３－６－４３,03-3455-3090,,ははじま丸,490,,168,307.7,貨客船,
伊豆諸島開発（株）,港区海岸３－６－４３,03-3455-3090,,ゆり丸,469,,90,930.6,貨客船,
神新汽船（株）,港区海岸１－１６－１　ニューピア竹芝サウスタワー５Ｆ,03-3436-1146,,あぜりあ丸,480,,316,217.3,貨客船,
東京都新島村,新島村本村１－１－１,04992-7-0004,,にしき,69,,100,,旅客船,
１～２丁目,10,112704,2.26,1.7
世田谷区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,※,※,渋谷区,円山町、松濤２丁目、上原２～３丁目、神泉町、富ケ谷２丁目,6,※,※,※
世田谷区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,※,※,世田谷区,代沢１～５丁目、代田１～２、５～６丁目、大原１丁目、池尻４丁目、北沢１～５丁目,16,※,※,※
世田谷区,42,世田谷公園一帯,目黒区東山／世田谷区池尻,286870,172508,目黒区,五本木１～３丁目、上目黒３～５丁目、東山１～３丁目,9,44846,3.85,1.4
世田谷区,42,世田谷公園一帯,目黒区東山／世田谷区池尻,※,※,世田谷区,池尻１～３丁目,3,※,※,※
世田谷区,54,日本大学文理学部一帯,世田谷区桜上水,246110,102929,世田谷区,宮坂３丁目の一部、桜上水１～５丁目、松原３～４丁目、赤堤１～５丁目,13,44827,2.30,1.3
世田谷区,55,羽根木公園一帯,世田谷区代田、松原,93049,51822,世田谷区,松原６丁目、５丁目の一部、代田３～４丁目、梅丘１丁目,5,21605,2.40,0.7
世田谷区,56,昭和女子大学一帯,世田谷区下馬、太子堂,238137,111903,世田谷区,下馬１～２丁目、３丁目の一部、三軒茶屋１～２丁目、若林１～２丁目、上馬１丁目、太子堂１、４～５丁目、野沢１丁目の一部,12,52629,2.13,1.4
世田谷区,57,駒沢オリンピック公園一帯,目黒区東が丘、八雲／世田谷区駒沢、駒沢公園、深沢,492406,305652,目黒区,柿の木坂１～３丁目、自由が丘１～３丁目、鷹番１～３丁目、中央町１～２丁目、中根１～２丁目、東が丘１～２丁目、八雲１～５丁目、碑文谷１～６丁目、平町１～２丁目、目黒本町２丁目,29,154191,1.98,2.8
世田谷区,57,駒沢オリンピック公園一帯,目黒区東が丘、八雲／世田谷区駒沢、駒沢公園、深沢,※,※,世田谷区,駒沢１～５丁目、駒沢公園、弦巻２丁目、上馬２～５丁目、新町１～３丁目、深沢１～２、６丁目、野沢２～４丁目、１丁目の一部,21,※,※,※
世田谷区,58,都立園芸高校,世田谷区深沢,94926,40079,世田谷区,深沢５、７～８丁目、中町３～５丁目、等々力８丁目,7,19415,2.06,0.8
世田谷区,59,砧公園・大蔵運動公園一帯,世田谷区大蔵、砧公園,770701,479225,世田谷区,岡本１、３丁目、喜多見６丁目、５丁目の一部、砧１～８丁目、砧公園、玉川台１～２丁目、桜丘４～５丁目、上用賀５～６丁目、瀬田４～５丁目、成城１～３丁目、大蔵１～６丁目、用賀４丁目,31,73072,6.56,1.6
世田谷区,60,馬事公苑・東京農業大学一帯,世田谷区上用賀、桜、桜台,514953,265293,世田谷区,宮坂１～２丁目、３丁目の一部、経堂１～５丁目、弦巻１、３～５丁目、桜１～３丁目、桜丘１～３丁目、桜新町１～２丁目、上用賀１～４丁目、世田谷１～２丁目、用賀１～３丁目,29,104795,2.53,1.6
世田谷区,61,祖師谷公園・総合工科高校一帯,世田谷区上祖師谷、成城,147228,62112,世田谷区,上祖師谷３～４丁目、成城４～５、７～９丁目、祖師谷２、４～６丁目,11,30074,2.07,1.4
世田谷区,62,第一生命グランド一帯,世田谷区上祖師谷、給田,165056,75540,世田谷区,給田１～５丁目、上祖師谷１～２、５～７丁目、南烏山６丁目,11,30498,2.48,1.4
世田谷区,63,芦花公園・明大八幡山グランド一帯,世田谷区粕谷、八幡山、船橋,483169,236451,世田谷区,上北沢１～５丁目、千歳台１～６丁目、船橋１～７丁目、南烏山１～５丁目、粕谷１～４丁目、八幡山１～３丁目,30,98713,2.40,1.5
世田谷区,63,芦花公園・明大八幡山グランド一帯,世田谷区粕谷、八幡山、船橋,※,※,杉並区,上高井戸１～３丁目,3,※,※,※
世田谷区,73,明大和泉校舎一帯,杉並区永福,178922,86603,世田谷区,大原２丁目、羽根木１～２丁目、松原１～２丁目、松原５丁目の一部,6,57117,1.52,1.6
世田谷区,73,明大和泉校舎一帯,杉並区永福,※,※,杉並区,和泉１～２丁目、４丁目の一部、永福１～２丁目、下高井戸２丁目、１丁目の一部、方南１丁目,8,※,※,※
世田谷区,128,玉川野毛町公園一帯,世田谷区野毛,78434,44766,世田谷区,上野毛１丁目、中町１～２丁目、等々力３丁目、野毛１丁目の一部,5,12592,3.56,1.0
世田谷区,142,成城学園一帯,世田谷区成城,95647,34650,世田谷区,成城６丁目、祖師谷１、３丁目,3,17740,1.95,1.0
世田谷区,159,国士舘大学一帯,世田谷区梅丘、世田谷、若林,85888,34330,世田谷区,豪徳寺１～２丁目、若林３～５丁目、世田谷３～４丁目、梅丘２～３丁目,9,31685,1.08,0.9
世田谷区,160,きたみふれあい広場一帯,世田谷区喜多見,92630,33389,世田谷区,喜多見７～９丁目,3,8435,3.96,1.2
世田谷区,161,学芸大学附属高校一帯,世田谷区下馬,66150,23034,世田谷区,下馬４～６丁目、３丁目の一部,4,14989,1.54,0.8
世田谷区,162,烏山北住宅・日本女子体育大学一帯,世田谷区北烏山,110875,49372,世田谷区,北烏山１～９丁目,9,25142,1.96,1.2
世田谷区,186,多摩川河川敷・二子橋一帯,世田谷区宇奈根、鎌田、喜多見、玉川,600652,493677,世田谷区,宇奈根１～３丁目、岡本２丁目、鎌田１～４丁目、喜多見１～４丁目、５丁目の一部、玉�
