区分,,総計箇所,総計水量[t],防火水槽箇所,防火水槽水量[t],プ－ル箇所,プ－ル水量[t],池箇所,池水量[t],受水槽箇所,受水槽水量[t],貯水池箇所,貯水池水量[t]
公園・児童遊園,本所,42,3648,38,2348,3,1150,1,150,,,,
公園・児童遊園,向島,64,4200,64,4200,,,,,,,,
公園・児童遊園,計,106,7848,102,6548,3,1150,1,150,,,,
道路敷,本所,38,1530,38,1530,,,,,,,,
道路敷,向島,8,500,8,500,,,,,,,,
道路敷,計,46,2030,46,2030,,,,,,,,
学校,本所,33,7334,9,445,24,6889,,,,,,
学校,向島,33,7735,7,580,25,6715,,,,,,
学校,計,61,13184,16,1025,49,13604,,,,,,
その他・公共施設,本所,47,4537,33,2045,5,1530,2,135,7,827,,
その他・公共施設,向島,66,5920,47,3080,1,480,1,200,17,2160,,
その他・公共施設,計,113,10457,80,5125,6,2010,3,335,24,2987,,
民間施設,本所,176,11824,158,8201,,,,,18,3623,,
民間施設,向島,195,5670,192,8754,,,,,1,40,2,230
民間施設,計,371,20848,350,16955,,,,,19,3663,2,230
合計,本所,336,28873,276,14569,32,9569,3,285,25,4450,0,0
合計,向島,366,24025,318,17114,26,7195,1,200,18,2200,2,230
合計,計,697,54367,594,31683,58,16764,4,485,43,6650,2,230
