区分１,区分２,度数計,割合計,20歳～29歳_度数,20歳～29歳_割合,30歳～39歳_度数,30歳～39歳_割合,40歳～49歳_度数,40歳～49歳_割合,50歳～59歳_度数,50歳～59歳_割合,60歳～69歳_度数,60歳～69歳_割合,,,,
全体,全体,1500,100,0,0,3,0.2,157,10.5,846,56.4,457,30.5,37,2.466666667,0,0
児童・生徒別,小学生,500,100,0,0,2,0.4,115,23,294,58.8,84,16.8,5,1,0,0
児童・生徒別,中学生,500,100,0,0,1,0.2,35,7,318,63.6,137,27.4,9,1.8,0,0
児童・生徒別,高校生,500,100,0,0,0,0,7,1.4,234,46.8,236,47.2,23,4.6,0,0
子供の性別,男子,763,100,0,0,2,0.3,77,10.1,404,52.9,260,34.1,20,2.621231979,0,0
子供の性別,女子,737,100,0,0,1,0.1,80,10.9,442,60,197,26.7,17,2.306648575,0,0
児童・生徒×子供の性別,小学生男子,236,100,0,0,1,0.4,54,22.9,131,55.5,47,19.9,3,1.271186441,0,0
児童・生徒×子供の性別,小学生女子,264,100,0,0,1,0.4,61,23.1,163,61.7,37,14,2,0.757575758,0,0
児童・生徒×子供の性別,中学生男子,262,100,0,0,1,0.4,19,7.3,163,62.2,75,28.6,4,1.526717557,0,0
児童・生徒×子供の性別,中学生女子,238,100,0,0,0,0,16,6.7,155,65.1,62,26.1,5,2.100840336,0,0
児童・生徒×子供の性別,高校生男子,265,100,0,0,0,0,4,1.5,110,41.5,138,52.1,13,4.905660377,0,0
児童・生徒×子供の性別,高校生女子,235,100,0,0,0,0,3,1.3,124,52.8,98,41.7,10,4.255319149,0,0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,0,0,1,0.1,101,10.6,524,55,296,31.1,31,3.252885624,0,0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,0,0,1,1.2,12,14.3,49,58.3,22,26.2,0,0,0,0
携帯電話の購入所別,家電量販店,282,100,0,0,1,0.4,26,9.2,175,62.1,77,27.3,3,1.063829787,0,0
携帯電話の購入所別,インターネット販売,109,100,0,0,0,0,10,9.2,56,51.4,42,38.5,1,0.917431193,0,0
携帯電話の購入所別,その他,43,100,0,0,0,0,7,16.3,28,65.1,6,14,2,4.651162791,0,0
携帯電話の購入所別,わからない,29,100,0,0,0,0,1,3.4,14,48.3,14,48.3,0,0,0,0
フィルタリングサービスの加入状況別,加入している,539,100,0,0,2,0.4,66,12.2,295,54.7,165,30.6,11,2.040816327,0,0
フィルタリングサービスの加入状況別,加入している,523,100,0,0,1,0.2,51,9.8,279,53.3,177,33.8,15,2.868068834,0,0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,0,0,0,0,27,14.6,121,65.4,35,18.9,2,1.081081081,0,0
フィルタリングサービスの加入状況別,わからない,253,100,0,0,0,0,13,5.1,151,59.7,80,31.6,9,3.557312253,0,0
利用制限サービスの加入状況別,加入している,366,100,0,0,1,0.3,43,11.7,209,57.1,107,29.2,6,1.639344262,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,0,0,1,0.6,19,11.4,97,58.1,47,28.1,3,1.796407186,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,0,0,0,0,17,4.8,188,53.6,136,38.7,10,2.849002849,0,0
利用制限サービスの加入状況別,わからない,87,100,0,0,0,0,8,9.2,46,52.9,31,35.6,2,2.298850575,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,0,0,2,0.4,91,16.5,321,58.4,125,22.7,11,2,0,0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,0,0,1,0.2,46,7.2,362,56.7,214,33.5,16,2.503912363,0,0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,0,0,0,0,13,6.3,105,50.5,84,40.4,6,2.884615385,0,0
利用状況の管理状態別,子供の利用状況に関心がない,98,100,0,0,0,0,6,6.1,55,56.1,33,33.7,4,4.081632653,0,0
利用状況の管理状態別,その他,5,100,0,0,0,0,1,20,3,60,1,20,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,0,0,1,0.2,53,11.3,245,52,155,32.9,17,3.609341826,0,0
説明・学習経験別,インターネットで調べた,482,100,0,0,2,0.4,51,10.6,272,56.4,143,29.7,14,2.904564315,0,0
説明・学習経験別,学校から配布される資料等を読んだ,537,100,0,0,0,0,77,14.3,306,57,145,27,9,1.675977654,0,0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,0,0,1,0.3,35,10.6,205,62.1,86,26.1,3,0.909090909,0,0
説明・学習経験別,知識のある知人から説明を受けた,74,100,0,0,1,1.4,15,20.3,37,50,19,25.7,2,2.702702703,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,0,0,0,0,11,9.7,59,52.2,40,35.4,3,2.654867257,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,0,0,1,2.7,7,18.9,14,37.8,15,40.5,0,0,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,0,0,1,0.3,22,6.5,191,56.2,118,34.7,8,2.352941176,0,0
説明・学習経験別,その他,9,100,0,0,0,0,0,0,4,44.4,5,55.6,0,0,0,0
