区分１,区分２,度数計,割合計,小学校１年生_度数,小学校１年生_割合,小学校２年生_度数,小学校２年生_割合,小学校３年生_度数,小学校３年生_割合,小学校４年生_度数,小学校４年生_割合,小学校５年生_度数,小学校５年生_割合,小学校６年生_度数,小学校６年生_割合,中学校１年生_度数,中学校１年生_割合,中学校２年生_度数,中学校２年生_割合,中学校３年生_度数,中学校３年生_割合,高校１年生_度数,高校１年生_割合,高校２年生_度数,高校２年生_割合,高校３年生_度数,高校３年生_割合
全体,全体,1500,100,0,0,0,0,0,0,152,10.1,159,10.6,189,12.6,146,9.7,162,10.8,192,12.8,126,8.4,181,12.1,193,12.9
児童・生徒別,小学生,500,100,0,0,0,0,0,0,152,30.4,159,31.8,189,37.8,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒別,中学生,500,100,0,0,0,0,0,0,0,0,0,0,0,0,146,29.2,162,32.4,192,38.4,0,0,0,0,0,0
児童・生徒別,高校生,500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,25.2,181,36.2,193,38.6
子供の性別,男子,763,100,0,0,0,0,0,0,60,7.9,87,11.4,89,11.7,78,10.2,81,10.6,103,13.5,60,7.9,88,11.5,117,15.3
子供の性別,女子,737,100,0,0,0,0,0,0,92,12.5,72,9.8,100,13.6,68,9.2,81,11,89,12.1,66,9,93,12.6,76,10.3
児童・生徒×子供の性別,小学生男子,236,100,0,0,0,0,0,0,60,25.4,87,36.9,89,37.7,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,小学生女子,264,100,0,0,0,0,0,0,92,34.8,72,27.3,100,37.9,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,中学生男子,262,100,0,0,0,0,0,0,0,0,0,0,0,0,78,29.8,81,30.9,103,39.3,0,0,0,0,0,0
児童・生徒×子供の性別,中学生女子,238,100,0,0,0,0,0,0,0,0,0,0,0,0,68,28.6,81,34,89,37.4,0,0,0,0,0,0
児童・生徒×子供の性別,高校生男子,265,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,22.6,88,33.2,117,44.2
児童・生徒×子供の性別,高校生女子,235,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,28.1,93,39.6,76,32.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,0,0,0,0,0,0,109,11.4,108,11.3,111,11.6,79,8.3,105,11,116,12.2,82,8.6,121,12.7,122,12.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,0,0,0,0,0,0,5,6,6,7.1,16,19,14,16.7,11,13.1,12,14.3,6,7.1,4,4.8,10,11.9
携帯電話の購入所別,家電量販店,282,100,0,0,0,0,0,0,21,7.4,28,9.9,35,12.4,33,11.7,28,9.9,40,14.2,22,7.8,33,11.7,42,14.9
携帯電話の購入所別,インターネット販売,109,100,0,0,0,0,0,0,8,7.3,9,8.3,18,16.5,12,11,8,7.3,16,14.7,13,11.9,14,12.8,11,10.1
携帯電話の購入所別,その他,43,100,0,0,0,0,0,0,6,14,7,16.3,6,14,6,14,5,11.6,6,14,0,0,6,14,1,2.3
携帯電話の購入所別,わからない,29,100,0,0,0,0,0,0,3,10.3,1,3.4,3,10.3,2,6.9,5,17.2,2,6.9,3,10.3,3,10.3,7,24.1
フィルタリングサービスの加入状況別,加入している,539,100,0,0,0,0,0,0,42,7.8,41,7.6,75,13.9,71,13.2,72,13.4,85,15.8,47,8.7,49,9.1,57,10.6
フィルタリングサービスの加入状況別,加入している,523,100,0,0,0,0,0,0,39,7.5,37,7.1,53,10.1,46,8.8,55,10.5,66,12.6,48,9.2,89,17,90,17.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,0,0,0,0,0,0,54,29.2,55,29.7,39,21.1,8,4.3,8,4.3,10,5.4,5,2.7,4,2.2,2,1.1
フィルタリングサービスの加入状況別,わからない,253,100,0,0,0,0,0,0,17,6.7,26,10.3,22,8.7,21,8.3,27,10.7,31,12.3,26,10.3,39,15.4,44,17.4
利用制限サービスの加入状況別,加入している,366,100,0,0,0,0,0,0,19,5.2,22,6,54,14.8,59,16.1,58,15.8,60,16.4,31,8.5,30,8.2,33,9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,0,0,0,0,0,0,7,4.2,16,9.6,16,9.6,19,11.4,25,15,25,15,19,11.4,21,12.6,19,11.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,0,0,0,0,0,0,10,2.8,6,1.7,19,5.4,25,7.1,31,8.8,47,13.4,46,13.1,87,24.8,80,22.8
利用制限サービスの加入状況別,わからない,87,100,0,0,0,0,0,0,1,1.1,3,3.4,5,5.7,10,11.5,9,10.3,14,16.1,11,12.6,15,17.2,19,21.8
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,0,0,0,0,0,0,100,18.2,89,16.2,102,18.5,56,10.2,52,9.5,50,9.1,26,4.7,40,7.3,35,6.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,0,0,0,0,0,0,36,5.6,49,7.7,66,10.3,65,10.2,80,12.5,98,15.3,66,10.3,90,14.1,89,13.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,0,0,0,0,0,0,7,3.4,13,6.3,10,4.8,19,9.1,26,12.5,31,14.9,20,9.6,37,17.8,45,21.6
利用状況の管理状態別,子供の利用状況に関心がない,98,100,0,0,0,0,0,0,9,9.2,7,7.1,11,11.2,5,5.1,4,4.1,12,12.2,14,14.3,14,14.3,22,22.4
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,1,20,0,0,1,20,0,0,1,20,0,0,0,0,2,40
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,0,0,0,0,0,0,54,11.5,58,12.3,51,10.8,40,8.5,60,12.7,59,12.5,34,7.2,56,11.9,59,12.5
説明・学習経験別,インターネットで調べた,482,100,0,0,0,0,0,0,53,11,47,9.8,65,13.5,47,9.8,57,11.8,68,14.1,33,6.8,60,12.4,52,10.8
説明・学習経験別,学校から配布される資料等を読んだ,537,100,0,0,0,0,0,0,50,9.3,62,11.5,67,12.5,65,12.1,69,12.8,68,12.7,41,7.6,57,10.6,58,10.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,0,0,0,0,0,0,26,7.9,25,7.6,35,10.6,40,12.1,41,12.4,43,13,33,10,44,13.3,43,13
説明・学習経験別,知識のある知人から説明を受けた,74,100,0,0,0,0,0,0,11,14.9,6,8.1,11,14.9,5,6.8,8,10.8,11,14.9,1,1.4,9,12.2,12,16.2
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,0,0,0,0,0,0,9,8,10,8.8,15,13.3,12,10.6,17,15,16,14.2,11,9.7,12,10.6,11,9.7
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,0,0,0,0,0,0,4,10.8,4,10.8,9,24.3,3,8.1,3,8.1,5,13.5,2,5.4,4,10.8,3,8.1
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,0,0,0,0,0,0,37,10.9,29,8.5,40,11.8,31,9.1,22,6.5,46,13.5,36,10.6,51,15,48,14.1
説明・学習経験別,その他,9,100,0,0,0,0,0,0,1,11.1,0,0,3,33.3,0,0,1,11.1,1,11.1,0,0,1,11.1,2,22.2
