区分１,区分２,度数計,割合計,電話をする_度数,電話をする_割合,メールをする_度数,メールをする_割合,SNS等のコミュニケーションアプリ_度数,SNS等のコミュニケーションアプリ_割合,動画を見る_度数,動画を見る_割合,カメラ撮影_度数,カメラ撮影_割合,ゲームをする_度数,ゲームをする_割合,音楽を聴く_度数,音楽を聴く_割合,インターネット_度数,インターネット_割合,学習・調べもの_度数,学習・調べもの_割合,その他_度数,その他_割合,わからない_度数,わからない_割合
全体,全体,1500,100,278,18.5,208,13.9,411,27.4,209,13.9,7,0.5,200,13.3,42,2.8,58,3.9,22,1.5,8,0.5,57,3.8
児童・生徒別,小学生,500,100,214,42.8,105,21,63,12.6,45,9,4,0.8,38,7.6,2,0.4,13,2.6,7,1.4,3,0.6,6,1.2
児童・生徒別,中学生,500,100,49,9.8,57,11.4,160,32,82,16.4,3,0.6,88,17.6,17,3.4,21,4.2,6,1.2,3,0.6,14,2.8
児童・生徒別,高校生,500,100,15,3,46,9.2,188,37.6,82,16.4,0,0,74,14.8,23,4.6,24,4.8,9,1.8,2,0.4,37,7.4
子供の性別,男子,763,100,141,18.5,98,12.8,163,21.4,115,15.1,4,0.5,148,19.4,16,2.1,31,4.1,11,1.4,5,0.7,31,4.1
子供の性別,女子,737,100,137,18.6,110,14.9,248,33.6,94,12.8,3,0.4,52,7.1,26,3.5,27,3.7,11,1.5,3,0.4,26,3.5
児童・生徒×子供の性別,小学生男子,236,100,102,43.2,45,19.1,28,11.9,26,11,2,0.8,20,8.5,0,0,6,2.5,4,1.7,1,0.4,2,0.8
児童・生徒×子供の性別,小学生女子,264,100,112,42.4,60,22.7,35,13.3,19,7.2,2,0.8,18,6.8,2,0.8,7,2.7,3,1.1,2,0.8,4,1.5
児童・生徒×子供の性別,中学生男子,262,100,29,11.1,33,12.6,62,23.7,41,15.6,2,0.8,70,26.7,4,1.5,9,3.4,2,0.8,3,1.1,7,2.7
児童・生徒×子供の性別,中学生女子,238,100,20,8.4,24,10.1,98,41.2,41,17.2,1,0.4,18,7.6,13,5.5,12,5,4,1.7,0,0,7,2.9
児童・生徒×子供の性別,高校生男子,265,100,10,3.8,20,7.5,73,27.5,48,18.1,0,0,58,21.9,12,4.5,16,6,5,1.9,1,0.4,22,8.3
児童・生徒×子供の性別,高校生女子,235,100,5,2.1,26,11.1,115,48.9,34,14.5,0,0,16,6.8,11,4.7,8,3.4,4,1.7,1,0.4,15,6.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,205,21.5,145,15.2,248,26,130,13.6,2,0.2,115,12.1,24,2.5,36,3.8,14,1.5,5,0.5,29,3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,12,14.3,9,10.7,25,29.8,12,14.3,1,1.2,19,22.6,2,2.4,2,2.4,0,0,0,0,2,2.4
携帯電話の購入所別,家電量販店,282,100,39,13.8,39,13.8,78,27.7,42,14.9,1,0.4,44,15.6,10,3.5,14,5,6,2.1,1,0.4,8,2.8
携帯電話の購入所別,インターネット販売,109,100,12,11,6,5.5,44,40.4,17,15.6,2,1.8,15,13.8,4,3.7,3,2.8,2,1.8,0,0,4,3.7
携帯電話の購入所別,その他,43,100,6,14,5,11.6,10,23.3,8,18.6,1,2.3,5,11.6,2,4.7,3,7,0,0,2,4.7,1,2.3
携帯電話の購入所別,わからない,29,100,4,13.8,4,13.8,6,20.7,0,0,0,0,2,6.9,0,0,0,0,0,0,0,0,13,44.8
フィルタリングサービスの加入状況別,加入している,539,100,67,12.4,72,13.4,171,31.7,82,15.2,4,0.7,84,15.6,12,2.2,24,4.5,8,1.5,6,1.1,9,1.7
フィルタリングサービスの加入状況別,加入している,523,100,68,13,43,8.2,172,32.9,89,17,3,0.6,76,14.5,20,3.8,25,4.8,8,1.5,2,0.4,17,3.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,103,55.7,57,30.8,9,4.9,6,3.2,0,0,5,2.7,0,0,2,1.1,0,0,0,0,3,1.6
フィルタリングサービスの加入状況別,わからない,253,100,40,15.8,36,14.2,59,23.3,32,12.6,0,0,35,13.8,10,4,7,2.8,6,2.4,0,0,28,11.1
利用制限サービスの加入状況別,加入している,366,100,20,5.5,39,10.7,136,37.2,66,18,2,0.5,68,18.6,9,2.5,13,3.6,5,1.4,4,1.1,4,1.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,8,4.8,14,8.4,75,44.9,24,14.4,1,0.6,24,14.4,6,3.6,8,4.8,6,3.6,1,0.6,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,6,1.7,17,4.8,132,37.6,78,22.2,1,0.3,64,18.2,17,4.8,18,5.1,5,1.4,1,0.3,12,3.4
