区分１,区分２,該当数計（人）,該当数割合（％）,携帯電話（ガラホ、ＰＨＳも含む）該当数（人）,携帯電話（ガラホ、ＰＨＳも含む）割合（％）,スマートフォン該当数（人）,スマートフォン割合（％）,両方持っている該当数（人）,両方持っている割合（％）
全体,全体,1500,100.0,245,16.3,1166,77.7,89,5.9
児童・生徒別,小学生,500,100.0,75,15.0,395,79.0,30,6.0
児童・生徒別,中学生,500,100.0,82,16.4,384,76.8,34,6.8
児童・生徒別,高校生,500,100.0,88,17.6,387,77.4,25,5.0
子どもの性別,男性,745,100.0,112,15.0,585,78.5,48,6.4
子どもの性別,女性,755,100.0,133,17.6,581,77.0,41,5.4
児童・生徒×子どもの性別,小学生男子,232,100.0,32,13.8,182,78.4,18,7.8
児童・生徒×子どもの性別,小学生女子,268,100.0,43,16.0,213,79.5,12,4.5
児童・生徒×子どもの性別,中学生男子,244,100.0,35,14.3,192,78.7,17,7.0
児童・生徒×子どもの性別,中学生女子,256,100.0,47,18.4,192,75.0,17,6.6
児童・生徒×子どもの性別,高校生男子,269,100.0,45,16.7,211,78.4,13,4.8
児童・生徒×子どもの性別,高校生女子,231,100.0,43,18.6,176,76.2,12,5.2
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,154,16.3,743,78.7,47,5.0
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,23,17.6,103,78.6,5,3.8
携帯電話の購入場所別,家電量販店,273,100.0,41,15.0,216,79.1,16,5.9
携帯電話の購入場所別,インターネット販売,96,100.0,16,16.7,71,74.0,9,9.4
携帯電話の購入場所別,その他,31,100.0,3,9.7,18,58.1,10,32.3
携帯電話の購入場所別,わからない,25,100.0,8,32.0,15,60.0,2,8.0
フィルタリングサービスの加入状況別,加入している,459,100.0,62,13.5,368,80.2,29,6.3
フィルタリングサービスの加入状況別,加入していない,563,100.0,90,16.0,439,78.0,34,6.0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,49,19.7,181,72.7,19,7.6
フィルタリングサービスの加入状況別,わからない,229,100.0,44,19.2,178,77.7,7,3.1
利用制限サービスの加入状況別,加入している,261,100.0,22,8.4,224,85.8,15,5.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,19,10.4,153,83.6,11,6.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,48,15.1,250,78.6,20,6.3
利用制限サービスの加入状況別,わからない,85,100.0,14,16.5,67,78.8,4,4.7
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,93,16.2,440,76.7,41,7.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,103,15.3,540,50.1,31,4.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,31,18.2,130,76.5,9,5.3
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,17,23.3,50,68.5,6,8.2
利用状況の管理状態別,その他,9,100.0,1,11.1,6,66.7,2,22.2
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,90,16.1,436,78.1,32,5.7
説明・学習経験別,インターネットで調べた,505,100.0,87,17.2,384,76.0,34,6.7
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,74,13.6,442,81.4,27,5.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,47,13.6,282,81.5,17,4.9
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,8,13.6,48,81.4,3,5.1
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,14,15.9,67,76.1,7,8.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,2,9.5,18,85.7,1,4.8
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,53,15.9,258,77.2,23,6.9
説明・学習経験別,その他,11,100.0,2,18.2,9,81.8,0,0.0
